node_index,student_id
0,s112011301024
1,s112011301025
2,s112011301026
3,s112011301028
4,s112011301031
5,s112011301032
6,s112011301033
7,s112011301034
8,s112011301035
9,s112011301037
10,s112011301038
11,s112011301039
12,s112011301040
13,s112011301042
14,s112011301043
15,s112011301044
16,s112011301045
17,s112011301046
18,s112011301047
19,s112011301048
20,s112011301049
21,s112011301050
22,s112011301052
23,s112011301054
24,s112011301055
25,s112011301056
26,s112011301057
27,s113011301004
28,s112011301061
29,s112011301062
30,s112011301063
31,s112011301064
32,s112011301065
33,s112011301067
34,s112011301068
35,s112011301069
36,s112011301070
37,s112011301071
38,s112011301072
39,s112011301073
40,s112011301074
41,s112011301075
42,s112011301076
43,s112011301078
44,s112011301079
45,s112011301080
46,s112011301081
47,s112011301082
48,s112011301083
49,s112011301084
50,s112011301086
51,s112011301087
52,s112011301088
53,s112011301089
54,s112011301090
55,s112011301094
56,s112011306023
57,s112011306026
58,s112011306027
59,s112011306029
60,s112011306034
61,s112011306037
62,s112011306038
63,s112011306039
64,s112011306042
65,s112011306043
66,s112011306044
67,s112011306045
68,s112011306046
69,s112011306049
70,s112011306050
71,s112011306051
72,s112011306053
73,s112011306054
74,s112011306055
75,s112011306056
76,s112011306057
77,s112011306058
78,s112011324025
79,s112011324026
80,s112011324027
81,s112011324028
82,s112011324030
83,s112011324032
84,s112011324033
85,s112011324034
86,s112011324036
87,s112011324037
88,s112011324038
89,s112011324040
90,s112011324041
91,s112011324042
92,s112011324043
93,s112011324044
94,s112011324045
95,s112011324046
96,s112011324048
97,s112011324049
98,s112011324050
99,s112011324051
100,s112011324052
101,s112011324053
102,s112011324054
103,s112011324055
104,s112011324056
105,s112011324057
106,s112011324058
107,s112011324059
108,s112011324060
109,s112011324061
110,s112011324062
111,s112011324063
112,s112011324073
113,s112011324083
114,s112011324094
115,s112011324097
116,s112014302024
117,s112014302028
118,s112014302031
119,s112014302033
120,s112014302034
121,s112014302035
122,s112014302036
123,s112014302037
124,s112014302038
125,s112014302043
126,s112014302044
127,s112014302045
128,s112014302046
129,s112014302050
130,s112014302051
131,s112014302054
132,s112014302057
133,s112014302059
134,s112014302060
135,s112014302061
136,s112014302062
137,s112014302063
138,s112014302064
139,s112014302066
140,s112014302067
141,s112014302068
142,s112014302071
143,s112014302073
144,s112014302075
145,s112014302076
146,s112014302077
147,s112014302078
148,s112014302079
149,s112014302080
150,s112014302081
151,s112014302084
152,s112014302085
153,s112014322024
154,s112014322025
155,s112014322026
156,s112014322027
157,s112014322028
158,s112014322029
159,s112014322030
160,s112014322031
161,s112014322032
162,s112014322033
163,s112014322034
164,s112014322035
165,s112014322036
166,s112014322039
167,s112014322040
168,s112014322041
169,s112014322042
170,s112014322043
171,s112014322044
172,s112014322045
173,s112014322046
174,s112014322047
175,s112014322048
176,s112014322049
177,s112014322052
178,s112014322055
179,s112014322056
180,s112014322057
181,s112014322058
182,s112014322059
183,s112014322060
184,s112014322061
185,s112014322062
186,s112014322063
187,s112014322064
188,s112014322065
189,s112014322066
190,s112014322067
191,s112014322068
192,s112014322069
193,s112014322070
194,s112014322071
195,s112014322072
196,s112014322073
197,s112014322074
198,s112014322075
199,s112014322076
200,s112014322077
201,s112014322078
202,s112014332025
203,s112014332026
204,s112014332027
205,s112014332028
206,s112014332029
207,s112014332030
208,s112014332031
209,s112014332032
210,s112014332033
211,s112014332034
212,s112014332035
213,s112014332036
214,s112014332037
215,s112014332038
216,s112014332039
217,s112014332040
218,s112014332041
219,s112014332042
220,s112014332044
221,s112014332045
222,s112014332046
223,s112014332047
224,s112014332048
225,s112014332049
226,s112014332052
227,s112014332053
228,s112014332054
229,s112014332055
230,s112014332056
231,s112014332058
232,s112014332059
233,s112014332060
234,s112014332061
235,s112014332062
236,s112014332063
237,s112014332064
238,s112014332065
239,s112014332066
240,s112014332068
241,s112014332069
242,s112014332070
243,s112014332071
244,s112014332072
245,s112014332073
246,s112014332075
247,s112014332076
248,s112014332077
249,s112014332078
250,s112014332079
251,s112014332080
252,s112014332081
253,s112014332082
254,s112014356024
255,s112014356025
256,s112014356026
257,s112014356027
258,s112014356028
259,s112014356029
260,s112014356030
261,s112014356031
262,s112014356032
263,s112014356033
264,s112014356034
265,s112014356036
266,s112014356037
267,s112014356038
268,s112014356039
269,s112014356040
270,s112014356041
271,s112014356042
272,s112014356043
273,s112014356044
274,s112014356045
275,s112014356046
276,s112014356047
277,s112014356048
278,s112014356049
279,s112014356050
280,s113014356003
281,s113014356004
282,s112014356057
283,s112014356059
284,s112014356061
285,s112014356065
286,s112014356066
287,s112014356071
288,s112014356073
289,s113014356005
290,s112014364024
291,s112014364025
292,s112014364026
293,s112014364027
294,s112014364028
295,s112014364029
296,s112014364030
297,s112014364031
298,s112014364032
299,s112014364033
300,s112014364034
301,s112014364035
302,s112014364036
303,s112014364037
304,s112014364040
305,s112014364041
306,s112014364042
307,s112014364043
308,s112014364044
309,s112014364045
310,s112014364046
311,s112014364047
312,s112014364048
313,s112014364049
314,s112014364050
315,s112014364053
316,s112014364054
317,s112014364055
318,s112014364058
319,s112014364059
320,s112014364060
321,s112014364061
322,s112014364062
323,s112014364063
324,s112014364065
325,s112014364066
326,s112014364067
327,s112014364068
328,s112014364069
329,s112014364070
