feature,coef
v55_14,0.0149
v55_2,0.0115
v55_9,0.0111
v55_1,0.0103
v55_7,0.0096
v6_6,0.0086
v55_3,0.0083
v25_15,0.0069
v6_5,0.0066
v27_1,0.0056
v42_12,0.0053
v55_11,0.0047
v55_6,0.0042
v55_13,0.004
v55_10,0.0032
v55_8,0.0028
v55_12,0.0028
v6_1,0.0021
v28_3,0.002
v42_04,0.0014
v23_3,0.0014
v25_8,0.0014
v54_15,0.0013
v26_3,0.0012
v42_11,0.001
v28_1,0.0009
v25_9,0.0008
v28_10,0.0007
v55_5,0.0006
v42_05,0.0005
v42_13,0.0
v42_03,0.0
v42_02,-0.0
v42_01,0.0
v42_06,0.0
v42_07,-0.0
v42_08,0.0
v36,-0.0
v51,-0.0
v28_8,0.0
v42_09,0.0
v42_10,-0.0
v28_7,-0.0
v28_6,-0.0
v28_9,0.0
v1,0.0
v521,-0.0
v52_1,-0.0
v61,0.0
v57_5,-0.0
v57_1,-0.0
v55_4,0.0
v54_20,-0.0
v54_19,0.0
v54_18,0.0
v54_17,0.0
v54_16,0.0
v54_14,0.0
v54_13,0.0
v54_12,0.0
v54_11,-0.0
v54_10,-0.0
v54_9,0.0
v54_8,0.0
v54_7,0.0
v28_5,0.0
v54_4,-0.0
v54_3,0.0
v54_2,0.0
v54_1,0.0
v52_3,-0.0
v54_5,-0.0
v28_4,-0.0
v2,0.0
v19_4,0.0
v23_2,0.0
v28_2,0.0
v23_1,0.0
v22_6,0.0
v22_5,-0.0
v22_4,-0.0
v22_3,0.0
v22_2,0.0
v22_1,0.0
v19_10,0.0
v19_9,0.0
v19_7,-0.0
v19_6,0.0
v19_5,0.0
v19_3,-0.0
v23_5,0.0
v19_1,-0.0
v6_10,-0.0
v6_9,0.0
v6_8,0.0
v6_7,0.0
v6_3,0.0
v6_2,-0.0
v5_6,-0.0
v5_5,-0.0
v5_4,-0.0
v5_3,-0.0
v5_2,0.0
v5_1,-0.0
v3,0.0
v23_4,-0.0
v62,0.0
v23_6,0.0
v25_7,0.0
v27_4,0.0
v27_3,0.0
v27_2,0.0
v26_6,-0.0
v26_5,0.0
v26_4,0.0
v26_2,0.0
v26_1,0.0
v25_14,0.0
v25_13,-0.0
v23_7,0.0
v25_11,0.0
v25_10,0.0
v25_12,0.0
v23_9,0.0
v25_4,-0.0
v25_3,-0.0
v25_1,-0.0
v23_8,0.0
v25_2,-0.0
v19_2,-0.0001
v25_5,-0.0005
v34,-0.0009
v50,-0.0011
v54_6,-0.0012
v19_8,-0.0016
v42_14,-0.002
v6_4,-0.0021
v57_2,-0.0029
v52_2,-0.003
v57_3,-0.004
v40,-0.0042
v57_4,-0.0044
v38,-0.0044
v49,-0.0052
v25_6,-0.0054
