feature,coef,std_err,t,p_value,ci_low,ci_high,ttest_sig
const,0.154,0.002,69.356,0.0,0.149,0.158,Y
v55_14,0.016,0.004,3.717,0.0,0.007,0.024,Y
v55_7,0.014,0.003,4.473,0.0,0.008,0.02,Y
v55_9,0.012,0.004,3.105,0.002,0.004,0.019,Y
v25_15,0.012,0.004,3.186,0.001,0.005,0.019,Y
v55_2,0.012,0.003,3.802,0.0,0.006,0.018,Y
v55_1,0.01,0.003,3.463,0.001,0.004,0.016,Y
v54_15,0.008,0.004,2.219,0.027,0.001,0.016,Y
v6_6,0.008,0.003,2.818,0.005,0.003,0.014,Y
v5_2,0.007,0.003,1.976,0.048,0.0,0.013,Y
v6_3,0.007,0.004,1.93,0.054,-0.0,0.014,
v6_5,0.007,0.003,2.572,0.01,0.002,0.013,Y
v55_3,0.006,0.004,1.552,0.121,-0.002,0.014,
v57_1,0.006,0.006,1.086,0.277,-0.005,0.018,
v54_18,0.006,0.004,1.64,0.101,-0.001,0.013,
v42_12,0.006,0.003,2.049,0.04,0.0,0.012,Y
v54_8,0.005,0.004,1.244,0.214,-0.003,0.013,
v28_1,0.005,0.004,1.276,0.202,-0.003,0.013,
v26_3,0.005,0.004,1.417,0.157,-0.002,0.012,
v55_5,0.005,0.004,1.254,0.21,-0.003,0.012,
v5_6,0.005,0.004,1.43,0.153,-0.002,0.013,
v26_4,0.004,0.004,1.008,0.313,-0.004,0.011,
v27_1,0.004,0.004,1.022,0.307,-0.003,0.011,
v57_5,0.004,0.005,0.966,0.334,-0.005,0.014,
v27_2,0.004,0.004,1.105,0.269,-0.003,0.011,
v25_8,0.004,0.004,1.126,0.26,-0.003,0.011,
v28_5,0.004,0.004,1.09,0.276,-0.004,0.013,
v28_8,0.004,0.004,1.147,0.251,-0.003,0.011,
v55_12,0.004,0.003,1.306,0.191,-0.002,0.011,
v6_10,0.004,0.003,1.305,0.192,-0.002,0.01,
v6_8,0.004,0.003,1.417,0.156,-0.001,0.009,
v55_8,0.004,0.004,1.235,0.217,-0.003,0.011,
v52_3,0.003,0.004,0.697,0.486,-0.005,0.011,
v54_1,0.003,0.003,1.05,0.294,-0.003,0.01,
v54_13,0.003,0.003,0.988,0.323,-0.003,0.009,
v55_10,0.003,0.004,0.898,0.369,-0.004,0.01,
v23_5,0.003,0.004,0.698,0.485,-0.005,0.01,
v55_6,0.003,0.003,0.743,0.457,-0.004,0.009,
v25_1,0.003,0.003,0.874,0.382,-0.004,0.01,
v23_7,0.003,0.003,0.845,0.398,-0.003,0.008,
v62,0.003,0.002,1.105,0.269,-0.002,0.007,
v22_6,0.003,0.003,1.304,0.192,-0.002,0.009,
v19_3,0.003,0.003,0.757,0.449,-0.004,0.009,
v23_6,0.002,0.003,0.783,0.434,-0.004,0.008,
v19_5,0.002,0.003,0.891,0.373,-0.003,0.008,
v19_10,0.002,0.003,0.733,0.464,-0.004,0.009,
v42_05,0.002,0.003,0.785,0.432,-0.004,0.009,
v23_1,0.002,0.003,0.662,0.508,-0.005,0.009,
v54_2,0.002,0.004,0.477,0.633,-0.005,0.009,
v28_2,0.002,0.004,0.408,0.683,-0.007,0.011,
v54_12,0.002,0.003,0.763,0.445,-0.004,0.008,
v54_4,0.002,0.004,0.608,0.543,-0.005,0.01,
v19_4,0.002,0.003,0.744,0.457,-0.003,0.007,
v54_17,0.002,0.003,0.622,0.534,-0.005,0.009,
v6_1,0.002,0.003,0.55,0.582,-0.004,0.007,
v55_13,0.002,0.004,0.461,0.645,-0.007,0.011,
v3,0.002,0.002,0.941,0.347,-0.002,0.007,
v2,0.002,0.002,1.032,0.302,-0.002,0.007,
v6_7,0.001,0.003,0.275,0.783,-0.004,0.006,
v42_13,0.001,0.003,0.415,0.678,-0.004,0.007,
v42_11,0.001,0.003,0.47,0.638,-0.004,0.007,
v42_08,0.001,0.004,0.283,0.777,-0.006,0.008,
v42_04,0.001,0.003,0.208,0.836,-0.005,0.006,
v42_03,0.001,0.003,0.488,0.625,-0.004,0.007,
v61,0.001,0.003,0.502,0.616,-0.004,0.007,
v1,0.001,0.003,0.189,0.85,-0.005,0.007,
v28_3,0.001,0.004,0.236,0.813,-0.007,0.009,
v42_10,0.001,0.004,0.334,0.738,-0.006,0.008,
v25_7,0.001,0.003,0.276,0.783,-0.006,0.008,
v23_8,0.001,0.003,0.503,0.615,-0.004,0.007,
v22_4,0.001,0.003,0.376,0.707,-0.004,0.007,
v25_12,0.001,0.004,0.285,0.776,-0.007,0.009,
v25_11,0.001,0.004,0.23,0.818,-0.007,0.009,
v26_1,0.001,0.004,0.245,0.807,-0.006,0.008,
v19_6,-0.0,0.003,-0.124,0.902,-0.006,0.005,
v42_09,-0.0,0.003,-0.136,0.892,-0.006,0.006,
