feature,coef,std_err,t,p_value,ci_low,ci_high,ttest_sig
const,0.154,0.002,68.394,0.0,0.149,0.158,Y
v55_14,0.016,0.005,3.266,0.001,0.006,0.025,Y
v55_7,0.014,0.003,4.071,0.0,0.007,0.021,Y
v55_9,0.012,0.005,2.551,0.011,0.003,0.021,Y
v25_15,0.012,0.004,3.017,0.003,0.004,0.02,Y
v55_2,0.012,0.003,3.386,0.001,0.005,0.018,Y
v55_1,0.01,0.004,2.855,0.004,0.003,0.017,Y
v54_15,0.008,0.004,2.272,0.023,0.001,0.015,Y
v6_6,0.008,0.003,2.603,0.009,0.002,0.014,Y
v5_2,0.007,0.004,1.855,0.064,-0.0,0.014,
v6_3,0.007,0.004,1.815,0.07,-0.001,0.014,
v6_5,0.007,0.003,2.152,0.031,0.001,0.014,Y
v55_3,0.006,0.005,1.325,0.185,-0.003,0.015,
v57_1,0.006,0.006,1.075,0.282,-0.005,0.018,
v54_18,0.006,0.004,1.514,0.13,-0.002,0.014,
v42_12,0.006,0.004,1.41,0.159,-0.002,0.014,
v54_8,0.005,0.004,1.252,0.211,-0.003,0.013,
v28_1,0.005,0.004,1.302,0.193,-0.003,0.013,
v26_3,0.005,0.004,1.327,0.185,-0.002,0.013,
v55_5,0.005,0.005,0.978,0.328,-0.005,0.014,
v5_6,0.005,0.004,1.387,0.165,-0.002,0.013,
v26_4,0.004,0.003,1.099,0.272,-0.003,0.011,
v27_1,0.004,0.004,0.995,0.32,-0.004,0.011,
v57_5,0.004,0.005,0.94,0.347,-0.005,0.014,
v27_2,0.004,0.003,1.129,0.259,-0.003,0.011,
v25_8,0.004,0.004,1.09,0.276,-0.003,0.012,
v28_5,0.004,0.004,1.135,0.256,-0.003,0.012,
v28_8,0.004,0.004,1.113,0.266,-0.003,0.011,
v55_12,0.004,0.004,1.091,0.275,-0.004,0.013,
v6_10,0.004,0.003,1.143,0.253,-0.003,0.011,
v6_8,0.004,0.003,1.305,0.192,-0.002,0.009,
v55_8,0.004,0.004,1.157,0.247,-0.003,0.012,
v52_3,0.003,0.004,0.663,0.507,-0.006,0.011,
v54_1,0.003,0.003,1.059,0.289,-0.003,0.01,
v54_13,0.003,0.003,0.976,0.329,-0.003,0.009,
v55_10,0.003,0.004,0.788,0.431,-0.005,0.011,
v23_5,0.003,0.004,0.682,0.495,-0.005,0.011,
v55_6,0.003,0.004,0.602,0.547,-0.006,0.011,
v25_1,0.003,0.003,0.881,0.378,-0.004,0.01,
v23_7,0.003,0.003,0.831,0.406,-0.003,0.009,
v62,0.003,0.003,0.771,0.441,-0.004,0.009,
v22_6,0.003,0.003,1.249,0.212,-0.002,0.009,
v19_3,0.003,0.003,0.764,0.445,-0.004,0.009,
v23_6,0.002,0.003,0.812,0.417,-0.003,0.008,
v19_5,0.002,0.003,0.92,0.358,-0.003,0.008,
v19_10,0.002,0.003,0.732,0.464,-0.004,0.009,
v42_05,0.002,0.004,0.623,0.533,-0.005,0.01,
v23_1,0.002,0.004,0.641,0.521,-0.005,0.009,
v54_2,0.002,0.004,0.476,0.634,-0.005,0.009,
v28_2,0.002,0.004,0.418,0.676,-0.007,0.01,
v54_12,0.002,0.003,0.784,0.433,-0.004,0.008,
v54_4,0.002,0.004,0.561,0.575,-0.006,0.01,
v19_4,0.002,0.003,0.792,0.428,-0.003,0.007,
v54_17,0.002,0.003,0.623,0.533,-0.005,0.009,
v6_1,0.002,0.003,0.51,0.61,-0.004,0.008,
v55_13,0.002,0.005,0.417,0.677,-0.008,0.012,
v3,0.002,0.003,0.755,0.45,-0.004,0.008,
v2,0.002,0.002,1.024,0.306,-0.002,0.007,
v6_7,0.001,0.003,0.262,0.794,-0.005,0.006,
v42_13,0.001,0.004,0.28,0.779,-0.007,0.009,
v42_11,0.001,0.003,0.412,0.68,-0.005,0.007,
v42_08,0.001,0.005,0.205,0.838,-0.009,0.011,
v42_04,0.001,0.003,0.167,0.867,-0.006,0.007,
