feature,coef
v55_14,0.0105
v55_2,0.0102
v55_1,0.0101
v55_7,0.0097
v25_15,0.0087
v55_9,0.0082
v6_6,0.0074
v42_12,0.0071
v6_5,0.0067
v55_3,0.0065
v54_15,0.0054
v55_10,0.0052
v54_8,0.0049
v55_6,0.0049
v27_1,0.0048
v55_11,0.0047
v55_13,0.0045
v55_8,0.0044
v54_18,0.004
v55_12,0.0039
v28_5,0.0038
v26_4,0.0037
v6_3,0.0036
v54_17,0.0035
v6_1,0.0035
v26_3,0.0035
v5_2,0.0034
v55_5,0.0033
v28_1,0.0032
v28_8,0.0031
v28_10,0.0031
v28_3,0.003
v22_3,0.003
v42_11,0.0029
v25_7,0.0029
v42_04,0.0028
v23_3,0.0025
v42_05,0.0025
v42_03,0.0024
v42_13,0.0024
v62,0.0024
v3,0.0024
v2,0.0024
v6_8,0.0023
v27_2,0.0022
v23_8,0.0021
v19_10,0.0021
v25_9,0.0021
v52_3,0.002
v23_5,0.0019
v25_8,0.0019
v54_1,0.0018
v25_12,0.0018
v57_1,0.0018
v54_12,0.0016
v5_6,0.0016
v54_4,0.0015
v42_09,0.0015
v1,0.0015
v54_2,0.0014
v19_5,0.0014
v19_9,0.0012
v28_2,0.0012
v6_10,0.0011
v6_2,0.0011
v26_5,0.0011
v54_7,0.0011
v22_6,0.001
v19_4,0.0009
v54_16,0.0009
v19_3,0.0009
v23_1,0.0009
v23_7,0.0007
v25_1,0.0006
v23_2,0.0006
v6_7,0.0006
v54_13,0.0005
v5_3,0.0005
v57_5,0.0005
v521,0.0004
v55_4,0.0003
v36,0.0003
v42_08,0.0003
v23_6,0.0003
v27_3,0.0002
v61,0.0001
v25_11,0.0
v6_9,0.0
v54_19,-0.0
v42_01,-0.0001
v54_3,-0.0002
v25_10,-0.0003
v22_1,-0.0003
v22_2,-0.0005
v22_5,-0.0005
v51,-0.0007
v5_4,-0.0008
v19_6,-0.0008
v42_06,-0.001
v26_1,-0.0011
v28_9,-0.0012
v54_11,-0.0012
v25_14,-0.0014
v42_14,-0.0014
v25_4,-0.0015
v25_3,-0.0015
v50,-0.0016
v54_10,-0.0016
v5_1,-0.0017
v19_1,-0.0017
v25_2,-0.0017
v23_9,-0.0017
v52_1,-0.0019
v22_4,-0.002
v34,-0.0021
v27_4,-0.0022
v28_4,-0.0024
v42_07,-0.0024
v26_6,-0.0025
v25_5,-0.0026
v5_5,-0.0026
v54_14,-0.0028
v54_20,-0.0028
v54_9,-0.0028
v54_5,-0.0028
v19_7,-0.0029
v42_02,-0.003
v26_2,-0.0031
v19_2,-0.0031
v28_6,-0.0033
v19_8,-0.0033
v42_10,-0.0034
v57_2,-0.0036
v23_4,-0.0042
v52_2,-0.0043
v25_13,-0.0045
v38,-0.005
v40,-0.005
v57_3,-0.005
v57_4,-0.0057
v28_7,-0.006
v54_6,-0.0062
v25_6,-0.0062
v6_4,-0.0064
v49,-0.0065
