Group_ID,n_items_total,n_items_in_data,n_used_rows,valid_row_pct,avg_valid_items,rho_spearman,p_value,q_value
v55,14,14,7175,1.0,14.0,0.493,0.0,0.0
v28,10,10,7150,0.997,10.0,0.222,0.0,0.0
v27,4,4,7159,0.998,4.0,0.185,0.0,0.0
v26,6,6,7156,0.997,6.0,0.143,0.0,0.0
v42,14,14,7172,1.0,14.0,0.141,0.0,0.0
v23,9,9,7163,0.998,9.0,0.127,0.0,0.0
v25,15,15,7156,0.997,15.0,0.126,0.0,0.0
v22,6,6,7147,0.996,6.0,0.067,0.0,0.0
v2,1,1,7131,0.994,1.0,0.056,0.0,0.0
v6,10,10,7153,0.997,10.0,0.034,0.004,0.005
v3,1,1,7164,0.998,1.0,-0.052,0.0,0.0
v62,1,1,6974,0.972,1.0,-0.071,0.0,0.0
v54,20,20,7159,0.998,20.0,-0.104,0.0,0.0
v61,1,1,6987,0.974,1.0,-0.107,0.0,0.0
v40,1,1,7171,0.999,1.0,-0.113,0.0,0.0
v19,10,10,7153,0.997,10.0,-0.118,0.0,0.0
v49,1,1,7157,0.997,1.0,-0.125,0.0,0.0
v36,1,1,7167,0.999,1.0,-0.129,0.0,0.0
v38,1,1,7167,0.999,1.0,-0.142,0.0,0.0
v1,1,1,7175,1.0,1.0,-0.161,0.0,0.0
v34,1,1,7153,0.997,1.0,-0.162,0.0,0.0
v5,6,6,7141,0.995,6.0,-0.2,0.0,0.0
v521,1,1,7149,0.996,1.0,-0.279,0.0,0.0
v57,5,5,7147,0.996,5.0,-0.301,0.0,0.0
v51,1,1,7155,0.997,1.0,-0.304,0.0,0.0
v52,3,3,7149,0.996,3.0,-0.309,0.0,0.0
v50,1,1,7175,1.0,1.0,-0.311,0.0,0.0
