metric,full_model,drop_model,delta_drop_minus_full
train_r2,0.21688457078072187,0.21144719333177497,-0.005437377448946901
train_rmse,0.18733425880512536,0.1879834894507546,0.0006492306456292452
train_mae,0.127066059643069,0.1279862662465083,0.0009202066034393053
test_r2,0.21700966256001175,0.21168777875344869,-0.005321883806563066
test_rmse,0.1913699462607924,0.19201920325669586,0.0006492569959034578
test_mae,0.1307159840572244,0.13098352407188335,0.0002675400146589513
cv5_r2_mean,0.2098733830151514,0.20536454726887624,-0.004508835746275169
cv5_rmse_mean,0.18888958466319702,0.18942311838557496,0.000533533722377938
cv5_mae_mean,0.12798480868034964,0.12877679071063025,0.000791982030280608
alpha_selected,251.18864315095823,199.5262314968883,-51.66241165406993
n_features,24.0,20.0,-4.0
