feature_name,source_group_id,feature_type,items_requested,items_used,item_count_requested,item_count_used,missing_items_from_mapping,tmp_col,is_drop_candidate_by_source,feature_col,coef,abs_coef
v55,v55,whole_group,v55_1; v55_2; v55_3; v55_4; v55_5; v55_6; v55_7; v55_8; v55_9; v55_10; v55_11; v55_12; v55_13; v55_14,v55_1; v55_2; v55_3; v55_4; v55_5; v55_6; v55_7; v55_8; v55_9; v55_10; v55_11; v55_12; v55_13; v55_14,14,14,,__tmp_feature_v55,False,feature_v55,0.06913434557703878,0.06913434557703878
v25_B,v25,subscale,v25_4; v25_5; v25_6,v25_4; v25_5; v25_6,3,3,,__tmp_feature_v25_B,False,feature_v25_B,-0.01228554281418793,0.01228554281418793
v25_C,v25,subscale,v25_7; v25_8; v25_9; v25_10; v25_11; v25_12; v25_13; v25_14; v25_15,v25_7; v25_8; v25_9; v25_10; v25_11; v25_12; v25_13; v25_14; v25_15,9,9,,__tmp_feature_v25_C,False,feature_v25_C,0.011704704551938776,0.011704704551938776
v5,v5,whole_group,v5_1; v5_2; v5_3; v5_4; v5_5; v5_6,v5_1; v5_2; v5_3; v5_4; v5_5; v5_6,6,6,,__tmp_feature_v5,False,feature_v5,-0.00893510353463877,0.00893510353463877
v49,v49,whole_group,v49,v49,1,1,,__tmp_feature_v49,False,feature_v49,-0.008856755206603586,0.008856755206603586
v6,v6,whole_group,v6_1; v6_2; v6_3; v6_4; v6_5; v6_6; v6_7; v6_8; v6_9; v6_10,v6_1; v6_2; v6_3; v6_4; v6_5; v6_6; v6_7; v6_8; v6_9; v6_10,10,10,,__tmp_feature_v6,False,feature_v6,0.008760181186393446,0.008760181186393446
v27_A,v27,subscale,v27_1; v27_2; v27_3,v27_1; v27_2; v27_3,3,3,,__tmp_feature_v27_A,False,feature_v27_A,0.0076724229075549755,0.0076724229075549755
v42,v42,whole_group,v42_01; v42_02; v42_03; v42_04; v42_05; v42_06; v42_07; v42_08; v42_09; v42_10; v42_11; v42_12; v42_13; v42_14,v42_01; v42_02; v42_03; v42_04; v42_05; v42_06; v42_07; v42_08; v42_09; v42_10; v42_11; v42_12; v42_13; v42_14,14,14,,__tmp_feature_v42,False,feature_v42,0.007660033386091275,0.007660033386091275
v54_B,v54,subscale,v54_4; v54_5; v54_6,v54_4; v54_5; v54_6,3,3,,__tmp_feature_v54_B,False,feature_v54_B,-0.007524811281856641,0.007524811281856641
v38,v38,whole_group,v38,v38,1,1,,__tmp_feature_v38,False,feature_v38,-0.006105861718229039,0.006105861718229039
v40,v40,whole_group,v40,v40,1,1,,__tmp_feature_v40,False,feature_v40,-0.006096399795458269,0.006096399795458269
