metric,full_model,drop_model,delta_drop_minus_full
train_r2,0.22048488499621144,0.21755917332557972,-0.0029257116706317143
train_rmse,0.18690313514556592,0.18725355333634322,0.00035041819077730185
train_mae,0.12698479333306856,0.12768904917797363,0.0007042558449050773
test_r2,0.22019752143115023,0.21868088630036964,-0.001516635130780597
test_rmse,0.19097997810451653,0.1911656060394607,0.0001856279349441714
test_mae,0.1302470700399708,0.1303662371691997,0.00011916712922890871
cv5_r2_mean,0.21098622680742768,0.209206659926826,-0.001779566880601685
cv5_rmse_mean,0.18875753583874885,0.18896865809269733,0.0002111222539484814
cv5_mae_mean,0.1280471605715756,0.12858283098171858,0.0005356704101429632
alpha_selected,251.18864315095823,251.18864315095823,0.0
n_features,32.0,28.0,-4.0
