metric,full_model,drop_model,delta_drop_minus_full
train_r2,0.22048488499621133,0.21755917332557972,-0.0029257116706316033
train_rmse,0.8790009470416287,0.8806489553605578,0.001648008318929084
train_mae,0.5972064273438744,0.6005185256355858,0.0033120982917114183
test_r2,0.22019752143115057,0.21868088630036975,-0.001516635130780819
test_rmse,0.8981742413743672,0.8990472450855476,0.0008730037111803757
test_mae,0.6125488361945636,0.6131092763357462,0.0005604401411826165
cv5_r2_mean,0.2109862268074269,0.2092066599268268,-0.001779566880600103
cv5_rmse_mean,0.8877221488782541,0.8887150517582274,0.0009929028799733342
cv5_mae_mean,0.6022027149022744,0.6047219599510576,0.002519245048783203
alpha_selected,251.18864315095823,251.18864315095823,0.0
n_features,32.0,28.0,-4.0
