feature,group_id,coef,abs_coef,n_items_in_group,items_used
group_v55,v55,0.07355219546650775,0.07355219546650775,14,v55_1; v55_2; v55_3; v55_4; v55_5; v55_6; v55_7; v55_8; v55_9; v55_10; v55_11; v55_12; v55_13; v55_14
group_v5,v5,-0.011234066301355386,0.011234066301355386,6,v5_1; v5_2; v5_3; v5_4; v5_5; v5_6
group_v27,v27,0.009843219974533399,0.009843219974533399,4,v27_1; v27_2; v27_3; v27_4
group_v49,v49,-0.009115684259277173,0.009115684259277173,1,v49
group_v6,v6,0.008560109132076195,0.008560109132076195,10,v6_1; v6_2; v6_3; v6_4; v6_5; v6_6; v6_7; v6_8; v6_9; v6_10
group_v42,v42,0.007825406862352812,0.007825406862352812,14,v42_01; v42_02; v42_03; v42_04; v42_05; v42_06; v42_07; v42_08; v42_09; v42_10; v42_11; v42_12; v42_13; v42_14
group_v38,v38,-0.006496213611603878,0.006496213611603878,1,v38
group_v40,v40,-0.005711653566645066,0.005711653566645066,1,v40
group_v28,v28,0.005340740538365645,0.005340740538365645,10,v28_1; v28_2; v28_3; v28_4; v28_5; v28_6; v28_7; v28_8; v28_9; v28_10
group_v521,v521,-0.005148691586257886,0.005148691586257886,1,v521
group_v19,v19,-0.004349134229899999,0.004349134229899999,10,v19_1; v19_2; v19_3; v19_4; v19_5; v19_6; v19_7; v19_8; v19_9; v19_10
group_v34,v34,-0.0038824216935108994,0.0038824216935108994,1,v34
group_v25,v25,0.003554634522409893,0.003554634522409893,15,v25_1; v25_2; v25_3; v25_4; v25_5; v25_6; v25_7; v25_8; v25_9; v25_10; v25_11; v25_12; v25_13; v25_14; v25_15
group_v54,v54,-0.0027465449605639253,0.0027465449605639253,20,v54_1; v54_2; v54_3; v54_4; v54_5; v54_6; v54_7; v54_8; v54_9; v54_10; v54_11; v54_12; v54_13; v54_14; v54_15; v54_16; v54_17; v54_18; v54_19; v54_20
group_v1,v1,0.0017393714519436726,0.0017393714519436726,1,v1
group_v23,v23,0.001492380853749191,0.001492380853749191,9,v23_1; v23_2; v23_3; v23_4; v23_5; v23_6; v23_7; v23_8; v23_9
group_v22,v22,-0.0011023736928460158,0.0011023736928460158,6,v22_1; v22_2; v22_3; v22_4; v22_5; v22_6
group_v3,v3,0.0010734099678757262,0.0010734099678757262,1,v3
group_v36,v36,0.0006731006509349802,0.0006731006509349802,1,v36
group_v26,v26,-0.0006319104200096733,0.0006319104200096733,6,v26_1; v26_2; v26_3; v26_4; v26_5; v26_6
