feature,group_id,coef,abs_coef,n_items_in_group,items_used
group_v55,v55,0.06610822483594751,0.06610822483594751,14,v55_1; v55_2; v55_3; v55_4; v55_5; v55_6; v55_7; v55_8; v55_9; v55_10; v55_11; v55_12; v55_13; v55_14
group_v57,v57,-0.014883418699991402,0.014883418699991402,5,v57_1; v57_2; v57_3; v57_4; v57_5
group_v6,v6,0.008946146150998993,0.008946146150998993,10,v6_1; v6_2; v6_3; v6_4; v6_5; v6_6; v6_7; v6_8; v6_9; v6_10
group_v27,v27,0.008699526982949674,0.008699526982949674,4,v27_1; v27_2; v27_3; v27_4
group_v42,v42,0.007969497773113355,0.007969497773113355,14,v42_01; v42_02; v42_03; v42_04; v42_05; v42_06; v42_07; v42_08; v42_09; v42_10; v42_11; v42_12; v42_13; v42_14
group_v5,v5,-0.007755109873460834,0.007755109873460834,6,v5_1; v5_2; v5_3; v5_4; v5_5; v5_6
group_v49,v49,-0.007573624974938942,0.007573624974938942,1,v49
group_v52,v52,-0.007461231057670993,0.007461231057670993,3,v52_1; v52_2; v52_3
group_v38,v38,-0.006116741927389438,0.006116741927389438,1,v38
group_v40,v40,-0.005716943868840447,0.005716943868840447,1,v40
group_v50,v50,-0.004974459263374646,0.004974459263374646,1,v50
group_v28,v28,0.004262963137037483,0.004262963137037483,10,v28_1; v28_2; v28_3; v28_4; v28_5; v28_6; v28_7; v28_8; v28_9; v28_10
group_v19,v19,-0.003965222357102888,0.003965222357102888,10,v19_1; v19_2; v19_3; v19_4; v19_5; v19_6; v19_7; v19_8; v19_9; v19_10
group_v1,v1,0.0037752233010086814,0.0037752233010086814,1,v1
group_v34,v34,-0.0031276672603092947,0.0031276672603092947,1,v34
group_v25,v25,0.002985163298492948,0.002985163298492948,15,v25_1; v25_2; v25_3; v25_4; v25_5; v25_6; v25_7; v25_8; v25_9; v25_10; v25_11; v25_12; v25_13; v25_14; v25_15
group_v54,v54,0.002844852695679303,0.002844852695679303,20,v54_1; v54_2; v54_3; v54_4; v54_5; v54_6; v54_7; v54_8; v54_9; v54_10; v54_11; v54_12; v54_13; v54_14; v54_15; v54_16; v54_17; v54_18; v54_19; v54_20
group_v3,v3,0.0025614442659890498,0.0025614442659890498,1,v3
group_v23,v23,0.0019219414881266744,0.0019219414881266744,9,v23_1; v23_2; v23_3; v23_4; v23_5; v23_6; v23_7; v23_8; v23_9
group_v36,v36,0.0008679816167205878,0.0008679816167205878,1,v36
group_v51,v51,-0.0005153108139822358,0.0005153108139822358,1,v51
group_v521,v521,-0.00037863432889657987,0.00037863432889657987,1,v521
group_v26,v26,0.0003108100247025368,0.0003108100247025368,6,v26_1; v26_2; v26_3; v26_4; v26_5; v26_6
group_v22,v22,-5.1567969409192e-05,5.1567969409192e-05,6,v22_1; v22_2; v22_3; v22_4; v22_5; v22_6
