task,model_variant,metric,value
binary_classification_median_total,no_drop,n_features,32.0
binary_classification_median_total,no_drop,test_accuracy,0.6967971530249111
binary_classification_median_total,no_drop,test_precision,0.7377049180327869
binary_classification_median_total,no_drop,test_recall,0.6284916201117319
binary_classification_median_total,no_drop,test_f1,0.6787330316742082
binary_classification_median_total,no_drop,test_auc,0.7665834218485215
binary_classification_median_total,no_drop,cv5_accuracy_mean,0.6989908852186433
binary_classification_median_total,no_drop,cv5_f1_mean,0.6872871427043622
binary_classification_median_total,no_drop,cv5_auc_mean,0.7645588891816696
binary_classification_median_total,drop,n_features,28.0
binary_classification_median_total,drop,test_accuracy,0.7103202846975089
binary_classification_median_total,drop,test_precision,0.760539629005059
binary_classification_median_total,drop,test_recall,0.6298882681564246
binary_classification_median_total,drop,test_f1,0.6890756302521008
binary_classification_median_total,drop,test_auc,0.7662874703034923
binary_classification_median_total,drop,cv5_accuracy_mean,0.7038338858979427
binary_classification_median_total,drop,cv5_f1_mean,0.6899874040449292
binary_classification_median_total,drop,cv5_auc_mean,0.7633859146636346
binary_classification_median_total,drop_plus_enemy_ratio,n_features,29.0
binary_classification_median_total,drop_plus_enemy_ratio,test_accuracy,0.7096085409252669
binary_classification_median_total,drop_plus_enemy_ratio,test_precision,0.7592592592592593
binary_classification_median_total,drop_plus_enemy_ratio,test_recall,0.6298882681564246
binary_classification_median_total,drop_plus_enemy_ratio,test_f1,0.6885496183206107
binary_classification_median_total,drop_plus_enemy_ratio,test_auc,0.7656631341674032
binary_classification_median_total,drop_plus_enemy_ratio,cv5_accuracy_mean,0.7031223449017043
binary_classification_median_total,drop_plus_enemy_ratio,cv5_f1_mean,0.689292809679002
binary_classification_median_total,drop_plus_enemy_ratio,cv5_auc_mean,0.7633534966714243
binary_classification_median_total,drop_plus_enemy_ratio_enemy_total,n_features,30.0
binary_classification_median_total,drop_plus_enemy_ratio_enemy_total,test_accuracy,0.708185053380783
binary_classification_median_total,drop_plus_enemy_ratio_enemy_total,test_precision,0.7567114093959731
binary_classification_median_total,drop_plus_enemy_ratio_enemy_total,test_recall,0.6298882681564246
binary_classification_median_total,drop_plus_enemy_ratio_enemy_total,test_f1,0.6875
binary_classification_median_total,drop_plus_enemy_ratio_enemy_total,test_auc,0.7652536669612668
