feature_name,source_group_id,feature_type,tmp_col,is_drop_candidate_by_source
v55,v55,whole_group,__tmp_feature_v55,False
v57,v57,whole_group,__tmp_feature_v57,True
v52,v52,whole_group,__tmp_feature_v52,True
v50,v50,whole_group,__tmp_feature_v50,True
v51,v51,whole_group,__tmp_feature_v51,True
v27_A,v27,subscale,__tmp_feature_v27_A,False
v27_B,v27,subscale,__tmp_feature_v27_B,False
v42,v42,whole_group,__tmp_feature_v42,False
v6,v6,whole_group,__tmp_feature_v6,False
v5,v5,whole_group,__tmp_feature_v5,False
v49,v49,whole_group,__tmp_feature_v49,False
v38,v38,whole_group,__tmp_feature_v38,False
v40,v40,whole_group,__tmp_feature_v40,False
v28,v28,whole_group,__tmp_feature_v28,False
v25_A,v25,subscale,__tmp_feature_v25_A,False
v25_B,v25,subscale,__tmp_feature_v25_B,False
v25_C,v25,subscale,__tmp_feature_v25_C,False
v34,v34,whole_group,__tmp_feature_v34,False
v19,v19,whole_group,__tmp_feature_v19,False
v1,v1,whole_group,__tmp_feature_v1,False
v3,v3,whole_group,__tmp_feature_v3,False
v23_A,v23,subscale,__tmp_feature_v23_A,False
v23_B,v23,subscale,__tmp_feature_v23_B,False
v23_C,v23,subscale,__tmp_feature_v23_C,False
v36,v36,whole_group,__tmp_feature_v36,False
v521,v521,whole_group,__tmp_feature_v521,False
v26_A,v26,subscale,__tmp_feature_v26_A,False
v26_B,v26,subscale,__tmp_feature_v26_B,False
v54_A,v54,subscale,__tmp_feature_v54_A,False
v54_B,v54,subscale,__tmp_feature_v54_B,False
v54_C,v54,subscale,__tmp_feature_v54_C,False
v22,v22,whole_group,__tmp_feature_v22,False
