metric,no_drop,drop,drop_plus_enemy_ratio,drop_plus_enemy_ratio_enemy_total,delta_drop_minus_nodrop,delta_ratio_minus_drop,delta_ratio_total_minus_drop
alpha_selected,251.18864315095823,251.18864315095823,251.18864315095823,251.18864315095823,0.0,0.0,0.0
n_features,32.0,28.0,29.0,30.0,-4.0,1.0,2.0
train_r2,0.22116742182309423,0.218179386024969,0.21844694448798552,0.21896683280329932,-0.0029880357981252326,0.0002675584630165151,0.0007874467783303141
train_rmse,0.7461099419441907,0.7475398185711142,0.747411894264435,0.7471632640860182,0.0014298766269235097,-0.00012792430667918353,-0.0003765544850959923
train_mae,0.5062167718938781,0.5087491881610882,0.5089328202887518,0.5088414376905284,0.0025324162672100137,0.00018363212766359105,9.22495294402026e-05
test_r2,0.21476812180389027,0.2141716689464369,0.2142472931703009,0.21208765870703983,-0.0005964528574533556,7.562422386397927e-05,-0.0020840102393970827
test_rmse,0.7376245271919367,0.7379046194513874,0.7378691124554233,0.7388824300703601,0.0002800922594506927,-3.5506995964107446e-05,0.0009778106189727298
test_mae,0.49511215199529596,0.4964545634136166,0.4965052784185473,0.49760606831158527,0.0013424114183206437,5.071500493070147e-05,0.0011515048979686693
cv5_r2_mean,0.21065095743490145,0.20938482169388192,0.2086619651485345,0.20862216048988333,-0.001266135741019525,-0.0007228565453474278,-0.0007626612039985936
cv5_rmse_mean,0.7482969125270044,0.7489286423366248,0.7492698432829087,0.7492900486443956,0.0006317298096204516,0.00034120094628387054,0.0003614063077708174
cv5_mae_mean,0.506432645780881,0.5083878266491315,0.5087961942855258,0.5088346234847345,0.001955180868250528,0.0004083676363942912,0.00044679683560300276
test_median_class_acc_from_score,0.604982206405694,0.602135231316726,0.606405693950178,0.6056939501779359,-0.002846975088968029,0.004270462633451988,0.003558718861209953
