item,value
w2_rows_raw,7023.0
w3_rows_raw,7023.0
w2_duplicate_student_id_count,0.0
w3_duplicate_student_id_count,0.0
rows_after_w2w3_inner_merge,7023.0
rows_after_target_nonmissing,7023.0
train_rows,5618.0
test_rows,1405.0
target_w3_54_sum_median_cutoff,18.0
target_w3_54_mean_median_cutoff,1.2857142857142858
abnormal_n_total_by_sum_median,3579.0
normal_n_total_by_sum_median,3444.0
enemy_ratio_missing_after_merge,44.0
enemy_total_missing_after_merge,0.0
no_drop_feature_count,32.0
drop_feature_count,28.0
w3_target_items_requested_count,14.0
w3_target_items_used_count,14.0
