class_value,count
801,1007
803,586
802,444
805,393
804,353
806,337
807,288
809,245
815,231
八年二班,219
811,187
201,187
812,185
808,176
八年一班,167
810,162
203,125
202,120
820,108
813,107
八年四班,107
814,106
八年五班,100
204,100
209,88
8年1班,88
八年六班,83
816,79
206,72
八年三班,66
八年忠班,60
八年九班,56
205,52
826,52
國二戊,50
817,50
國二5,48
國二03,47
國二甲,46
國二14,46
八年7班,46
J204,43
八勤,43
國二乙,43
國二仁,42
J209,41
國二07,41
8年3班,40
國二忠,40
國二和,40
Y217,39
國二4,39
Y27,39
108,36
八義,35
國二己,35
國二1,33
207,33
國中201,33
國二義,33
國二丁,32
二年1班,31
225,30
國中203,30
8年7班,30
八年十四班,30
8年10班,30
八年10班,29
213,29
八年8班,29
二年3班,28
八年06班,28
818,28
2年1班,28
2年10班,28
819,28
八年十一班,28
八年5班,28
8年6班,28
八年1班,27
829,27
八年孝班,27
8年23班,27
8年11班,27
8年15班,27
208,26
八年13班,26
八年04班,26
八年2班,26
8年2班,25
八年八班,25
八年12班,24
八年仁班,24
八年十班,24
八年01班,23
八年十三班,22
二年二班,20
二年一班,19
八年9班,19
八年18班,18
八年4班,17
二年忠班,11
國中二A,6
