student_id,class_source_raw,class_numeric_final,parse_method,conversion_stage
s112011301024,801,801,numeric_integer,numeric_integer
s112011301025,801,801,numeric_integer,numeric_integer
s112011301026,801,801,numeric_integer,numeric_integer
s112011301028,801,801,numeric_integer,numeric_integer
s112011301029,801,801,numeric_integer,numeric_integer
s112011301031,801,801,numeric_integer,numeric_integer
s112011301032,801,801,numeric_integer,numeric_integer
s112011301033,801,801,numeric_integer,numeric_integer
s112011301034,801,801,numeric_integer,numeric_integer
s112011301035,801,801,numeric_integer,numeric_integer
s112011301037,801,801,numeric_integer,numeric_integer
s112011301038,801,801,numeric_integer,numeric_integer
s112011301039,801,801,numeric_integer,numeric_integer
s112011301040,801,801,numeric_integer,numeric_integer
s112011301042,801,801,numeric_integer,numeric_integer
s112011301043,801,801,numeric_integer,numeric_integer
s112011301044,801,801,numeric_integer,numeric_integer
s112011301045,801,801,numeric_integer,numeric_integer
s112011301046,801,801,numeric_integer,numeric_integer
s112011301047,801,801,numeric_integer,numeric_integer
s112011301048,801,801,numeric_integer,numeric_integer
s112011301049,801,801,numeric_integer,numeric_integer
s112011301050,801,801,numeric_integer,numeric_integer
s112011301051,801,801,numeric_integer,numeric_integer
s112011301052,801,801,numeric_integer,numeric_integer
s112011301053,801,801,numeric_integer,numeric_integer
s112011301054,801,801,numeric_integer,numeric_integer
s112011301055,801,801,numeric_integer,numeric_integer
s112011301056,801,801,numeric_integer,numeric_integer
s112011301057,801,801,numeric_integer,numeric_integer
s113011301003,801,801,numeric_integer,numeric_integer
s113011301004,801,801,numeric_integer,numeric_integer
s112011301061,805,805,numeric_integer,numeric_integer
s112011301062,805,805,numeric_integer,numeric_integer
s112011301063,805,805,numeric_integer,numeric_integer
s112011301064,805,805,numeric_integer,numeric_integer
s112011301065,805,805,numeric_integer,numeric_integer
s112011301066,805,805,numeric_integer,numeric_integer
s112011301067,805,805,numeric_integer,numeric_integer
s112011301068,805,805,numeric_integer,numeric_integer
s112011301069,805,805,numeric_integer,numeric_integer
s112011301070,805,805,numeric_integer,numeric_integer
s112011301071,805,805,numeric_integer,numeric_integer
s112011301072,805,805,numeric_integer,numeric_integer
s112011301073,805,805,numeric_integer,numeric_integer
s112011301074,805,805,numeric_integer,numeric_integer
s112011301075,805,805,numeric_integer,numeric_integer
s112011301076,805,805,numeric_integer,numeric_integer
s112011301078,805,805,numeric_integer,numeric_integer
s112011301079,805,805,numeric_integer,numeric_integer
s112011301080,805,805,numeric_integer,numeric_integer
