school_id,class,v13,student_ids,n_student_id,n_rows
34527,818,11,s112034527061;s112034527062,2,2
61315,201,27,s112061315051;s112061315052,2,2
61315,204,15,s112061315085;s112061315102,2,2
64523,803,15,s112064523037;s112064523038,2,2
121320,203,2,s112121320045;s112121320049,2,2
121320,203,3,s112121320044;s112121320046,2,2
403502,805,28,s112403502043;s112403502044,2,2
551301,201,7,s112551301028;s112551301030,2,2
551301,201,14,s112551301037;s112551301039,2,2
551301,203,10,s112551301069;s112551301070,2,2
551301,203,35,s112551301089;s112551301092,2,2
