student_id,class_before,class_after,class_changed,conversion_stage,class_original
s112011301024,801.0,801,False,numeric_integer,801.0
s112011301025,801.0,801,False,numeric_integer,801.0
s112011301026,801.0,801,False,numeric_integer,801.0
s112011301028,801.0,801,False,numeric_integer,801.0
s112011301031,801.0,801,False,numeric_integer,801.0
s112011301032,801.0,801,False,numeric_integer,801.0
s112011301033,801.0,801,False,numeric_integer,801.0
s112011301034,801.0,801,False,numeric_integer,801.0
s112011301035,801.0,801,False,numeric_integer,801.0
s112011301037,801.0,801,False,numeric_integer,801.0
s112011301038,801.0,801,False,numeric_integer,801.0
s112011301039,801.0,801,False,numeric_integer,801.0
s112011301040,801.0,801,False,numeric_integer,801.0
s112011301042,801.0,801,False,numeric_integer,801.0
s112011301043,801.0,801,False,numeric_integer,801.0
s112011301044,801.0,801,False,numeric_integer,801.0
s112011301045,801.0,801,False,numeric_integer,801.0
s112011301046,801.0,801,False,numeric_integer,801.0
s112011301047,801.0,801,False,numeric_integer,801.0
s112011301048,801.0,801,False,numeric_integer,801.0
s112011301049,801.0,801,False,numeric_integer,801.0
s112011301050,801.0,801,False,numeric_integer,801.0
s112011301052,801.0,801,False,numeric_integer,801.0
s112011301054,801.0,801,False,numeric_integer,801.0
s112011301055,801.0,801,False,numeric_integer,801.0
s112011301056,801.0,801,False,numeric_integer,801.0
s112011301057,801.0,801,False,numeric_integer,801.0
s113011301004,801.0,801,False,numeric_integer,801.0
s112011301061,805.0,805,False,numeric_integer,805.0
s112011301062,805.0,805,False,numeric_integer,805.0
s112011301063,805.0,805,False,numeric_integer,805.0
s112011301064,805.0,805,False,numeric_integer,805.0
s112011301065,805.0,805,False,numeric_integer,805.0
s112011301067,805.0,805,False,numeric_integer,805.0
s112011301068,805.0,805,False,numeric_integer,805.0
s112011301069,805.0,805,False,numeric_integer,805.0
s112011301070,805.0,805,False,numeric_integer,805.0
s112011301071,805.0,805,False,numeric_integer,805.0
s112011301072,805.0,805,False,numeric_integer,805.0
s112011301073,805.0,805,False,numeric_integer,805.0
s112011301074,805.0,805,False,numeric_integer,805.0
s112011301075,805.0,805,False,numeric_integer,805.0
s112011301076,805.0,805,False,numeric_integer,805.0
s112011301078,805.0,805,False,numeric_integer,805.0
s112011301079,805.0,805,False,numeric_integer,805.0
s112011301080,805.0,805,False,numeric_integer,805.0
s112011301081,805.0,805,False,numeric_integer,805.0
s112011301082,805.0,805,False,numeric_integer,805.0
s112011301083,805.0,805,False,numeric_integer,805.0
s112011301084,805.0,805,False,numeric_integer,805.0
s112011301086,805.0,805,False,numeric_integer,805.0
s112011301087,805.0,805,False,numeric_integer,805.0
s112011301088,805.0,805,False,numeric_integer,805.0
s112011301089,805.0,805,False,numeric_integer,805.0
s112011301090,805.0,805,False,numeric_integer,805.0
s112011301094,805.0,805,False,numeric_integer,805.0
