school_id,school_name,class_original,n_students,assigned_numeric,grade_hint,suggested_compact_code
11324,私立竹林高中附設國中,國二忠,34,1132401,,
11324,私立竹林高中附設國中,國二義,3,1132402,,
34348,市立羅浮高中附設國中,八年仁班,15,3434801,,
34348,市立羅浮高中附設國中,八年忠班,12,3434802,,
54523,縣立造橋國中,八年孝班,12,5452301,,
54523,縣立造橋國中,八年忠班,12,5452302,,
71318,財團法人正德高中附設國中,國中二A,6,7131801,,
84523,縣立明潭國中,八年忠班,7,8452301,,
84530,縣立同富國中,八年孝班,10,8453001,,
84530,縣立同富國中,八年忠班,5,8453002,,
111323,私立黎明高中附設國中,國二仁,37,11132301,,
111323,私立黎明高中附設國中,國二和,35,11132302,,
124548,市立桃源國中,二年忠班,8,12454801,,
381301,私立東山高中附設國中,八勤,9,38130101,,
381301,私立東山高中附設國中,八義,6,38130102,,
