student_id,class_original,class_before,class_after
s112124548023,二年忠班,12454801,808
s112124548024,二年忠班,12454801,808
s112124548025,二年忠班,12454801,808
s112124548027,二年忠班,12454801,808
s112124548028,二年忠班,12454801,808
s112124548030,二年忠班,12454801,808
s112124548031,二年忠班,12454801,808
s113124548003,二年忠班,12454801,808
s112381301066,八勤,38130101,807
s112381301070,八勤,38130101,807
s112381301083,八勤,38130101,807
s112381301085,八勤,38130101,807
s112381301086,八勤,38130101,807
s112381301087,八勤,38130101,807
s112381301097,八勤,38130101,807
s112381301105,八勤,38130101,807
s112381301106,八勤,38130101,807
s112034348051,八年仁班,3434801,806
s112034348052,八年仁班,3434801,806
s112034348053,八年仁班,3434801,806
s112034348055,八年仁班,3434801,806
s112034348056,八年仁班,3434801,806
s112034348057,八年仁班,3434801,806
s112034348058,八年仁班,3434801,806
s112034348062,八年仁班,3434801,806
s112034348064,八年仁班,3434801,806
s112034348065,八年仁班,3434801,806
s112034348066,八年仁班,3434801,806
s112034348068,八年仁班,3434801,806
s112034348071,八年仁班,3434801,806
s112034348073,八年仁班,3434801,806
s113034348006,八年仁班,3434801,806
s112054523041,八年孝班,5452301,805
s112054523042,八年孝班,5452301,805
s112054523044,八年孝班,5452301,805
s112054523045,八年孝班,5452301,805
s112054523046,八年孝班,5452301,805
s112054523047,八年孝班,5452301,805
s112054523048,八年孝班,5452301,805
s112054523050,八年孝班,5452301,805
s112054523051,八年孝班,5452301,805
s112054523053,八年孝班,5452301,805
s112054523055,八年孝班,5452301,805
s112084530045,八年孝班,8453001,805
s112084530049,八年孝班,8453001,805
s112084530050,八年孝班,8453001,805
s112084530054,八年孝班,8453001,805
s112084530055,八年孝班,8453001,805
s112084530058,八年孝班,8453001,805
s112084530059,八年孝班,8453001,805
s112084530061,八年孝班,8453001,805
s112084530062,八年孝班,8453001,805
s113054523005,八年孝班,5452301,805
s113084530004,八年孝班,8453001,805
s112034348025,八年忠班,3434802,802
s112034348026,八年忠班,3434802,802
s112034348031,八年忠班,3434802,802
s112034348034,八年忠班,3434802,802
s112034348036,八年忠班,3434802,802
s112034348037,八年忠班,3434802,802
s112034348038,八年忠班,3434802,802
