student_id,in_w2_ver10,in_w3_ver9,in_basic_info_before
s112034527061,True,True,True
s112034527062,True,True,True
s112061315051,True,True,True
s112061315052,True,True,True
s112061315085,True,True,True
s112061315102,True,True,True
s112064523037,True,True,True
s112064523038,True,True,True
s112121320044,True,True,True
s112121320045,True,True,True
s112121320046,True,True,True
s112121320049,True,True,True
s112403502043,True,True,True
s112403502044,True,True,True
s112551301028,True,True,True
s112551301030,True,True,True
s112551301037,True,True,True
s112551301039,True,True,True
s112551301069,True,True,True
s112551301070,True,True,True
s112551301089,True,True,True
s112551301092,True,True,True
