,Missing Count,Missing Percentage (%)
v41_1,8256,92.84750337381917
v41_3,8256,92.84750337381917
v41_2,8256,92.84750337381917
v41_4,8256,92.84750337381917
v41_5,8256,92.84750337381917
v41_6,8256,92.84750337381917
v41_7,8256,92.84750337381917
v39_7,7830,88.05668016194332
v39_5,7830,88.05668016194332
v39_2,7830,88.05668016194332
v39_1,7830,88.05668016194332
v39_4,7830,88.05668016194332
v39_3,7830,88.05668016194332
v39_6,7830,88.05668016194332
v37_8,7480,84.12055780476832
v37_3,7480,84.12055780476832
v37_6,7480,84.12055780476832
v37_5,7480,84.12055780476832
v37_4,7480,84.12055780476832
v37_1,7480,84.12055780476832
v37_2,7480,84.12055780476832
v37_7,7480,84.12055780476832
v35_7,6725,75.629779577148
v35_3,6725,75.629779577148
v35_6,6725,75.629779577148
v35_5,6725,75.629779577148
v35_4,6725,75.629779577148
v35_2,6725,75.629779577148
v35_1,6725,75.629779577148
v35_8,6725,75.629779577148
v17_03,2927,32.91722896986055
v17_05,2927,32.91722896986055
v17_06,2927,32.91722896986055
v17_07,2927,32.91722896986055
v17_04,2927,32.91722896986055
v17_01,2927,32.91722896986055
v17_02,2927,32.91722896986055
v14_4_05,799,8.985605038236617
v14_2_05,775,8.71569950517319
v14_4_04,744,8.367071524966262
v14_2_04,687,7.72604588394062
v14_4_03,672,7.557354925775979
v14_2_03,627,7.051282051282051
v14_4_02,625,7.028789923526765
v14_2_02,574,6.455240665766981
v59_2m,505,5.679262258209627
v59_2h,505,5.679262258209627
v14_1_05,347,3.90238416554206
v62,333,3.7449392712550607
v61,322,3.62123256860099
v14_3_05,309,3.475033738191633
v14_1_04,289,3.2501124606387766
v14_3_04,267,3.002699055330634
v14_1_03,264,2.968960863697706
v14_3_03,252,2.834008097165992
v14_1_02,242,2.721547458389564
v14_3_02,224,2.5191183085919926
v59_1m,173,1.9455690508322088
v59_1h,173,1.9455690508322088
v59_4m,157,1.7656320287899234
v59_3m,157,1.7656320287899234
v59_5,157,1.7656320287899234
v63,148,1.6644174538911383
v60_2,147,1.6531713900134952
v60_1,147,1.6531713900134952
v58_2h,133,1.4957264957264957
v58_2m,133,1.4957264957264957
v13,130,1.461988304093567
v58_1m,106,1.1920827710301394
v58_1h,106,1.1920827710301394
v47_9,101,1.1358524516419253
v47_2,101,1.1358524516419253
v47_3,101,1.1358524516419253
v47_4,101,1.1358524516419253
v47_5,101,1.1358524516419253
v47_6,101,1.1358524516419253
v47_7,101,1.1358524516419253
v47_8,101,1.1358524516419253
v47_1,101,1.1358524516419253
v57_5,100,1.1246063877642825
v57_4,100,1.1246063877642825
v57_1,100,1.1246063877642825
v57_2,100,1.1246063877642825
v57_3,100,1.1246063877642825
v53_1,98,1.1021142600089968
v53_4,98,1.1021142600089968
v53_5,98,1.1021142600089968
v53_2,98,1.1021142600089968
v53_3,98,1.1021142600089968
v56_1,90,1.0121457489878543
v56_6,90,1.0121457489878543
v55_4,90,1.0121457489878543
v56_2,90,1.0121457489878543
v56_4,90,1.0121457489878543
v56_3,90,1.0121457489878543
v56_5,90,1.0121457489878543
v55_5,89,1.0008996851102114
v55_9,89,1.0008996851102114
v55_12,89,1.0008996851102114
v55_14,89,1.0008996851102114
v55_8,89,1.0008996851102114
v55_7,89,1.0008996851102114
v55_6,89,1.0008996851102114
v55_13,89,1.0008996851102114
v55_11,89,1.0008996851102114
v55_1,89,1.0008996851102114
v55_3,89,1.0008996851102114
v55_2,89,1.0008996851102114
v55_10,89,1.0008996851102114
v44_1,88,0.9896536212325686
v44_2,88,0.9896536212325686
v44_5,88,0.9896536212325686
v44_4,88,0.9896536212325686
v44_3,88,0.9896536212325686
v54_19,86,0.9671614934772829
v54_2,86,0.9671614934772829
v54_20,86,0.9671614934772829
v54_17,86,0.9671614934772829
v54_14,86,0.9671614934772829
v54_18,86,0.9671614934772829
v54_13,86,0.9671614934772829
v54_10,86,0.9671614934772829
v54_11,86,0.9671614934772829
v54_12,86,0.9671614934772829
v54_15,86,0.9671614934772829
v54_6,86,0.9671614934772829
v54_8,86,0.9671614934772829
v54_9,86,0.9671614934772829
v54_16,86,0.9671614934772829
v54_4,86,0.9671614934772829
v54_3,86,0.9671614934772829
