Column Name,Unique Value Count,Value,Proposed_Numeric_Code
TIGPS ID,7713,(High Cardinality - Skipped),
1.請問你的性別（生理性別）：,2,女,2.0
1.請問你的性別（生理性別）：,2,男,1.0
2.你覺得你比較認同自己的性別是？（請選擇一個最接近你目前狀態的描述）,3,其他,0.0
2.你覺得你比較認同自己的性別是？（請選擇一個最接近你目前狀態的描述）,3,女性,2.0
2.你覺得你比較認同自己的性別是？（請選擇一個最接近你目前狀態的描述）,3,男性,1.0
3.請問你親生父母的婚姻狀態：,10,其他（請說明）,
3.請問你親生父母的婚姻狀態：,10,未婚，且分居,
3.請問你親生父母的婚姻狀態：,10,未婚，但同住一起,
3.請問你親生父母的婚姻狀態：,10,結婚，且同住一起,
3.請問你親生父母的婚姻狀態：,10,結婚，但分居,
3.請問你親生父母的婚姻狀態：,10,結婚，因工作分隔兩地,
3.請問你親生父母的婚姻狀態：,10,親生母親過世,
3.請問你親生父母的婚姻狀態：,10,親生父親過世,
3.請問你親生父母的婚姻狀態：,10,離婚，且分居,
3.請問你親生父母的婚姻狀態：,10,離婚，但同住一起,
Unnamed: 4,37,(High Cardinality - Skipped),
4.下列關於你家中生活的情形，你認為符不符合？ - 4-1. 作決定時，家人會彼此商量,3,不太符合,2.0
4.下列關於你家中生活的情形，你認為符不符合？ - 4-1. 作決定時，家人會彼此商量,3,很不符合,1.0
4.下列關於你家中生活的情形，你認為符不符合？ - 4-1. 作決定時，家人會彼此商量,3,很符合,4.0
4.下列關於你家中生活的情形，你認為符不符合？ - 4-2. 家人喜歡共度休閒時光,3,不太符合,2.0
4.下列關於你家中生活的情形，你認為符不符合？ - 4-2. 家人喜歡共度休閒時光,3,很不符合,1.0
4.下列關於你家中生活的情形，你認為符不符合？ - 4-2. 家人喜歡共度休閒時光,3,很符合,4.0
4.下列關於你家中生活的情形，你認為符不符合？ - 4-3. 當有家庭活動時，我們家每個人都會參加,3,不太符合,2.0
4.下列關於你家中生活的情形，你認為符不符合？ - 4-3. 當有家庭活動時，我們家每個人都會參加,3,很不符合,1.0
4.下列關於你家中生活的情形，你認為符不符合？ - 4-3. 當有家庭活動時，我們家每個人都會參加,3,很符合,4.0
4.下列關於你家中生活的情形，你認為符不符合？ - 4-4. 家人會接納彼此的朋友,3,不太符合,2.0
4.下列關於你家中生活的情形，你認為符不符合？ - 4-4. 家人會接納彼此的朋友,3,很不符合,1.0
4.下列關於你家中生活的情形，你認為符不符合？ - 4-4. 家人會接納彼此的朋友,3,很符合,4.0
4.下列關於你家中生活的情形，你認為符不符合？ - 4-5. 我受到挫折時，總可以從我的家人那裡得到安慰,3,不太符合,2.0
4.下列關於你家中生活的情形，你認為符不符合？ - 4-5. 我受到挫折時，總可以從我的家人那裡得到安慰,3,很不符合,1.0
4.下列關於你家中生活的情形，你認為符不符合？ - 4-5. 我受到挫折時，總可以從我的家人那裡得到安慰,3,很符合,4.0
4.下列關於你家中生活的情形，你認為符不符合？ - 4-6. 當我需要幫忙或忠告時，我可以依賴我的家人,3,不太符合,2.0
4.下列關於你家中生活的情形，你認為符不符合？ - 4-6. 當我需要幫忙或忠告時，我可以依賴我的家人,3,很不符合,1.0
4.下列關於你家中生活的情形，你認為符不符合？ - 4-6. 當我需要幫忙或忠告時，我可以依賴我的家人,3,很符合,4.0
5.過去一年，請問你家長和你相處情形如何？ - 5-1. 批評你或指責你。,4,偶爾,2.0
5.過去一年，請問你家長和你相處情形如何？ - 5-1. 批評你或指責你。,4,從未,1.0
5.過去一年，請問你家長和你相處情形如何？ - 5-1. 批評你或指責你。,4,有時,3.0
5.過去一年，請問你家長和你相處情形如何？ - 5-1. 批評你或指責你。,4,經常,4.0
5.過去一年，請問你家長和你相處情形如何？ - 5-2. 理解你、肯定你的想法。,4,偶爾,2.0
5.過去一年，請問你家長和你相處情形如何？ - 5-2. 理解你、肯定你的想法。,4,從未,1.0
5.過去一年，請問你家長和你相處情形如何？ - 5-2. 理解你、肯定你的想法。,4,有時,3.0
5.過去一年，請問你家長和你相處情形如何？ - 5-2. 理解你、肯定你的想法。,4,經常,4.0
5.過去一年，請問你家長和你相處情形如何？ - 5-3. 關心你。,4,偶爾,2.0
5.過去一年，請問你家長和你相處情形如何？ - 5-3. 關心你。,4,從未,1.0
5.過去一年，請問你家長和你相處情形如何？ - 5-3. 關心你。,4,有時,3.0
5.過去一年，請問你家長和你相處情形如何？ - 5-3. 關心你。,4,經常,4.0
5.過去一年，請問你家長和你相處情形如何？ - 5-4. 提供解決問題的經驗，給你參考。,4,偶爾,2.0
5.過去一年，請問你家長和你相處情形如何？ - 5-4. 提供解決問題的經驗，給你參考。,4,從未,1.0
5.過去一年，請問你家長和你相處情形如何？ - 5-4. 提供解決問題的經驗，給你參考。,4,有時,3.0
5.過去一年，請問你家長和你相處情形如何？ - 5-4. 提供解決問題的經驗，給你參考。,4,經常,4.0
5.過去一年，請問你家長和你相處情形如何？ - 5-5. 對你不聞不問。,4,偶爾,2.0
