dataset,column,role,inferred_type,action,notes
W2,student_oid,meta,meta_text,keep_meta,
W2,student_id,meta,meta_text,keep_meta,
W2,qb_code,meta,meta_text,keep_meta,
W2,q_name,meta,meta_numeric,keep_meta,
W2,school_id,meta,meta_numeric,keep_meta,
W2,school_name,meta,meta_text,keep_meta,
W2,class,meta,meta_text,keep_meta,
W2,status,meta,meta_numeric,keep_meta,
W2,name,meta,meta_text,keep_meta,
W2,cell,meta,meta_text,keep_meta,
W2,cell_who,meta,meta_numeric,keep_meta,
W2,email,meta,meta_text,keep_meta,
W2,v1,question,binary_12,keep,
W2,v2,question,numeric,keep,
W2,v3,question,ordinal_numeric,keep,
W2,v4_1,question,likert_4,keep,
W2,v4_2,question,likert_4,keep,
W2,v4_3,question,likert_4,keep,
W2,v5_1,question,likert_4,keep,
W2,v5_2,question,likert_4,keep,
W2,v5_3,question,likert_4,keep,
W2,v5_4,question,likert_4,keep,
W2,v5_5,question,likert_4,keep,
W2,v5_6,question,likert_4,keep,
W2,v6_1,question,likert_4,keep,
W2,v6_2,question,likert_4,keep,
W2,v6_3,question,likert_4,keep,
W2,v6_4,question,likert_4,keep,
W2,v6_5,question,likert_4,keep,
W2,v6_6,question,likert_4,keep,
W2,v6_7,question,likert_4,keep,
W2,v6_8,question,likert_4,keep,
W2,v6_9,question,likert_4,keep,
W2,v6_10,question,likert_4,keep,
W2,v7a_1,question,likert_4,keep,
W2,v7a_2,question,likert_4,keep,
W2,v7a_3,question,likert_4,keep,
W2,v7a_4,question,likert_4,keep,
W2,v7a_5,question,likert_4,keep,
W2,v7a_6,question,likert_4,keep,
W2,v7b_1,question,likert_4,keep,
W2,v7b_2,question,likert_4,keep,
W2,v7b_3,question,likert_4,keep,
W2,v7b_4,question,likert_4,keep,
W2,v7b_5,question,likert_4,keep,
W2,v7b_6,question,likert_4,keep,
W2,v8_01,question,binary_01,keep,
W2,v8_02,question,binary_01,keep,
W2,v8_03,question,binary_01,keep,
W2,v8_04,question,binary_01,keep,
W2,v8_05,question,binary_01,keep,
W2,v8_06,question,binary_01,keep,
W2,v8_07,question,binary_01,keep,
W2,v8_08,question,binary_01,keep,
W2,v8_09,question,binary_01,keep,
W2,v8_10,question,binary_01,keep,
W2,v8_11,question,binary_01,keep,
W2,v8_12,question,binary_01,keep,
W2,v8_13,question,binary_01,keep,
W2,v9_1,question,likert_4,keep,
W2,v9_2,question,likert_4,keep,
W2,v9_3,question,likert_4,keep,
W2,v10_1,question,likert_4,keep,
W2,v10_2,question,likert_4,keep,
W2,v11_1,question,likert_4,keep,
W2,v11_2,question,likert_4,keep,
W2,v12_1,question,likert_4,keep,
W2,v12_2,question,likert_4,keep,
W2,v12_3,question,likert_4,keep,
W2,v13,question,numeric,keep,
W2,v14_1_01,question,numeric,keep,
W2,v14_1_02,question,numeric,keep,
W2,v14_1_03,question,numeric,keep,
W2,v14_1_04,question,numeric,keep,
W2,v14_1_05,question,numeric,keep,
W2,v14_2_01,question,numeric,keep,
W2,v14_2_02,question,numeric,keep,
W2,v14_2_03,question,numeric,keep,
W2,v14_2_04,question,numeric,keep,
W2,v14_2_05,question,numeric,keep,
W2,v14_3_01,question,numeric,keep,
W2,v14_3_02,question,numeric,keep,
W2,v14_3_03,question,numeric,keep,
W2,v14_3_04,question,numeric,keep,
W2,v14_3_05,question,numeric,keep,
W2,v14_4_01,question,numeric,keep,
W2,v14_4_02,question,numeric,keep,
W2,v14_4_03,question,numeric,keep,
W2,v14_4_04,question,numeric,keep,
W2,v14_4_05,question,numeric,keep,
W2,v15,question,likert_5,keep,
W2,v16,question,likert_7,keep,
W2,v17,question,binary_12,keep,
W2,v17_01,question,binary_01,keep,
W2,v17_02,question,binary_01,keep,
W2,v17_03,question,binary_01,keep,
W2,v17_04,question,binary_01,keep,
W2,v17_05,question,binary_01,keep,
W2,v17_06,question,binary_01,keep,
W2,v17_07,question,binary_01,keep,
W2,v18_1,question,ordinal_numeric,keep,
W2,v18_2,question,ordinal_numeric,keep,
W2,v18_3,question,ordinal_numeric,keep,
W2,v18_4,question,ordinal_numeric,keep,
W2,v19_1,question,likert_4,keep,
W2,v19_2,question,likert_4,keep,
W2,v19_3,question,likert_4,keep,
W2,v19_4,question,likert_4,keep,
W2,v19_5,question,likert_4,keep,
W2,v19_6,question,likert_4,keep,
W2,v19_7,question,likert_4,keep,
W2,v19_8,question,likert_4,keep,
W2,v19_9,question,likert_4,keep,
W2,v19_10,question,likert_4,keep,
W2,v20_1_1,question,likert_5,keep,
W2,v20_1_2,question,likert_5,keep,
W2,v20_1_3,question,likert_5,keep,
W2,v20_1_4,question,likert_5,keep,
W2,v20_1_5,question,likert_5,keep,
W2,v20_1_6,question,likert_5,keep,
W2,v20_1_7,question,likert_5,keep,
W2,v20_1_8,question,likert_5,keep,
W2,v20_1_9,question,likert_5,keep,
W2,v20_1_10,question,likert_5,keep,
W2,v20_1_11,question,likert_5,keep,
W2,v20_1_12,question,likert_5,keep,
W2,v20_2_1,question,likert_5,keep,
W2,v20_2_2,question,likert_5,keep,
W2,v20_2_3,question,likert_5,keep,
W2,v20_2_4,question,likert_5,keep,
W2,v20_2_5,question,likert_5,keep,
W2,v20_2_6,question,likert_5,keep,
W2,v20_2_7,question,likert_5,keep,
W2,v20_2_8,question,likert_5,keep,
W2,v20_2_9,question,likert_5,keep,
W2,v20_2_10,question,likert_5,keep,
W2,v20_2_11,question,likert_5,keep,
W2,v20_2_12,question,likert_5,keep,
W2,v21_1,question,numeric,keep,
W2,v21_2,question,numeric,keep,
W2,v21_3,question,numeric,keep,
W2,v21_4,question,numeric,keep,
W2,v21_5,question,numeric,keep,
W2,v21_6,question,numeric,keep,
W2,v22_1,question,likert_4,keep,
W2,v22_2,question,likert_4,keep,
W2,v22_3,question,likert_4,keep,
W2,v22_4,question,likert_4,keep,
W2,v22_5,question,likert_4,keep,
W2,v22_6,question,likert_4,keep,
W2,v23_1,question,likert_4,keep,
W2,v23_2,question,likert_4,keep,
W2,v23_3,question,likert_4,keep,
W2,v23_4,question,likert_4,keep,
W2,v23_5,question,likert_4,keep,
W2,v23_6,question,likert_4,keep,
W2,v23_7,question,likert_4,keep,
W2,v23_8,question,likert_4,keep,
W2,v23_9,question,likert_4,keep,
W2,v24_1,question,likert_4,keep,
W2,v24_2,question,likert_4,keep,
W2,v24_3,question,likert_4,keep,
W2,v24_4,question,likert_4,keep,
W2,v24_5,question,likert_4,keep,
W2,v24_6,question,likert_4,keep,
W2,v25_1,question,likert_4,keep,
W2,v25_2,question,likert_4,keep,
W2,v25_3,question,likert_4,keep,
W2,v25_4,question,likert_4,keep,
W2,v25_5,question,likert_4,keep,
W2,v25_6,question,likert_4,keep,
W2,v25_7,question,likert_4,keep,
W2,v25_8,question,likert_4,keep,
W2,v25_9,question,likert_4,keep,
W2,v25_10,question,likert_4,keep,
W2,v25_11,question,likert_4,keep,
W2,v25_12,question,likert_4,keep,
W2,v25_13,question,likert_4,keep,
W2,v25_14,question,likert_4,keep,
W2,v25_15,question,likert_4,keep,
W2,v26_1,question,likert_4,keep,
W2,v26_2,question,likert_4,keep,
W2,v26_3,question,likert_4,keep,
W2,v26_4,question,likert_4,keep,
W2,v26_5,question,likert_4,keep,
W2,v26_6,question,likert_4,keep,
W2,v27_1,question,likert_4,keep,
W2,v27_2,question,likert_4,keep,
W2,v27_3,question,likert_4,keep,
W2,v27_4,question,likert_4,keep,
W2,v28_1,question,likert_4,keep,
W2,v28_2,question,likert_4,keep,
W2,v28_3,question,likert_4,keep,
W2,v28_4,question,likert_4,keep,
W2,v28_5,question,likert_4,keep,
W2,v28_6,question,likert_4,keep,
W2,v28_7,question,likert_4,keep,
W2,v28_8,question,likert_4,keep,
W2,v28_9,question,likert_4,keep,
W2,v28_10,question,likert_4,keep,
W2,v29_1,question,likert_4,keep,
W2,v29_2,question,likert_4,keep,
W2,v29_3,question,likert_4,keep,
W2,v29_4,question,likert_4,keep,
W2,v29_5,question,likert_4,keep,
W2,v30,question,likert_4,keep,
W2,v31,question,likert_4,keep,
W2,v32,question,likert_4,keep,
W2,v33,question,likert_4,keep,
W2,v34,question,binary_12,keep,
W2,v35_1,question,likert_4,keep,
W2,v35_2,question,likert_4,keep,
W2,v35_3,question,likert_4,keep,
W2,v35_4,question,likert_4,keep,
W2,v35_5,question,likert_4,keep,
W2,v35_6,question,likert_4,keep,
W2,v35_7,question,likert_4,keep,
W2,v35_8,question,likert_4,keep,
W2,v36,question,binary_12,keep,
W2,v37_1,question,likert_4,keep,
W2,v37_2,question,likert_4,keep,
W2,v37_3,question,likert_4,keep,
W2,v37_4,question,likert_4,keep,
W2,v37_5,question,likert_4,keep,
W2,v37_6,question,likert_4,keep,
W2,v37_7,question,likert_4,keep,
W2,v37_8,question,likert_4,keep,
W2,v38,question,binary_12,keep,
W2,v39_1,question,likert_4,keep,
W2,v39_2,question,likert_4,keep,
W2,v39_3,question,likert_4,keep,
W2,v39_4,question,likert_4,keep,
W2,v39_5,question,likert_4,keep,
W2,v39_6,question,likert_4,keep,
W2,v39_7,question,likert_4,keep,
W2,v40,question,binary_12,keep,
W2,v41_1,question,likert_4,keep,
W2,v41_2,question,likert_4,keep,
W2,v41_3,question,likert_4,keep,
W2,v41_4,question,likert_4,keep,
W2,v41_5,question,likert_4,keep,
W2,v41_6,question,likert_4,keep,
W2,v41_7,question,likert_4,keep,
W2,v42_01,question,binary_01,keep,
W2,v42_02,question,binary_01,keep,
W2,v42_03,question,binary_01,keep,
