Column,Mean,Median,Min,Max,Q1,Q3,IQR
v55_1,1.4420905923344949,1.0,1.0,5.0,1.0,2.0,1.0
v55_2,1.7735191637630663,1.0,1.0,5.0,1.0,2.0,1.0
v55_3,1.6982578397212544,1.0,1.0,5.0,1.0,2.0,1.0
v55_4,1.3560975609756099,1.0,1.0,5.0,1.0,1.0,0.0
v55_5,1.278048780487805,1.0,1.0,5.0,1.0,1.0,0.0
v55_6,1.3757491289198607,1.0,1.0,5.0,1.0,1.0,0.0
v55_7,1.553588850174216,1.0,1.0,5.0,1.0,2.0,1.0
v55_8,1.9733797909407667,1.0,1.0,5.0,1.0,3.0,2.0
v55_9,1.410034843205575,1.0,1.0,5.0,1.0,1.0,0.0
v55_10,1.6153310104529617,1.0,1.0,5.0,1.0,2.0,1.0
v55_11,1.406411149825784,1.0,1.0,5.0,1.0,1.0,0.0
v55_12,1.496864111498258,1.0,1.0,5.0,1.0,2.0,1.0
v55_13,1.606829268292683,1.0,1.0,5.0,1.0,2.0,1.0
v55_14,1.5810452961672474,1.0,1.0,5.0,1.0,2.0,1.0
