W2_Group_ID,W3_Group_ID,group_similarity,Type,rho_spearman_w2,p_value_w2,q_value_w2,rho_spearman_w3,p_value_w3,q_value_w3,delta_rho,same_sign,n_used_rows_w2,n_used_rows_w3,n_items_total_w2,n_items_total_w3
v1,1,1.08,A_exact_same_items,-0.211,0.0,0.0,0.162,0.0,0.0,0.373,False,7175,7175.0,1,1.0
v2,3,1.08,A_exact_same_items,0.056,0.0,0.0,,,,,False,7131,0.0,1,1.0
v22,24,1.08,B_core_same_with_added_removed_items,0.094,0.0,0.0,0.102,0.0,0.0,0.008,True,7147,7175.0,6,7.0
v25,26,1.08,B_core_same_with_added_removed_items,0.158,0.0,0.0,0.105,0.0,0.0,-0.054,True,7156,7175.0,15,15.0
v26,27,1.08,A_exact_same_items,0.163,0.0,0.0,0.145,0.0,0.0,-0.018,True,7156,7175.0,6,6.0
v27,28,1.08,A_exact_same_items,0.21,0.0,0.0,0.19,0.0,0.0,-0.02,True,7159,7175.0,4,4.0
v28,29,1.08,A_exact_same_items,0.311,0.0,0.0,0.238,0.0,0.0,-0.073,True,7150,7175.0,10,10.0
v3,59,1.08,A_exact_same_items,-0.081,0.0,0.0,0.146,0.0,0.0,0.226,False,7164,7175.0,1,1.0
v47,40,1.08,A_exact_same_items,0.024,0.045,0.049,-0.017,0.141,0.145,-0.041,False,7124,7175.0,9,9.0
v48,47,1.08,B_core_same_with_added_removed_items,0.041,0.001,0.001,,,,,False,7153,,8,
v49,48,1.08,A_exact_same_items,-0.163,0.0,0.0,-0.138,0.0,0.0,0.024,True,7157,7175.0,1,1.0
v5,4,1.08,A_exact_same_items,-0.27,0.0,0.0,-0.209,0.0,0.0,0.061,True,7141,7175.0,6,6.0
v51,50,1.08,A_exact_same_items,-0.484,0.0,0.0,-0.43,0.0,0.0,0.054,True,7155,7175.0,1,1.0
v521,51,1.08,A_exact_same_items,-0.414,0.0,0.0,-0.41,0.0,0.0,0.004,True,7149,7175.0,1,1.0
v54,53,1.08,A_exact_same_items,-0.174,0.0,0.0,-0.213,0.0,0.0,-0.038,True,7159,7175.0,20,20.0
v61,64,1.08,A_exact_same_items,-0.133,0.0,0.0,-0.119,0.0,0.0,0.014,True,6987,7175.0,1,1.0
v62,65,1.08,A_exact_same_items,-0.067,0.0,0.0,-0.081,0.0,0.0,-0.014,True,6974,7175.0,1,1.0
v63,66,1.08,A_exact_same_items,0.008,0.478,0.507,-0.048,0.0,0.0,-0.056,False,7109,7175.0,1,1.0
v23,25,1.038,B_core_same_with_added_removed_items,0.144,0.0,0.0,0.123,0.0,0.0,-0.021,True,7163,7175.0,9,10.0
v57,55,1.024,A_exact_same_items,-0.453,0.0,0.0,-0.431,0.0,0.0,0.022,True,7147,7175.0,5,5.0
v19,11,1.021,B_core_same_with_added_removed_items,-0.163,0.0,0.0,-0.14,0.0,0.0,0.024,True,7153,7175.0,10,8.0
v52,52,1.021,A_exact_same_items,-0.48,0.0,0.0,-0.424,0.0,0.0,0.056,True,7149,7175.0,3,3.0
v15,9,1.0,A_exact_same_items,0.006,0.616,0.634,-0.018,0.131,0.14,-0.024,False,7160,7175.0,1,1.0
v50,49,1.0,A_exact_same_items,-0.435,0.0,0.0,-0.383,0.0,0.0,0.052,True,7175,7175.0,1,1.0
v6,5,1.0,A_exact_same_items,0.038,0.001,0.001,0.039,0.001,0.001,0.001,True,7153,7175.0,10,10.0
v17,10,0.913,B_core_same_with_added_removed_items,-0.005,0.683,0.683,-0.014,0.253,0.253,-0.009,True,7128,7175.0,8,9.0
v42,39,0.913,B_core_same_with_added_removed_items,0.162,0.0,0.0,,,,,False,7172,,14,
v41,37,0.906,B_core_same_with_added_removed_items,0.115,0.012,0.014,0.221,0.0,0.0,0.106,True,478,538.0,7,7.0
v36,32,0.898,B_core_same_with_added_removed_items,-0.18,0.0,0.0,0.159,0.0,0.0,0.338,False,7167,7175.0,1,1.0
v39,35,0.89,B_core_same_with_added_removed_items,0.269,0.0,0.0,0.253,0.0,0.0,-0.017,True,827,725.0,7,7.0
v34,30,0.888,B_core_same_with_added_removed_items,-0.223,0.0,0.0,0.213,0.0,0.0,0.436,False,7153,7175.0,1,1.0
v40,36,0.835,B_core_same_with_added_removed_items,-0.145,0.0,0.0,0.137,0.0,0.0,0.283,False,7171,7175.0,1,1.0
v38,34,0.83,B_core_same_with_added_removed_items,-0.192,0.0,0.0,0.189,0.0,0.0,0.381,False,7167,7175.0,1,1.0
v37,33,0.757,B_core_same_with_added_removed_items,0.093,0.002,0.002,0.155,0.0,0.0,0.062,True,1102,1111.0,8,8.0
v35,31,0.735,B_core_same_with_added_removed_items,0.262,0.0,0.0,0.229,0.0,0.0,-0.033,True,1697,1438.0,8,8.0
