Year,Group_ID,n_items_total,n_items_in_data,n_used_rows,valid_row_pct,avg_valid_items,rho_spearman,p_value,q_value
W3,35,7,7,725,0.101,7.0,0.253,0.0,0.0
W3,29,10,10,7175,1.0,10.0,0.238,0.0,0.0
W3,31,8,8,1438,0.2,8.0,0.229,0.0,0.0
W3,37,7,7,538,0.075,7.0,0.221,0.0,0.0
W3,30,1,1,7175,1.0,1.0,0.213,0.0,0.0
W3,28,4,4,7175,1.0,4.0,0.19,0.0,0.0
W3,34,1,1,7175,1.0,1.0,0.189,0.0,0.0
W3,1,1,1,7175,1.0,1.0,0.162,0.0,0.0
W3,32,1,1,7175,1.0,1.0,0.159,0.0,0.0
W3,33,8,8,1111,0.155,8.0,0.155,0.0,0.0
W3,59,1,1,7175,1.0,1.0,0.146,0.0,0.0
W3,27,6,6,7175,1.0,6.0,0.145,0.0,0.0
W3,36,1,1,7175,1.0,1.0,0.137,0.0,0.0
W3,25,10,10,7175,1.0,9.591,0.123,0.0,0.0
W3,26,15,15,7175,1.0,15.0,0.105,0.0,0.0
W3,24,7,7,7175,1.0,7.0,0.102,0.0,0.0
W3,5,10,10,7175,1.0,10.0,0.039,0.001,0.001
W3,10,9,1,7175,1.0,1.0,-0.014,0.253,0.253
W3,40,9,9,7175,1.0,9.0,-0.017,0.141,0.145
W3,9,1,1,7175,1.0,1.0,-0.018,0.131,0.14
W3,66,1,1,7175,1.0,1.0,-0.048,0.0,0.0
W3,65,1,1,7175,1.0,1.0,-0.081,0.0,0.0
W3,64,1,1,7175,1.0,1.0,-0.119,0.0,0.0
W3,48,1,1,7175,1.0,1.0,-0.138,0.0,0.0
W3,11,8,8,7175,1.0,8.0,-0.14,0.0,0.0
W3,4,6,6,7175,1.0,6.0,-0.209,0.0,0.0
W3,53,20,20,7175,1.0,20.0,-0.213,0.0,0.0
W3,49,1,1,7175,1.0,1.0,-0.383,0.0,0.0
W3,51,1,1,7175,1.0,1.0,-0.41,0.0,0.0
W3,52,3,3,7175,1.0,3.0,-0.424,0.0,0.0
W3,50,1,1,7175,1.0,1.0,-0.43,0.0,0.0
W3,55,5,5,7175,1.0,5.0,-0.431,0.0,0.0
W3,3,1,1,0,0.0,0.0,,,
