"Column","Mean","Median","Min","Max","Q1","Q3","IQR"
"54-1","1.5859474804826117","1.0","1.0","5.0","1.0","2.0","1.0"
"54-2","1.757984386089425","1.0","1.0","5.0","1.0","2.0","1.0"
"54-3","1.7443577004968063","1.0","1.0","5.0","1.0","2.0","1.0"
"54-4","1.4337828246983677","1.0","1.0","5.0","1.0","1.0","0.0"
"54-5","1.330305180979418","1.0","1.0","5.0","1.0","1.0","0.0"
"54-6","1.4726756564939674","1.0","1.0","5.0","1.0","2.0","1.0"
"54-7","1.6144783534421576","1.0","1.0","5.0","1.0","2.0","1.0"
"54-8","1.985237757274663","1.0","1.0","5.0","1.0","3.0","2.0"
"54-9","1.4550745209368345","1.0","1.0","5.0","1.0","1.0","0.0"
"54-10","1.672959545777147","1.0","1.0","5.0","1.0","2.0","1.0"
"54-11","1.5041873669268986","1.0","1.0","5.0","1.0","2.0","1.0"
"54-12","1.568346344925479","1.0","1.0","5.0","1.0","2.0","1.0"
"54-13","1.7312987934705464","1.0","1.0","5.0","1.0","2.0","1.0"
"54-14","1.6711142654364797","1.0","1.0","5.0","1.0","2.0","1.0"
"TOTAL_SCORE","22.527750177430804","18.0","14.0","70.0","14.0","26.0","12.0"
