student_id,school_id,class,v13,nominated_seat_no,rank
s112011301024,11301,801.0,1,36,1
s112011301025,11301,801.0,2,36,1
s112011301025,11301,801.0,2,21,2
s112011301031,11301,801.0,9,39,1
s112011301031,11301,801.0,9,21,2
s112011301035,11301,801.0,13,22,2
s112011301035,11301,801.0,13,33,3
s112011301035,11301,801.0,13,21,4
s112011301035,11301,801.0,13,39,5
s112011301037,11301,801.0,15,7,1
s112011301039,11301,801.0,17,23,1
s112011301039,11301,801.0,17,24,2
s112011301039,11301,801.0,17,36,3
s112011301039,11301,801.0,17,37,4
s112011301039,11301,801.0,17,32,5
s112011301040,11301,801.0,18,37,1
s112011301040,11301,801.0,18,36,2
s112011301042,11301,801.0,21,39,1
s112011301042,11301,801.0,21,37,2
s112011301043,11301,801.0,22,39,1
s112011301043,11301,801.0,22,3,2
s112011301043,11301,801.0,22,7,3
s112011301043,11301,801.0,22,30,4
s112011301043,11301,801.0,22,16,5
s112011301044,11301,801.0,23,21,1
s112011301044,11301,801.0,23,29,2
s112011301044,11301,801.0,23,39,3
s112011301049,11301,801.0,28,37,1
s112011301049,11301,801.0,28,7,2
s112011301049,11301,801.0,28,11,3
s112011301049,11301,801.0,28,23,4
s112011301049,11301,801.0,28,36,5
s112011301052,11301,801.0,31,39,4
s112011301052,11301,801.0,31,34,5
s112011301055,11301,801.0,34,21,1
s112011301055,11301,801.0,34,36,5
s112011301056,11301,801.0,36,2,1
s112011301057,11301,801.0,37,18,1
s112011301057,11301,801.0,37,16,2
s112011301057,11301,801.0,37,17,3
s112011301061,11301,805.0,1,39,1
s112011301061,11301,805.0,1,25,2
s112011301061,11301,805.0,1,33,3
s112011301065,11301,805.0,5,22,1
s112011301068,11301,805.0,10,39,1
s112011301068,11301,805.0,10,13,2
s112011301068,11301,805.0,10,25,3
s112011301068,11301,805.0,10,27,4
s112011301068,11301,805.0,10,28,5
s112011301072,11301,805.0,14,30,1
s112011301072,11301,805.0,14,28,2
s112011301072,11301,805.0,14,25,3
s112011301072,11301,805.0,14,27,4
s112011301072,11301,805.0,14,40,5
s112011301076,11301,805.0,18,15,1
s112011301078,11301,805.0,20,27,1
s112011301080,11301,805.0,22,27,1
s112011301080,11301,805.0,22,28,2
s112011301080,11301,805.0,22,7,3
s112011301080,11301,805.0,22,11,4
s112011301080,11301,805.0,22,31,5
s112011301084,11301,805.0,28,9,1
s112011301084,11301,805.0,28,20,2
s112011301084,11301,805.0,28,24,3
s112011301084,11301,805.0,28,39,4
s112011301084,11301,805.0,28,23,5
s112011301087,11301,805.0,31,15,1
s112011301087,11301,805.0,31,39,2
s112011301087,11301,805.0,31,26,3
s112011301087,11301,805.0,31,10,4
s112011301087,11301,805.0,31,14,5
s112011301088,11301,805.0,33,20,1
s112011301088,11301,805.0,33,22,2
s112011301088,11301,805.0,33,1,3
s112011301088,11301,805.0,33,3,4
s112011301088,11301,805.0,33,10,5
s112011306023,11306,108.0,1,20,1
