school_id,class_name,seat_no,in_Online_Like,in_Online_Dislike,in_Offline_Like,in_Offline_Dislike
11301,801,7,1,1,1,1
11301,801,30,1,1,1,1
11301,801,32,1,1,1,1
11301,801,39,0,1,1,1
11301,805,7,1,1,1,1
11301,805,8,0,0,0,1
11301,805,19,1,0,1,0
11301,805,23,0,1,0,1
11301,805,24,0,1,0,1
11301,805,29,1,0,1,0
11301,805,40,1,1,1,1
11306,108,2,1,1,1,1
11306,108,3,1,0,1,0
11306,108,6,1,0,1,1
11306,108,8,1,0,1,1
11306,108,9,1,0,1,0
11306,108,10,1,0,1,1
11306,108,11,1,1,1,1
11306,108,13,1,0,1,0
11306,108,14,1,0,1,0
11306,108,18,1,0,1,0
11306,108,25,1,1,1,1
11306,108,26,1,0,1,0
11306,108,27,1,1,1,1
11306,108,30,1,1,1,1
11306,108,33,1,0,1,1
11306,108,38,0,0,1,0
11306,108,40,1,0,0,0
11306,108,42,0,1,0,0
11324,國二忠,1,1,0,1,0
11324,國二忠,6,1,1,1,1
11324,國二忠,12,1,0,1,0
11324,國二忠,16,1,1,1,1
11324,國二忠,25,1,0,1,1
11324,國二忠,42,0,0,0,1
11324,國二忠,60,0,1,0,0
11324,國二義,1,0,1,0,1
11324,國二義,4,0,1,0,1
11324,國二義,7,0,1,0,1
11324,國二義,9,1,1,1,1
11324,國二義,11,0,1,0,1
11324,國二義,14,1,0,1,0
11324,國二義,15,1,0,1,0
11324,國二義,16,1,0,1,0
11324,國二義,17,1,0,1,0
11324,國二義,18,1,0,1,0
11324,國二義,19,0,1,0,1
11324,國二義,20,0,1,0,1
11324,國二義,22,1,0,1,0
11324,國二義,23,1,0,1,0
11324,國二義,25,1,0,1,0
11324,國二義,26,1,0,1,0
11324,國二義,27,0,1,0,0
11324,國二義,28,1,1,1,1
11324,國二義,31,1,0,1,0
11324,國二義,32,1,0,1,0
11324,國二義,34,0,1,0,0
11324,國二義,35,0,1,0,1
14302,806,2,1,1,1,0
14302,806,3,1,1,1,1
14302,806,4,0,1,0,1
14302,806,6,1,1,1,1
14302,806,7,1,0,1,0
14302,806,9,1,0,1,0
14302,806,29,0,1,0,1
14302,806,30,1,0,0,1
14302,806,31,1,0,1,0
14302,806,32,1,1,0,1
14302,806,37,1,0,1,0
14302,806,38,1,1,1,1
14302,806,39,1,0,1,1
14302,806,42,0,1,0,1
14302,806,43,1,0,1,0
14302,806,50,0,0,1,0
14302,820,2,1,0,1,0
14302,820,9,1,1,0,1
14302,820,13,1,1,1,1
14302,820,14,0,0,1,0
14302,820,15,0,0,1,0
14302,820,31,1,0,1,1
14302,820,33,1,1,0,1
14302,820,35,1,1,1,1
14302,820,43,1,1,1,1
14302,820,44,1,0,1,1
14322,805,16,0,1,0,0
14322,805,17,0,0,1,1
14322,805,29,0,1,0,1
14322,805,36,0,1,0,0
14322,805,59,1,0,0,1
14322,805,60,1,0,0,1
14322,811,2,1,1,1,1
14322,811,3,0,1,0,1
14322,811,60,1,0,0,0
14332,805,1,1,0,1,0
14332,805,20,1,0,1,0
14332,811,16,1,1,1,1
14332,811,23,1,1,1,1
14332,811,49,0,0,1,0
14332,811,55,0,0,1,0
14332,811,56,0,0,1,0
14356,801,47,0,0,0,1
14356,801,52,0,1,0,0
14356,801,54,0,0,0,1
14356,801,55,0,1,0,0
14356,801,57,0,1,0,0
14356,801,58,0,1,0,0
14356,801,59,0,0,0,1
14356,806,1,1,1,1,1
14356,806,2,1,0,1,0
14356,806,3,0,1,0,1
14356,806,4,1,0,1,0
14356,806,5,0,1,0,1
14356,806,6,1,1,0,1
14356,806,8,0,1,1,1
14356,806,10,1,0,1,0
14356,806,12,0,1,0,1
14356,806,13,1,0,1,0
14356,806,23,1,0,1,0
14356,806,24,1,0,1,0
14356,806,25,0,1,0,1
14356,806,26,1,0,1,0
14356,806,28,1,0,1,0
14356,806,30,1,0,1,0
14356,806,31,1,0,1,0
14356,806,32,1,0,1,0
14356,806,33,0,1,0,0
14356,806,35,0,1,0,1
14356,806,36,0,0,0,1
14356,806,38,0,1,0,0
14356,806,42,0,0,0,1
14356,806,44,0,1,0,0
14356,806,49,0,0,0,1
14356,806,50,0,1,0,0
14356,806,57,0,0,0,1
14364,802,15,1,1,0,1
14364,802,16,1,0,1,1
14364,802,28,0,1,0,1
14364,806,4,1,1,1,1
14364,806,5,1,0,0,0
14364,806,12,1,0,1,0
14364,806,21,0,1,0,1
14364,806,25,1,0,1,1
14364,806,27,1,0,1,0
14364,806,60,0,0,0,1
14505,814,4,1,1,1,1
14505,814,10,1,0,1,1
14505,814,18,1,1,1,1
14505,814,19,0,1,1,1
14505,814,20,0,1,0,1
14505,814,23,1,1,1,1
14505,814,25,1,0,1,0
14505,814,28,1,1,1,0
14505,814,29,1,1,1,0
14505,814,60,1,0,0,0
14505,829,1,1,0,1,1
14505,829,17,0,1,0,1
14505,829,18,0,1,0,0
14505,829,24,1,0,1,0
14505,829,31,1,0,1,0
14505,829,52,0,0,0,1
14505,829,60,0,0,1,0
14509,807,4,1,1,1,1
14509,807,16,1,1,1,1
14509,807,17,1,0,0,0
14509,807,18,1,0,1,0
14509,807,27,1,0,1,1
14509,807,28,1,1,1,1
14509,815,1,0,1,1,1
14509,815,7,1,0,1,0
14509,815,16,1,1,1,1
14509,815,31,0,0,1,0
14509,815,44,0,0,0,1
14509,815,46,0,0,0,1
14509,815,47,0,0,1,1
14509,815,48,0,0,0,1
14509,815,49,0,0,0,1
14509,815,50,0,0,0,1
14509,815,51,0,0,1,0
14509,815,52,0,0,1,0
14509,815,53,0,0,1,1
14509,815,54,0,0,1,0
14509,815,55,0,0,1,0
14509,815,56,0,1,0,1
14509,815,57,0,1,1,0
14509,815,58,0,1,0,1
14509,815,59,0,1,1,0
14509,815,60,0,1,1,0
14510,801,4,1,1,1,1
14510,801,5,1,0,1,0
14510,801,6,1,1,0,1
14510,801,13,1,0,1,0
14510,801,19,1,1,1,1
14510,801,25,1,0,1,0
14510,806,1,1,1,1,1
14510,806,5,1,1,1,1
14510,806,14,0,1,0,1
14510,806,17,1,1,0,1
14513,802,15,0,1,0,1
14513,802,16,0,1,0,1
14513,802,17,0,1,0,1
14513,802,18,0,1,0,1
14513,802,19,0,0,0,1
14513,802,20,0,0,0,1
14513,802,21,1,1,1,1
14513,802,24,1,1,1,1
14513,802,31,1,0,1,0
14513,802,32,1,1,1,1
14513,802,36,0,1,1,1
14513,802,37,0,1,0,0
14513,802,51,0,1,0,0
14513,802,57,0,1,0,0
14513,802,60,0,1,0,0
14513,809,2,1,1,1,1
14513,809,6,1,1,1,1
14513,809,7,1,1,1,0
14513,809,10,1,0,1,0
14513,809,14,0,1,0,0
14513,809,26,1,0,1,0
14513,809,29,1,0,1,0
14513,809,32,1,1,1,1
14513,809,54,0,0,1,0
14513,809,55,0,0,1,0
14513,809,56,0,1,0,1
14513,809,57,0,0,0,1
14513,809,58,0,0,1,1
14513,809,59,0,0,1,0
14513,809,60,0,1,0,1
14514,806,3,1,0,1,0
14514,806,8,1,1,1,1
14514,806,14,1,1,1,1
14514,806,18,1,1,1,0
14514,814,2,1,1,1,1
14514,814,5,1,1,1,1
14514,814,6,1,1,1,1
14514,814,9,1,1,1,1
14514,814,10,1,1,1,1
14514,814,14,1,0,1,1
14514,814,21,1,1,1,1
14514,814,22,0,1,0,1
14514,814,27,1,0,1,0
14514,814,28,1,0,1,0
14514,814,44,0,0,1,0
14514,814,48,0,0,0,1
14514,814,50,1,0,0,1
14514,814,51,1,0,1,0
14514,814,52,0,1,0,0
14514,814,54,1,0,1,0
14514,814,56,0,0,1,0
14514,814,58,1,1,1,1
14514,814,59,0,1,0,1
14514,814,60,1,0,0,1
14516,810,1,1,0,1,1
14516,810,4,1,1,1,1
14516,810,5,1,1,1,1
14516,810,6,1,0,0,0
14516,810,12,1,0,1,0
14516,810,13,0,1,0,1
14516,810,18,0,1,0,1
14516,810,21,1,1,1,1
14516,810,22,1,0,1,0
14516,810,23,1,1,1,1
14516,810,25,1,0,1,1
14516,826,16,1,1,1,1
14516,826,17,1,1,1,1
14516,826,20,0,1,0,0
14516,826,21,1,1,0,1
14516,826,22,1,1,1,1
14516,826,23,1,0,1,0
14516,826,25,1,0,1,0
14516,826,26,1,1,1,1
14516,826,27,1,1,0,0
14516,826,28,1,1,1,1
14517,806,5,1,0,1,0
14517,806,10,1,1,1,1
14517,806,11,1,1,1,1
14517,806,12,1,0,1,0
14517,806,13,0,1,0,1
