wave,nominator_student_id,school_id,class,nominator_seat,nomination_type,nomination_column,nominated_raw,nominated_seat,reason
W3,s112593504047,593504,201.0,24,online_friend,8-1_0,15.0,15,not_in_list
W3,s112593504047,593504,201.0,24,online_enemy,8-2_1,6.0,6,not_in_list
W3,s112593504047,593504,201.0,24,offline_friend,8-3_0,15.0,15,not_in_list
W3,s112593504047,593504,201.0,24,offline_enemy,8-4_1,6.0,6,not_in_list
W3,s112593504048,593504,201.0,25,online_friend,8-1_1,15.0,15,not_in_list
W3,s112593504048,593504,201.0,25,online_friend,8-1_2,18.0,18,not_in_list
W3,s112593504048,593504,201.0,25,online_friend,8-1_3,14.0,14,not_in_list
W3,s112593504048,593504,201.0,25,online_enemy,8-2_1,1.0,1,not_in_list
W3,s112593504048,593504,201.0,25,online_enemy,8-2_2,5.0,5,not_in_list
W3,s112593504048,593504,201.0,25,online_enemy,8-2_3,11.0,11,not_in_list
W3,s112593504048,593504,201.0,25,offline_friend,8-3_1,18.0,18,not_in_list
W3,s112593504048,593504,201.0,25,offline_friend,8-3_2,23.0,23,not_in_list
W3,s112593504048,593504,201.0,25,offline_friend,8-3_3,14.0,14,not_in_list
W3,s112593504048,593504,201.0,25,offline_enemy,8-4_0,6.0,6,not_in_list
W3,s112593504048,593504,201.0,25,offline_enemy,8-4_2,11.0,11,not_in_list
W3,s112593504048,593504,201.0,25,offline_enemy,8-4_3,5.0,5,not_in_list
W3,s112593504040,593504,201.0,17,online_friend,8-1_1,14.0,14,not_in_list
W3,s112593504040,593504,201.0,17,online_enemy,8-2_0,6.0,6,not_in_list
W3,s112593504040,593504,201.0,17,offline_friend,8-3_2,14.0,14,not_in_list
W3,s112593504040,593504,201.0,17,offline_friend,8-3_3,23.0,23,not_in_list
W3,s112593504040,593504,201.0,17,offline_enemy,8-4_0,6.0,6,not_in_list
W3,s112593504042,593504,201.0,19,online_friend,8-1_1,18.0,18,not_in_list
W3,s112593504042,593504,201.0,19,online_friend,8-1_2,15.0,15,not_in_list
W3,s112593504042,593504,201.0,19,online_enemy,8-2_1,11.0,11,not_in_list
W3,s112593504042,593504,201.0,19,online_enemy,8-2_2,6.0,6,not_in_list
W3,s112593504042,593504,201.0,19,offline_friend,8-3_1,18.0,18,not_in_list
W3,s112593504042,593504,201.0,19,offline_friend,8-3_2,15.0,15,not_in_list
W3,s112593504042,593504,201.0,19,offline_enemy,8-4_1,6.0,6,not_in_list
W3,s112593504042,593504,201.0,19,offline_enemy,8-4_2,11.0,11,not_in_list
W3,s112593504042,593504,201.0,19,offline_enemy,8-4_3,12.0,12,not_in_list
W3,s112593504044,593504,201.0,21,online_friend,8-1_2,15.0,15,not_in_list
W3,s112593504044,593504,201.0,21,online_enemy,8-2_0,6.0,6,not_in_list
W3,s112593504044,593504,201.0,21,offline_friend,8-3_2,15.0,15,not_in_list
W3,s112593504044,593504,201.0,21,offline_enemy,8-4_0,6.0,6,not_in_list
W3,s112014559081,14559,812.0,26,online_enemy,8-2_1,2.0,2,not_in_list
W3,s112014559081,14559,812.0,26,offline_enemy,8-4_1,2.0,2,not_in_list
