feature,delta,count,pct
out_online_friend,-5,62,0.8800567778566359
out_online_friend,-4,168,2.3846699787083034
out_online_friend,-3,309,4.386089425124202
out_online_friend,-2,618,8.772178850248403
out_online_friend,-1,1196,16.976579134137687
out_online_friend,0,2573,36.52235628105039
out_online_friend,1,1127,15.997161107168203
out_online_friend,2,497,7.054648687012064
out_online_friend,3,237,3.364088005677786
out_online_friend,4,148,2.100780695528744
out_online_friend,5,110,1.5613910574875798
in_online_friend,-10,2,0.028388928317956
in_online_friend,-9,4,0.056777856635912
in_online_friend,-8,5,0.07097232079488999
in_online_friend,-7,8,0.113555713271824
in_online_friend,-6,29,0.41163946061036194
in_online_friend,-5,80,1.1355571327182399
in_online_friend,-4,170,2.41305890702626
in_online_friend,-3,379,5.379701916252661
in_online_friend,-2,733,10.404542228530874
in_online_friend,-1,1244,17.65791341376863
in_online_friend,0,1902,26.997870830376154
in_online_friend,1,1208,17.146912704045423
in_online_friend,2,690,9.794180269694818
in_online_friend,3,314,4.457061745919091
in_online_friend,4,138,1.958836053938964
in_online_friend,5,77,1.092973740241306
in_online_friend,6,36,0.511000709723208
in_online_friend,7,16,0.227111426543648
in_online_friend,8,3,0.042583392476934
in_online_friend,9,4,0.056777856635912
in_online_friend,10,2,0.028388928317956
in_online_friend,11,1,0.014194464158978
out_online_enemy,-5,53,0.752306600425834
out_online_enemy,-4,166,2.356281050390348
out_online_enemy,-3,327,4.6415897799858055
out_online_enemy,-2,505,7.16820440028389
out_online_enemy,-1,850,12.065294535131299
out_online_enemy,0,2424,34.40738112136267
out_online_enemy,1,1288,18.282469836763664
out_online_enemy,2,585,8.30376153300213
out_online_enemy,3,326,4.627395315826828
out_online_enemy,4,307,4.357700496806246
out_online_enemy,5,214,3.037615330021292
in_online_enemy,-15,1,0.014194464158978
in_online_enemy,-13,1,0.014194464158978
in_online_enemy,-12,1,0.014194464158978
in_online_enemy,-11,1,0.014194464158978
in_online_enemy,-10,3,0.042583392476934
in_online_enemy,-9,5,0.07097232079488999
in_online_enemy,-8,8,0.113555713271824
in_online_enemy,-7,14,0.198722498225692
in_online_enemy,-6,21,0.29808374733853793
in_online_enemy,-5,52,0.7381121362668559
in_online_enemy,-4,93,1.320085166784954
in_online_enemy,-3,205,2.9098651525904895
in_online_enemy,-2,429,6.089425124201561
in_online_enemy,-1,1049,14.88999290276792
in_online_enemy,0,2876,40.82327892122073
in_online_enemy,1,1147,16.281050390347765
in_online_enemy,2,473,6.713981547196593
in_online_enemy,3,247,3.506032647267566
in_online_enemy,4,144,2.044002838892832
in_online_enemy,5,96,1.362668559261888
in_online_enemy,6,50,0.7097232079488999
in_online_enemy,7,41,0.581973030518098
in_online_enemy,8,16,0.227111426543648
in_online_enemy,9,18,0.255500354861604
in_online_enemy,10,11,0.156139105748758
in_online_enemy,11,11,0.156139105748758
in_online_enemy,12,5,0.07097232079488999
in_online_enemy,13,8,0.113555713271824
in_online_enemy,14,3,0.042583392476934
in_online_enemy,15,3,0.042583392476934
in_online_enemy,16,3,0.042583392476934
in_online_enemy,17,2,0.028388928317956
