feature,wave,bucket,count,pct
out_online_friend,W2,0,710,10.078069552874378
out_online_friend,W2,1,638,9.056068133427964
out_online_friend,W2,2,838,11.894960965223563
out_online_friend,W2,3,1222,17.345635202271115
out_online_friend,W2,4,1646,23.364088005677786
out_online_friend,W2,5,1991,28.261178140525196
out_online_friend,W2,6-10,0,0.0
out_online_friend,W2,11+,0,0.0
out_online_friend,W3,0,580,8.232789212207239
out_online_friend,W3,1,871,12.363378282469837
out_online_friend,W3,2,921,13.073101490418736
out_online_friend,W3,3,1183,16.792051100070974
out_online_friend,W3,4,1560,22.143364088005676
out_online_friend,W3,5,1930,27.395315826827538
out_online_friend,W3,6-10,0,0.0
out_online_friend,W3,11+,0,0.0
in_online_friend,W2,0,861,12.221433640880058
in_online_friend,W2,1,891,12.647267565649397
in_online_friend,W2,2,1181,16.763662171753015
in_online_friend,W2,3,1235,17.530163236337827
in_online_friend,W2,4,1039,14.74804826117814
in_online_friend,W2,5,756,10.731014904187367
in_online_friend,W2,6-10,1051,14.918381831085876
in_online_friend,W2,11+,31,0.44002838892831797
in_online_friend,W3,0,937,13.300212916962384
in_online_friend,W3,1,959,13.612491128459899
in_online_friend,W3,2,1134,16.09652235628105
in_online_friend,W3,3,1199,17.019162526614622
in_online_friend,W3,4,1012,14.364797728885733
in_online_friend,W3,5,751,10.660042583392478
in_online_friend,W3,6-10,1010,14.33640880056778
in_online_friend,W3,11+,43,0.6103619588360539
out_online_enemy,W2,0,3102,44.031227821149756
out_online_enemy,W2,1,1089,15.45777146912704
out_online_enemy,W2,2,854,12.12207239176721
out_online_enemy,W2,3,797,11.312987934705465
out_online_enemy,W2,4,717,10.177430801987224
out_online_enemy,W2,5,486,6.898509581263307
out_online_enemy,W2,6-10,0,0.0
out_online_enemy,W2,11+,0,0.0
out_online_enemy,W3,0,2225,31.58268275372605
out_online_enemy,W3,1,1726,24.499645138396026
out_online_enemy,W3,2,890,12.63307310149042
out_online_enemy,W3,3,702,9.964513839602555
out_online_enemy,W3,4,672,9.538679914833214
out_online_enemy,W3,5,830,11.781405251951739
out_online_enemy,W3,6-10,0,0.0
out_online_enemy,W3,11+,0,0.0
in_online_enemy,W2,0,3319,47.11142654364798
in_online_enemy,W2,1,1569,22.271114265436477
in_online_enemy,W2,2,766,10.872959545777148
in_online_enemy,W2,3,479,6.799148332150462
in_online_enemy,W2,4,278,3.946061036195884
in_online_enemy,W2,5,185,2.62597586941093
in_online_enemy,W2,6-10,352,4.996451383960256
in_online_enemy,W2,11+,97,1.3768630234208659
in_online_enemy,W3,0,3180,45.13839602555004
in_online_enemy,W3,1,1573,22.32789212207239
in_online_enemy,W3,2,790,11.213626685592619
in_online_enemy,W3,3,419,5.947480482611781
in_online_enemy,W3,4,287,4.073811213626686
in_online_enemy,W3,5,184,2.6117814052519517
in_online_enemy,W3,6-10,428,6.075230660042584
in_online_enemy,W3,11+,184,2.6117814052519517
out_offline_friend,W2,0,544,7.721788502484031
out_offline_friend,W2,1,519,7.366926898509581
out_offline_friend,W2,2,800,11.355571327182398
out_offline_friend,W2,3,1265,17.955997161107167
out_offline_friend,W2,4,1795,25.479063165365506
out_offline_friend,W2,5,2122,30.12065294535131
out_offline_friend,W2,6-10,0,0.0
out_offline_friend,W2,11+,0,0.0
out_offline_friend,W3,0,536,7.608232789212208
out_offline_friend,W3,1,807,11.454932576295244
out_offline_friend,W3,2,891,12.647267565649397
out_offline_friend,W3,3,1183,16.792051100070974
out_offline_friend,W3,4,1594,22.62597586941093
out_offline_friend,W3,5,2034,28.871540099361248
out_offline_friend,W3,6-10,0,0.0
out_offline_friend,W3,11+,0,0.0
in_offline_friend,W2,0,777,11.029098651525905
in_offline_friend,W2,1,896,12.718239886444287
in_offline_friend,W2,2,1021,14.492547906316537
in_offline_friend,W2,3,1238,17.572746628814762
in_offline_friend,W2,4,1058,15.017743080198724
in_offline_friend,W2,5,799,11.34137686302342
in_offline_friend,W2,6-10,1229,17.44499645138396
in_offline_friend,W2,11+,27,0.38325053229240597
in_offline_friend,W3,0,897,12.732434350603263
in_offline_friend,W3,1,881,12.505322924059618
in_offline_friend,W3,2,1159,16.4513839602555
in_offline_friend,W3,3,1168,16.579134137686303
in_offline_friend,W3,4,1047,14.861603974449963
in_offline_friend,W3,5,800,11.355571327182398
in_offline_friend,W3,6-10,1048,14.875798438608943
in_offline_friend,W3,11+,45,0.63875088715401
out_offline_enemy,W2,0,2590,36.76366217175301
out_offline_enemy,W2,1,1241,17.615330021291697
out_offline_enemy,W2,2,972,13.797019162526613
out_offline_enemy,W2,3,889,12.61887863733144
out_offline_enemy,W2,4,827,11.738821859474804
out_offline_enemy,W2,5,526,7.466288147622427
out_offline_enemy,W2,6-10,0,0.0
out_offline_enemy,W2,11+,0,0.0
out_offline_enemy,W3,0,2045,29.027679205110008
out_offline_enemy,W3,1,1684,23.903477643718947
out_offline_enemy,W3,2,988,14.024130589070264
out_offline_enemy,W3,3,745,10.574875798438608
out_offline_enemy,W3,4,736,10.447125621007807
out_offline_enemy,W3,5,847,12.022711142654364
out_offline_enemy,W3,6-10,0,0.0
out_offline_enemy,W3,11+,0,0.0
in_offline_enemy,W2,0,3166,44.939673527324345
in_offline_enemy,W2,1,1517,21.533002129169624
in_offline_enemy,W2,2,819,11.62526614620298
in_offline_enemy,W2,3,500,7.097232079488999
in_offline_enemy,W2,4,304,4.315117104329311
in_offline_enemy,W2,5,196,2.7821149751596876
