wave,school_id,class,seat,candidate_count,candidate_student_ids
W2,34527,818.0,11,2,s112034527061;s112034527062
W2,44529,8.0,1,2,s112044529024;s112044529056
W2,44529,8.0,12,2,s112044529035;s112044529067
W2,44529,8.0,13,2,s112044529036;s112044529068
W2,44529,8.0,15,2,s112044529038;s112044529070
W2,44529,8.0,24,2,s112044529042;s112044529075
W2,44529,8.0,26,2,s112044529044;s112044529077
W2,44529,8.0,29,2,s112044529047;s112044529080
W2,44529,8.0,3,2,s112044529026;s112044529058
W2,44529,8.0,30,2,s112044529048;s112044529081
W2,44529,8.0,31,2,s112044529049;s112044529082
W2,44529,8.0,32,2,s112044529050;s112044529083
W2,44529,8.0,34,2,s112044529052;s112044529085
W2,44529,8.0,4,2,s112044529027;s112044529059
W2,61315,201.0,27,2,s112061315051;s112061315052
W2,61315,204.0,15,2,s112061315085;s112061315102
W2,64521,8.0,10,2,s112064521033;s112064521048
W2,64521,8.0,11,2,s112064521034;s112064521049
W2,64521,8.0,12,2,s112064521035;s112064521050
W2,64521,8.0,2,2,s112064521025;s112064521040
W2,64521,8.0,4,2,s112064521027;s112064521042
W2,64521,8.0,5,2,s112064521028;s112064521043
W2,64521,8.0,7,2,s112064521030;s112064521045
W2,64521,8.0,8,2,s112064521031;s112064521046
W2,64521,8.0,9,2,s112064521032;s112064521047
W2,64523,八年三班,15,2,s112064523037;s112064523038
W2,84503,8.0,1,2,s112084503024;s112084503056
W2,84503,8.0,11,2,s112084503034;s112084503066
W2,84503,8.0,15,2,s112084503038;s112084503070
W2,84503,8.0,17,2,s112084503071;s113084503003
W2,84503,8.0,19,2,s112084503040;s112084503073
W2,84503,8.0,2,2,s112084503025;s112084503057
W2,84503,8.0,22,2,s112084503043;s112084503076
W2,84503,8.0,23,2,s112084503044;s112084503077
W2,84503,8.0,25,2,s112084503047;s112084503079
W2,84503,8.0,26,2,s112084503048;s112084503080
W2,84503,8.0,27,2,s112084503049;s112084503081
W2,84503,8.0,28,2,s112084503050;s112084503082
W2,84503,8.0,29,2,s112084503053;s112084503083
W2,84503,8.0,3,2,s112084503026;s112084503058
W2,84503,8.0,30,2,s112084503085;s113084503004
W2,84503,8.0,4,2,s112084503027;s112084503059
W2,84503,8.0,6,2,s112084503029;s112084503061
W2,84503,8.0,7,2,s112084503030;s112084503062
W2,84503,8.0,8,2,s112084503031;s112084503063
W2,84503,8.0,9,2,s112084503032;s112084503064
W2,114523,8.0,16,2,s112114523039;s112114523069
W2,114523,8.0,19,2,s112114523042;s112114523072
W2,114523,8.0,20,2,s112114523043;s112114523073
W2,114523,8.0,24,2,s112114523047;s112114523076
W2,114523,8.0,26,2,s112114523049;s112114523078
W2,114523,8.0,27,2,s112114523050;s112114523079
W2,114523,8.0,5,2,s112114523028;s112114523058
W2,114523,8.0,7,2,s112114523030;s112114523060
W2,114523,8.0,8,2,s112114523031;s112114523061
W2,114523,8.0,9,2,s112114523032;s112114523062
W2,121320,203.0,2,2,s112121320045;s112121320049
W2,121320,203.0,3,2,s112121320044;s112121320046
W2,213509,2.0,10,2,s112213509033;s112213509063
W2,213509,2.0,16,2,s112213509039;s112213509069
W2,213509,2.0,21,2,s112213509044;s112213509074
W2,213509,2.0,26,2,s112213509048;s112213509079
W2,213509,2.0,27,2,s112213509049;s112213509080
W2,213509,2.0,4,2,s112213509027;s112213509057
W2,213509,2.0,6,2,s112213509029;s112213509059
W2,213509,2.0,7,2,s112213509030;s112213509060
W2,333505,8.0,1,2,s112333505024;s112333505054
W2,333505,8.0,10,2,s112333505032;s112333505063
W2,333505,8.0,14,2,s112333505036;s112333505067
