wave,school_id,class,seat,candidate_count,candidate_student_ids,ambiguous_rows_ref_count
W2,34527,818.0,11,2,s112034527061;s112034527062,9
W2,44529,8.0,1,2,s112044529056;s112044529024,18
W2,44529,8.0,3,2,s112044529058;s112044529026,21
W2,44529,8.0,4,2,s112044529059;s112044529027,35
W2,44529,8.0,12,2,s112044529067;s112044529035,14
W2,44529,8.0,13,2,s112044529068;s112044529036,35
W2,44529,8.0,15,2,s112044529070;s112044529038,20
W2,44529,8.0,24,2,s112044529075;s112044529042,25
W2,44529,8.0,26,2,s112044529077;s112044529044,23
W2,44529,8.0,29,2,s112044529080;s112044529047,15
W2,44529,8.0,30,2,s112044529081;s112044529048,18
W2,44529,8.0,31,2,s112044529082;s112044529049,11
W2,44529,8.0,32,2,s112044529083;s112044529050,25
W2,44529,8.0,34,2,s112044529085;s112044529052,17
W2,61315,201.0,27,2,s112061315051;s112061315052,7
W2,61315,204.0,15,2,s112061315085;s112061315102,14
W2,64521,8.0,2,2,s112064521025;s112064521040,23
W2,64521,8.0,4,2,s112064521027;s112064521042,20
W2,64521,8.0,5,2,s112064521028;s112064521043,28
W2,64521,8.0,7,2,s112064521030;s112064521045,17
W2,64521,8.0,8,2,s112064521031;s112064521046,10
W2,64521,8.0,9,2,s112064521032;s112064521047,13
W2,64521,8.0,10,2,s112064521033;s112064521048,21
W2,64521,8.0,11,2,s112064521034;s112064521049,16
W2,64521,8.0,12,2,s112064521035;s112064521050,21
W2,64523,八年三班,15,2,s112064523037;s112064523038,4
W2,84503,8.0,1,2,s112084503056;s112084503024,16
W2,84503,8.0,2,2,s112084503057;s112084503025,25
W2,84503,8.0,3,2,s112084503058;s112084503026,15
W2,84503,8.0,4,2,s112084503059;s112084503027,15
W2,84503,8.0,6,2,s112084503061;s112084503029,23
W2,84503,8.0,7,2,s112084503062;s112084503030,21
W2,84503,8.0,8,2,s112084503063;s112084503031,38
W2,84503,8.0,9,2,s112084503064;s112084503032,17
W2,84503,8.0,11,2,s112084503066;s112084503034,21
W2,84503,8.0,15,2,s112084503070;s112084503038,20
W2,84503,8.0,17,2,s112084503071;s113084503003,23
W2,84503,8.0,19,2,s112084503073;s112084503040,19
W2,84503,8.0,22,2,s112084503076;s112084503043,21
W2,84503,8.0,23,2,s112084503077;s112084503044,23
W2,84503,8.0,25,2,s112084503079;s112084503047,13
W2,84503,8.0,26,2,s112084503080;s112084503048,19
W2,84503,8.0,27,2,s112084503081;s112084503049,25
W2,84503,8.0,28,2,s112084503082;s112084503050,19
W2,84503,8.0,29,2,s112084503083;s112084503053,12
W2,84503,8.0,30,2,s112084503085;s113084503004,55
W2,114523,8.0,7,2,s112114523030;s112114523060,12
W2,114523,8.0,8,2,s112114523031;s112114523061,14
W2,114523,8.0,9,2,s112114523032;s112114523062,28
W2,114523,8.0,16,2,s112114523039;s112114523069,23
W2,114523,8.0,19,2,s112114523042;s112114523072,15
W2,114523,8.0,20,2,s112114523043;s112114523073,25
W2,114523,8.0,24,2,s112114523047;s112114523076,23
W2,114523,8.0,26,2,s112114523049;s112114523078,9
W2,114523,8.0,27,2,s112114523050;s112114523079,19
W2,121320,203.0,2,2,s112121320045;s112121320049,6
W2,121320,203.0,3,2,s112121320044;s112121320046,7
W2,213509,2.0,4,2,s112213509057;s112213509027,16
W2,213509,2.0,6,2,s112213509059;s112213509029,8
W2,213509,2.0,7,2,s112213509060;s112213509030,11
W2,213509,2.0,10,2,s112213509063;s112213509033,21
W2,213509,2.0,16,2,s112213509069;s112213509039,25
W2,213509,2.0,21,2,s112213509074;s112213509044,15
W2,213509,2.0,26,2,s112213509079;s112213509048,21
W2,213509,2.0,27,2,s112213509080;s112213509049,13
W2,333505,8.0,1,2,s112333505024;s112333505054,15
W2,333505,8.0,6,2,s112333505029;s112333505059,12
W2,333505,8.0,9,2,s112333505031;s112333505062,15
W2,333505,8.0,10,2,s112333505032;s112333505063,18
W2,333505,8.0,14,2,s112333505036;s112333505067,10
W2,333505,8.0,32,2,s112333505044;s112333505074,20
W2,333505,8.0,33,2,s112333505045;s112333505075,10
W2,333505,8.0,37,2,s112333505049;s112333505079,10
W2,333505,8.0,38,2,s112333505050;s112333505080,21
W2,343302,8.0,1,2,s112343302024;s112343302053,23
W2,343302,8.0,2,2,s112343302025;s112343302054,15
W2,343302,8.0,3,2,s112343302026;s112343302055,27
W2,343302,8.0,4,2,s112343302027;s112343302056,16
W2,343302,8.0,5,2,s112343302028;s112343302057,21
W2,343302,8.0,7,2,s112343302030;s112343302059,18
W2,343302,8.0,8,2,s112343302031;s112343302060,54
W2,343302,8.0,9,2,s112343302032;s112343302061,24
W2,343302,8.0,10,2,s112343302033;s112343302062,24
W2,343302,8.0,11,2,s112343302034;s112343302063,20
W2,343302,8.0,12,2,s112343302035;s112343302064,17
W2,343302,8.0,13,2,s112343302036;s112343302065,28
W2,343302,8.0,21,2,s112343302038;s112343302066,13
W2,343302,8.0,22,2,s112343302039;s112343302067,18
W2,343302,8.0,23,2,s112343302040;s112343302068,17
W2,343302,8.0,25,2,s112343302042;s112343302070,21
W2,343302,8.0,27,2,s112343302044;s112343302072,22
W2,343302,8.0,29,2,s112343302046;s112343302073,11
W2,343302,8.0,30,2,s112343302047;s112343302074,19
W2,343302,8.0,31,2,s112343302048;s112343302075,17
W2,343302,8.0,33,2,s112343302050;s112343302077,29
W2,403502,805.0,28,2,s112403502043;s112403502044,8
W2,551301,國中201,7,2,s112551301028;s112551301030,6
W2,551301,國中201,14,2,s112551301037;s112551301039,4
W2,551301,國中203,10,2,s112551301069;s112551301070,1
W2,551301,國中203,35,2,s112551301089;s112551301092,4
W3,11306,108.0,2,2,s112011306023;s112011306027,3
W3,11306,108.0,17,2,s112011306044;s112011306045,11
W3,11306,108.0,30,2,s112011306057;s112011306051,7
W3,11324,國二忠,4,2,s112011324027;s112011324026,17
W3,11324,國二忠,17,2,s112011324036;s112011324037,10
W3,11324,國二忠,25,2,s112011324044;s112011324045,11
W3,11324,國二忠,30,2,s112011324050;s112011324049,16
W3,11324,國二忠,32,2,s112011324051;s112011324054,10
W3,11324,國二忠,34,2,s112011324053;s112011324055,5
W3,11324,國二忠,38,2,s112011324057;s112011324059,10
W3,14332,811.0,1,2,s112014332052;s112014332056,40
W3,14514,814.0,1,2,s112014514069;s112014514054,25
W3,14514,814.0,15,2,s112014514078;s112014514068,4
W3,24507,806.0,3,2,s112024507050;s112024507047,35
W3,34506,八年8班,1,2,s112034506033;s112034506024,34
W3,34563,802.0,3,2,s112034563026;s112034563033,17
W3,34565,803.0,14,2,s112034565036;s112034565037,13
W3,44501,八年五班,20,2,s112044501075;s112044501082,6
W3,44529,8.0,1,2,s112044529024;s112044529056,21
W3,44529,8.0,3,2,s112044529026;s112044529058,19
W3,44529,8.0,4,2,s112044529027;s112044529059,15
W3,44529,8.0,12,2,s112044529035;s112044529067,17
W3,44529,8.0,13,2,s112044529068;s112044529036,31
W3,44529,8.0,15,2,s112044529038;s112044529070,16
W3,44529,8.0,24,2,s112044529075;s112044529042,51
W3,44529,8.0,26,2,s112044529077;s112044529044,21
W3,44529,8.0,29,2,s112044529047;s112044529080,24
W3,44529,8.0,30,2,s112044529048;s112044529081,26
W3,44529,8.0,31,2,s112044529049;s112044529082,15
W3,44529,8.0,32,2,s112044529050;s112044529083,20
W3,44529,8.0,34,2,s112044529052;s112044529085,26
W3,61315,201.0,12,2,s112061315036;s112061315035,13
W3,61315,201.0,19,2,s112061315043;s112061315044,5
W3,61315,201.0,25,2,s112061315051;s112061315050,10
W3,61315,204.0,24,2,s112061315083;s112061315094,7
W3,64521,8.0,2,2,s112064521025;s112064521040,24
W3,64521,8.0,4,2,s112064521042;s112064521027,15
W3,64521,8.0,5,2,s112064521043;s112064521028,24
W3,64521,8.0,7,2,s112064521030;s112064521045,20
W3,64521,8.0,8,2,s112064521046;s112064521031,16
W3,64521,8.0,9,2,s112064521032;s112064521047,14
W3,64521,8.0,10,2,s112064521048;s112064521033,17
W3,64521,8.0,11,2,s112064521049;s112064521034,16
W3,64521,8.0,12,2,s112064521035;s112064521050,23
W3,64523,八年三班,19,2,s112064523041;s112064523039,16
W3,64538,八年五班,10,2,s112064538033;s112064538047,8
W3,64545,八年4班,7,2,s112064545031;s112064545030,10
W3,71311,805.0,14,2,s112071311040;s112071311054,8
W3,71311,805.0,27,2,s112071311061;s112071311050,2
W3,71311,805.0,35,2,s112071311071;s112071311070,4
W3,71311,812.0,41,2,s112071311120;s112071311093,11
W3,71311,812.0,47,2,s112071311116;s112071311110,2
W3,74323,208.0,9,2,s112074323051;s112074323059,26
W3,74510,807.0,12,2,s112074510064;s112074510063,17
W3,74511,八年四班,1,2,s112074511063;s112074511054,10
W3,84503,8.0,1,2,s112084503024;s112084503056,25
W3,84503,8.0,2,2,s112084503025;s112084503057,22
W3,84503,8.0,3,2,s112084503026;s112084503058,17
W3,84503,8.0,4,2,s112084503027;s112084503059,19
W3,84503,8.0,6,2,s112084503029;s112084503061,16
W3,84503,8.0,7,2,s112084503030;s112084503062,24
W3,84503,8.0,8,2,s112084503031;s112084503063,33
W3,84503,8.0,9,2,s112084503032;s112084503064,21
W3,84503,8.0,11,2,s112084503034;s112084503066,22
W3,84503,8.0,15,2,s112084503038;s112084503070,20
W3,84503,8.0,17,2,s112084503071;s113084503003,102
W3,84503,8.0,19,2,s112084503040;s112084503073,18
W3,84503,8.0,22,2,s112084503043;s112084503076,26
W3,84503,8.0,23,2,s112084503044;s112084503077,14
W3,84503,8.0,25,3,s112084503047;s112084503079;s112084503080,14
W3,84503,8.0,26,2,s112084503048;s112084503081,15
W3,84503,8.0,28,2,s112084503050;s112084503082,17
W3,84503,8.0,29,2,s112084503053;s112084503083,55
W3,84503,8.0,30,3,s113084503004;s113084503005;s112084503085,24
W3,114523,8.0,5,2,s112114523028;s112114523058,15
W3,114523,8.0,7,2,s112114523030;s112114523060,7
W3,114523,8.0,8,2,s112114523031;s112114523061,17
W3,114523,8.0,9,2,s112114523032;s112114523062,20
W3,114523,8.0,16,2,s112114523069;s112114523039,15
W3,114523,8.0,19,2,s112114523042;s112114523072,9
