student_id,valid_friend_count,total_nominations,valid_rate
s112011301025,5,5,100.0
s112011301026,2,2,100.0
s112011301028,5,5,100.0
s112011301031,5,5,100.0
s112011301032,4,5,80.0
s112011301033,4,4,100.0
s112011301034,5,5,100.0
s112011301035,5,5,100.0
s112011301037,3,3,100.0
s112011301038,4,5,80.0
s112011301039,5,5,100.0
s112011301040,5,5,100.0
s112011301042,4,4,100.0
s112011301043,5,5,100.0
s112011301044,2,3,66.7
s112011301045,5,5,100.0
s112011301046,4,5,80.0
s112011301047,5,5,100.0
s112011301049,3,5,60.0
s112011301050,3,5,60.0
s112011301052,2,3,66.7
s112011301054,3,3,100.0
s112011301055,4,5,80.0
s112011301056,4,4,100.0
s112011301057,5,5,100.0
s112011301061,5,5,100.0
s112011301062,5,5,100.0
s112011301063,5,5,100.0
s112011301064,5,5,100.0
s112011301065,3,5,60.0
s112011301067,5,5,100.0
s112011301068,4,5,80.0
s112011301069,4,5,80.0
s112011301070,4,4,100.0
s112011301071,4,5,80.0
s112011301072,3,4,75.0
s112011301074,4,5,80.0
s112011301075,5,5,100.0
s112011301076,2,2,100.0
s112011301078,4,4,100.0
s112011301079,4,5,80.0
s112011301080,5,5,100.0
s112011301081,4,5,80.0
s112011301082,3,5,60.0
s112011301083,4,5,80.0
s112011301084,3,5,60.0
s112011301086,2,3,66.7
s112011301087,4,5,80.0
s112011301088,3,5,60.0
s112011301089,3,4,75.0
s112011301090,4,5,80.0
s112011301094,5,5,100.0
s112011306023,4,5,80.0
s112011306026,1,5,20.0
s112011306027,3,5,60.0
s112011306029,2,4,50.0
s112011306034,2,5,40.0
s112011306038,1,3,33.3
s112011306039,3,4,75.0
s112011306042,3,5,60.0
s112011306043,4,5,80.0
s112011306044,4,5,80.0
s112011306045,3,5,60.0
s112011306046,3,5,60.0
s112011306050,3,5,60.0
s112011306051,2,5,40.0
s112011306053,2,4,50.0
s112011306054,3,5,60.0
s112011306055,3,5,60.0
s112011306056,3,5,60.0
s112011306057,4,5,80.0
s112011306058,2,5,40.0
s112011324025,3,3,100.0
s112011324026,3,4,75.0
s112011324027,1,1,100.0
s112011324028,2,4,50.0
s112011324030,5,5,100.0
s112011324032,1,1,100.0
s112011324033,4,5,80.0
s112011324034,3,5,60.0
s112011324036,4,5,80.0
s112011324037,3,3,100.0
s112011324038,3,5,60.0
s112011324040,4,5,80.0
s112011324041,5,5,100.0
s112011324042,5,5,100.0
s112011324043,2,2,100.0
s112011324044,4,5,80.0
s112011324045,4,5,80.0
s112011324046,5,5,100.0
s112011324048,5,5,100.0
s112011324049,5,5,100.0
s112011324050,3,4,75.0
s112011324051,5,5,100.0
s112011324052,5,5,100.0
s112011324053,3,3,100.0
s112011324054,5,5,100.0
s112011324055,5,5,100.0
s112011324056,5,5,100.0
s112011324057,5,5,100.0
s112011324058,2,2,100.0
s112011324059,4,5,80.0
s112011324060,5,5,100.0
s112011324061,4,5,80.0
s112011324062,5,5,100.0
s112011324063,4,4,100.0
s112011324073,0,5,0.0
s112011324094,0,4,0.0
s112011324097,0,5,0.0
s112014302024,3,5,60.0
s112014302028,2,5,40.0
s112014302031,2,3,66.7
s112014302033,1,4,25.0
s112014302034,4,4,100.0
s112014302035,5,5,100.0
s112014302036,1,3,33.3
s112014302037,0,2,0.0
s112014302038,2,5,40.0
s112014302043,5,5,100.0
s112014302046,2,5,40.0
s112014302050,3,5,60.0
s112014302051,4,5,80.0
s112014302054,3,5,60.0
s112014302057,3,4,75.0
s112014302059,3,4,75.0
s112014302060,1,2,50.0
s112014302061,4,4,100.0
s112014302062,5,5,100.0
s112014302063,5,5,100.0
s112014302064,4,5,80.0
s112014302066,3,4,75.0
s112014302067,3,5,60.0
s112014302068,4,5,80.0
s112014302071,3,4,75.0
s112014302073,3,5,60.0
s112014302075,1,2,50.0
s112014302076,4,5,80.0
s112014302077,2,5,40.0
s112014302078,5,5,100.0
s112014302080,3,4,75.0
s112014302081,3,5,60.0
s112014302084,2,4,50.0
s112014302085,3,5,60.0
s112014322024,2,2,100.0
s112014322025,5,5,100.0
s112014322026,5,5,100.0
s112014322027,5,5,100.0
s112014322028,5,5,100.0
s112014322029,5,5,100.0
s112014322030,5,5,100.0
s112014322031,4,4,100.0
s112014322032,4,4,100.0
s112014322034,5,5,100.0
s112014322035,5,5,100.0
s112014322036,2,3,66.7
s112014322039,5,5,100.0
s112014322040,5,5,100.0
s112014322041,4,4,100.0
s112014322042,5,5,100.0
