scenario,mode,mode_label,delta_accuracy_vs_baseline,delta_f1_vs_baseline,delta_precision_vs_baseline,delta_recall_vs_baseline,delta_auc_vs_baseline
w2_predict_w3,baseline_untyped,Baseline (untyped),0.0,0.0,0.0,0.0,0.0
w2_predict_w3,online_friend_only,online_friend only,-0.0022338049143708627,0.0008123807407434125,-0.004995258188066898,0.005856515373352744,-0.004204268157415925
w2_predict_w3,online_enemy_only,online_enemy only,-0.01042442293373047,-0.007082949685242812,-0.013856584118281723,-0.0011713030746705044,-0.014654598695594379
w2_predict_w3,offline_friend_only,offline_friend only,-0.0041697691734922104,-0.003328780346401272,-0.00496165189052189,-0.00234260614934112,-0.005582767647189346
w2_predict_w3,offline_enemy_only,offline_enemy only,-0.00551005212211475,-0.002044506432391957,-0.008999736488469523,0.0040995607613468765,-0.010410843426948757
w2_predict_w3,friend_only,friend only,-0.006254653760238371,-0.004609463635245392,-0.007789402550701041,-0.0017569546120058677,-0.0032707751009362074
w2_predict_w3,enemy_only,enemy only,-0.006552494415487775,-0.0031734135226002547,-0.010070816661663207,0.002928257686676261,-0.013765473179821575
w2_predict_w3,online_only,online only,-0.0031273268801191856,-0.00020523614610135077,-0.0057521940644787994,0.004978038067349866,-0.006028217755889798
w2_predict_w3,offline_only,offline only,-0.004616530156366427,-0.0055721621636170005,-0.003957072396734929,-0.007027818448023471,-0.002886108523004638
w2_self,baseline_untyped,Baseline (untyped),0.0,0.0,0.0,0.0,0.0
w2_self,online_friend_only,online_friend only,-0.00014892032762470198,-0.0020431406008282194,0.003611849932881883,-0.007438016528925617,-0.0019377508695321843
w2_self,online_enemy_only,online_enemy only,-0.00967982129560696,-0.008641712258869894,-0.009065860583302054,-0.007713498622589632,-0.012168093190636275
w2_self,offline_friend_only,offline_friend only,0.0022338049143707517,-6.479788065594239e-05,0.006404913978671489,-0.006336088154270114,0.001987310857209268
w2_self,offline_enemy_only,offline_enemy only,-0.009233060312732744,-0.008588463801228352,-0.008319459534257612,-0.008539944903581453,-0.012428617990721924
w2_self,friend_only,friend only,0.005956813104988856,0.002975595549442045,0.010929093903440323,-0.004683195592286582,0.004280018395238616
w2_self,enemy_only,enemy only,-0.005956813104988856,-0.00555202728680082,-0.0051080168592747555,-0.005509641873278293,-0.00903107991659624
w2_self,online_only,online only,0.0038719285182428065,0.0028264888555358247,0.005426211795922065,0.0002754820936637925,-0.004109460599809656
w2_self,offline_only,offline only,-0.0037230081906179935,-0.003864841466918345,-0.0026896534506573033,-0.0049586776859504855,-0.0029588652102280344
w3_self,baseline_untyped,Baseline (untyped),0.0,0.0,0.0,0.0,0.0
w3_self,online_friend_only,online_friend only,-0.0005956813104989189,-0.0006344064271962546,-0.0007092583700288868,-0.0002928257686675151,0.002555348507032318
w3_self,online_enemy_only,online_enemy only,-0.0040208488458675085,0.00026707786628810126,-0.010846677852480946,0.010834553440702943,-0.00272638537645864
w3_self,offline_friend_only,offline_friend only,-0.005212211466865235,-0.004959255013423536,-0.0060242362667846105,-0.0040995607613468765,-0.00023647899196943545
w3_self,offline_enemy_only,offline_enemy only,-0.008935219657483229,-0.005906936395607798,-0.014222448259838982,0.002049780380673605,-0.007471493855095601
w3_self,friend_only,friend only,-0.0011913626209977268,-0.0015863997617157066,-0.0006303729682249903,-0.002342606149341009,0.0010173477084166604
w3_self,enemy_only,enemy only,-0.01042442293373036,-0.007249148017117513,-0.015798347261085532,0.0014641288433382416,-0.007422689560317441
w3_self,online_only,online only,-0.00044676098287410593,0.0004898161897932685,-0.0018949966248187344,0.002635431918008857,-0.0007595722969077068
w3_self,offline_only,offline only,-0.0008935219657482119,-0.0020984438362420255,0.0008860883912111817,-0.004685212298682129,-0.0016220772882558077
