scenario,mode,mode_label,mode_description,mode_rel_types,feature_year,target_year,edge_year,target_group_id,target_median_cutoff,target_positive_rate,n_nodes_modeling,n_features_used,n_edges_graph,test_accuracy_mean,test_accuracy_std,test_f1_mean,test_f1_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_auc_mean,test_auc_std,best_epoch_mean,best_epoch_std
w2_predict_w3,baseline_untyped,Baseline (untyped),all four relations merged as one edge type,"online_friend,online_enemy,offline_friend,offline_enemy",W2,W3,W2,54,18.0,0.5088633993743483,6713,118,38907,0.65867460908414,0.01422637378533788,0.6569480087980333,0.01763230858382901,0.6718546331301244,0.01474389534808656,0.6433382137628112,0.02853511617002598,0.7172966857447092,0.014555861063176436,6.6,1.9595917942265424
w2_predict_w3,online_friend_only,online_friend only,only online_friend edges,online_friend,W2,W3,W2,54,18.0,0.5088633993743483,6713,118,20899,0.6564408041697691,0.011974898283231342,0.6577603895387767,0.011000302271771161,0.6668593749420575,0.014851479364973606,0.6491947291361639,0.014717226205714874,0.7130924175872932,0.009539303177811966,5.4,1.0198039027185568
w2_predict_w3,online_enemy_only,online_enemy only,only online_enemy edges,online_enemy,W2,W3,W2,54,18.0,0.5088633993743483,6713,118,9708,0.6482501861504095,0.006258198477870678,0.6498650591127905,0.009568241984888455,0.6579980490118427,0.00556246573818011,0.6421669106881407,0.01713969033869622,0.7026420870491148,0.015661839088306005,5.4,1.0198039027185568
w2_predict_w3,offline_friend_only,offline_friend only,only offline_friend edges,offline_friend,W2,W3,W2,54,18.0,0.5088633993743483,6713,118,22072,0.6545048399106478,0.01603921014783174,0.653619228451632,0.01590769139859155,0.6668929812396025,0.017311995469053057,0.6409956076134701,0.017184656809512405,0.7117139180975198,0.0159581314861805,5.0,0.6324555320336759
w2_predict_w3,offline_enemy_only,offline_enemy only,only offline_enemy edges,offline_enemy,W2,W3,W2,54,18.0,0.5088633993743483,6713,118,10917,0.6531645569620252,0.011908040388207756,0.6549035023656413,0.01364609611709985,0.6628548966416549,0.011852934721618856,0.6474377745241581,0.020568795699954245,0.7068858423177604,0.012566030739441958,5.0,1.0954451150103321
w2_predict_w3,friend_only,friend only,online_friend + offline_friend,"online_friend,offline_friend",W2,W3,W2,54,18.0,0.5088633993743483,6713,118,26214,0.6524199553239016,0.015153329378305273,0.6523385451627879,0.016453537081990884,0.6640652305794233,0.017161198325978903,0.6415812591508053,0.024558988399720944,0.714025910643773,0.014503195137749786,4.8,0.39999999999999997
w2_predict_w3,enemy_only,enemy only,online_enemy + offline_enemy,"online_enemy,offline_enemy",W2,W3,W2,54,18.0,0.5088633993743483,6713,118,12997,0.6521221146686522,0.008175712423714534,0.653774595275433,0.011838082246109629,0.6617838164684612,0.006614980939135759,0.6462664714494875,0.020800937786445706,0.7035312125648876,0.014858725907529317,5.2,1.16619037896906
w2_predict_w3,online_only,online only,online_friend + online_enemy,"online_friend,online_enemy",W2,W3,W2,54,18.0,0.5088633993743483,6713,118,30479,0.6555472822040208,0.010377513858635503,0.6567427726519319,0.01160972749135249,0.6661024390656456,0.013830806341290441,0.6483162518301611,0.022746361916179736,0.7112684679888194,0.013608693878594902,5.6,1.3564659966250536
w2_predict_w3,offline_only,offline only,offline_friend + offline_enemy,"offline_friend,offline_enemy",W2,W3,W2,54,18.0,0.5088633993743483,6713,118,32881,0.6540580789277736,0.016194700485830407,0.6513758466344163,0.020196846679916662,0.6678975607333895,0.015944158279802882,0.6363103953147877,0.031163596361671462,0.7144105772217045,0.01693301434796129,6.6,1.9595917942265424
w2_self,baseline_untyped,Baseline (untyped),all four relations merged as one edge type,"online_friend,online_enemy,offline_friend,offline_enemy",W2,W2,W2,v55,17.0,0.5404439147921942,6713,118,38907,0.724795234549516,0.008191971728652327,0.744276807486382,0.009067577078900472,0.7476006024715469,0.005539509418173517,0.7410468319559229,0.01335448996533426,0.801658250398489,0.0081442679599655,11.0,0.6324555320336759
w2_self,online_friend_only,online_friend only,only online_friend edges,online_friend,W2,W2,W2,v55,17.0,0.5404439147921942,6713,118,20899,0.7246463142218913,0.008726782024711006,0.7422336668855538,0.009673767437581629,0.7512124524044288,0.006983646481283724,0.7336088154269973,0.015451574283614496,0.7997204995289569,0.006394491857433206,10.2,1.16619037896906
w2_self,online_enemy_only,online_enemy only,only online_enemy edges,online_enemy,W2,W2,W2,v55,17.0,0.5404439147921942,6713,118,9708,0.715115413253909,0.006752514697694489,0.7356350952275121,0.0051954070600236345,0.7385347418882449,0.014193428335945012,0.7333333333333333,0.016634191889201656,0.7894901572078528,0.004437980557478165,7.6,2.0591260281974
w2_self,offline_friend_only,offline_friend only,only offline_friend edges,offline_friend,W2,W2,W2,v55,17.0,0.5404439147921942,6713,118,22072,0.7270290394638868,0.008917828694909823,0.7442120096057261,0.009219255713349086,0.7540055164502184,0.00731106762925219,0.7347107438016528,0.012026931103549899,0.8036455612556983,0.009899294359619464,11.4,1.8547236990991407
w2_self,offline_enemy_only,offline_enemy only,only offline_enemy edges,offline_enemy,W2,W2,W2,v55,17.0,0.5404439147921942,6713,118,10917,0.7155621742367833,0.008632242291103157,0.7356883436851537,0.008874163882128673,0.7392811429372893,0.011622691878763067,0.7325068870523415,0.01756184843031321,0.7892296324077671,0.005016923272006794,8.0,2.280350850198276
w2_self,friend_only,friend only,online_friend + offline_friend,"online_friend,offline_friend",W2,W2,W2,v55,17.0,0.5404439147921942,6713,118,26214,0.7307520476545049,0.0060601608188759,0.7472524030358241,0.006420951794641062,0.7585296963749872,0.005588084868547532,0.7363636363636363,0.009606388856287961,0.8059382687937277,0.009274694868531337,11.8,1.7204650534085253
w2_self,enemy_only,enemy only,online_enemy + offline_enemy,"online_enemy,offline_enemy",W2,W2,W2,v55,17.0,0.5404439147921942,6713,118,12997,0.7188384214445271,0.0030373906261163173,0.7387247801995812,0.004289556494437732,0.7424925856122722,0.010909719048824686,0.7355371900826446,0.018043551398140834,0.7926271704818928,0.002368106661311178,9.0,1.7888543819998317
w2_self,online_only,online only,online_friend + online_enemy,"online_friend,online_enemy",W2,W2,W2,v55,17.0,0.5404439147921942,6713,118,30479,0.7286671630677588,0.009907399778692429,0.7471032963419179,0.008594958038974584,0.753026814267469,0.011066647377123389,0.7413223140495867,0.00800321710541814,0.7975487897986794,0.007594302444702752,10.8,0.4
w2_self,offline_only,offline only,offline_friend + offline_enemy,"offline_friend,offline_enemy",W2,W2,W2,v55,17.0,0.5404439147921942,6713,118,32881,0.721072226358898,0.009749448877636896,0.7404119660194637,0.010520340134156682,0.7449109490208896,0.008083169359069206,0.7360881542699724,0.015549493985311394,0.798699385188261,0.00971622934270708,12.0,2.0976176963403033
w3_self,baseline_untyped,Baseline (untyped),all four relations merged as one edge type,"online_friend,online_enemy,offline_friend,offline_enemy",W3,W3,W3,54,18.0,0.5088633993743483,6713,117,36754,0.7085629188384214,0.009041316000989143,0.7033085940855457,0.010120103658870653,0.7291328862448214,0.009389408211238702,0.6793557833089311,0.013577772321369993,0.7774936776254492,0.006691749620087763,11.2,3.370459909270543
