scenario,seed,best_epoch,n_train,n_val,n_test,test_accuracy,test_f1,test_auc
w2_predict_w3,42,5,4027,1343,1343,0.6582278481012658,0.6433566433566433,0.7109720928168952
w2_predict_w3,52,9,4027,1343,1343,0.6485480268056589,0.6498516320474778,0.707007853054705
w2_predict_w3,62,5,4027,1343,1343,0.6753536857781087,0.683599419448476,0.7336439061182839
w2_predict_w3,72,9,4027,1343,1343,0.6731198808637379,0.6711610486891386,0.7354052974843605
w2_predict_w3,82,5,4027,1343,1343,0.6381236038719286,0.6367713004484304,0.6994542792493013
w2_self,42,12,4027,1343,1343,0.7304542069992555,0.7510316368638239,0.7998401578775824
w2_self,52,11,4027,1343,1343,0.7252419955323902,0.7463917525773196,0.8045572864344044
w2_self,62,10,4027,1343,1343,0.7088607594936709,0.7263820853743876,0.7867067611431837
w2_self,72,11,4027,1343,1343,0.7289650037230082,0.7486187845303868,0.8082832152376871
w2_self,82,11,4027,1343,1343,0.7304542069992555,0.7489597780859917,0.808903831299588
w3_self,42,17,4027,1343,1343,0.6999255398361877,0.6953892668178382,0.7683615067216824
w3_self,52,13,4027,1343,1343,0.7230081906180194,0.7203007518796992,0.7887461732996139
w3_self,62,9,4027,1343,1343,0.7051377513030529,0.7027027027027027,0.7739984027685345
w3_self,72,8,4027,1343,1343,0.6999255398361877,0.6911877394636016,0.7787812236567728
w3_self,82,9,4027,1343,1343,0.7148175725986597,0.7069625095638867,0.7775810816806423
