scenario,mode,mode_label,seed,best_epoch,n_train,n_val,n_test,test_accuracy,test_f1,test_precision,test_recall,test_auc
w2_predict_w3,baseline_untyped,Baseline (untyped),42,5,4027,1343,1343,0.6582278481012658,0.6433566433566433,0.6854304635761589,0.6061493411420205,0.7109720928168952
w2_predict_w3,baseline_untyped,Baseline (untyped),52,9,4027,1343,1343,0.6485480268056589,0.6498516320474778,0.6586466165413534,0.6412884333821376,0.707007853054705
w2_predict_w3,baseline_untyped,Baseline (untyped),62,5,4027,1343,1343,0.6753536857781087,0.683599419448476,0.6776978417266187,0.6896046852122987,0.7336439061182839
w2_predict_w3,baseline_untyped,Baseline (untyped),72,9,4027,1343,1343,0.6731198808637379,0.6711610486891386,0.6871165644171779,0.6559297218155198,0.7354052974843605
w2_predict_w3,baseline_untyped,Baseline (untyped),82,5,4027,1343,1343,0.6381236038719286,0.6367713004484304,0.650381679389313,0.623718887262079,0.6994542792493013
w2_predict_w3,enemy_only,enemy only,42,6,4027,1343,1343,0.6470588235294118,0.6419939577039275,0.6630265210608425,0.6222547584187409,0.6863170504458938
w2_predict_w3,enemy_only,enemy only,52,4,4027,1343,1343,0.6448250186150409,0.6515704894083273,0.6501457725947521,0.6530014641288433,0.70181241403789
w2_predict_w3,enemy_only,enemy only,62,5,4027,1343,1343,0.6679076693968726,0.6763425253991292,0.6705035971223021,0.6822840409956076,0.7288477749678335
w2_predict_w3,enemy_only,enemy only,72,7,4027,1343,1343,0.6507818317200298,0.651818856718634,0.661144578313253,0.6427525622254758,0.7088047384533476
w2_predict_w3,enemy_only,enemy only,82,4,4027,1343,1343,0.6500372300819062,0.6471471471471472,0.6640986132511556,0.6310395314787701,0.6918740849194729
w2_predict_w3,friend_only,friend only,42,5,4027,1343,1343,0.6545048399106478,0.6436251920122887,0.6768982229402262,0.6134699853587116,0.708647233683837
w2_predict_w3,friend_only,friend only,52,4,4027,1343,1343,0.6388682055100521,0.6488052136133237,0.6418338108882522,0.6559297218155198,0.7033475309463597
w2_predict_w3,friend_only,friend only,62,5,4027,1343,1343,0.6731198808637379,0.6721433905899925,0.6859756097560976,0.6588579795021962,0.7295177248325125
w2_predict_w3,friend_only,friend only,72,5,4027,1343,1343,0.663440059568131,0.6691068814055637,0.6691068814055637,0.6691068814055637,0.7325923954035227
w2_predict_w3,friend_only,friend only,82,5,4027,1343,1343,0.6321667907669397,0.6280120481927711,0.6465116279069767,0.6105417276720352,0.6960246683526332
w2_predict_w3,offline_enemy_only,offline_enemy only,42,5,4027,1343,1343,0.6425912137006702,0.6423248882265276,0.65402124430956,0.6310395314787701,0.6982519188961357
w2_predict_w3,offline_enemy_only,offline_enemy only,52,4,4027,1343,1343,0.6418466120625466,0.6506899055918663,0.6455331412103746,0.6559297218155198,0.7032166467012734
w2_predict_w3,offline_enemy_only,offline_enemy only,62,5,4027,1343,1343,0.6738644825018615,0.6807580174927114,0.6777939042089985,0.6837481698389458,0.7277762988597543
w2_predict_w3,offline_enemy_only,offline_enemy only,72,7,4027,1343,1343,0.6582278481012658,0.6551465063861758,0.6728395061728395,0.6383601756954612,0.7132747681795998
w2_predict_w3,offline_enemy_only,offline_enemy only,82,4,4027,1343,1343,0.6492926284437825,0.6455981941309256,0.6640866873065016,0.6281112737920937,0.6919095789520386
