scenario,setting,delta_test_accuracy_vs_drop,delta_test_f1_vs_drop,delta_test_auc_vs_drop
w2_self,baseline_drop,0.0,0.0,0.0
w2_self,drop_plus_A1,-0.006701414743112477,-0.005743933594898887,0.0014510807202717801
w2_self,drop_plus_A2,-0.006701414743112477,-0.005078195390708529,0.00014957293578188313
w2_self,drop_plus_B1,-0.005956813104988856,-0.0052179441492418155,0.0010871943242651838
w2_self,drop_plus_B2,-0.008190618019359608,-0.006793729957392802,0.0001808269820645636
w2_self,drop_plus_C1,-0.0022338049143708627,-0.0012612264995781608,0.0001495729357816611
w2_self,drop_plus_C2,-0.004467609828741614,-0.0038319427632403924,-0.000209848596470108
w2_self,drop_plus_D1,-0.006701414743112477,-0.0047467036780013405,0.00015403779953648833
w2_self,drop_plus_D2,-0.0037230081906179935,-0.0016613042289654878,0.0004174647610627469
w2_self,drop_plus_D3,-0.0014892032762472418,-0.0017168218155968473,-0.000104924298235054
w2_self,drop_plus_D4,-0.0022338049143708627,-0.002246703678001394,-4.6881069424076216e-05
w2_self,drop_plus_D5,0.0,0.0,0.00012278375325369684
w3_self,baseline_drop,0.0,0.0,0.0
w3_self,drop_plus_A1,-0.0007446016381236209,-0.0005262474303450171,-0.00013532099915702922
w3_self,drop_plus_A2,-0.0029784065524944836,-0.0034428893337762334,-0.0007697768312701081
w3_self,drop_plus_B1,-0.0007446016381236209,-0.0009710915248155594,-0.0002795155064555521
w3_self,drop_plus_B2,-0.0014892032762472418,-0.0014970059880240472,-0.0005279737344158209
w3_self,drop_plus_C1,0.0029784065524943726,0.0038698721959066207,0.00020187231021784324
w3_self,drop_plus_C2,-0.0014892032762472418,-0.0014970059880240472,-0.0003349749323394713
w3_self,drop_plus_D1,-0.0014892032762472418,-0.0010517082427075053,-0.00012866586805093672
w3_self,drop_plus_D2,-0.005212211466865235,-0.005918395766606355,-0.0007986157327298793
w3_self,drop_plus_D3,-0.0014892032762472418,-0.001943638958963656,-0.00047916943963788317
w3_self,drop_plus_D4,0.0007446016381236209,0.0018508843610317571,2.2183770352901533e-06
w3_self,drop_plus_D5,0.0014892032762471308,0.0019378283791161577,0.0010592750343848545
w2_predict_w3,baseline_drop,0.0,0.0,0.0
w2_predict_w3,drop_plus_A1,0.0014892032762472418,0.0019591624690510345,0.0005745596521584684
w2_predict_w3,drop_plus_A2,0.0,0.0,-2.6620524424370018e-05
w2_predict_w3,drop_plus_B1,0.0014892032762472418,0.0019591624690510345,0.00023736634278359592
w2_predict_w3,drop_plus_B2,0.0014892032762472418,0.0014847809948032031,0.00022849283464210224
w2_predict_w3,drop_plus_C1,0.0022338049143708627,0.002463987452058558,0.00036603221083453263
w2_predict_w3,drop_plus_C2,-0.006701414743112366,-0.007413962244140482,-0.0006255823239716962
w2_predict_w3,drop_plus_D1,0.0,0.0,3.5494032565752676e-05
w2_predict_w3,drop_plus_D2,-0.0014892032762471308,-0.0014847809948033142,0.0004658591774258092
w2_predict_w3,drop_plus_D3,0.0,0.0,1.7747016282876338e-05
w2_predict_w3,drop_plus_D4,0.0014892032762472418,0.0010089887206320425,4.21491636719562e-05
w2_predict_w3,drop_plus_D5,0.0029784065524944836,0.0034417421577093155,0.00012866586805104774
