scenario,setting,delta_test_accuracy_vs_drop,delta_test_f1_vs_drop,delta_test_auc_vs_drop
w2_predict_w3,drop_plus_A,0.0007446016381236,0.000980307926836,0.0003993078663648
w2_predict_w3,drop_plus_B,0.0007446016381236,0.000980307926836,0.0002395847198189
w2_predict_w3,baseline_drop,0.0,0.0,0.0
w2_predict_w3,drop_plus_D,-0.0022338049143707,-0.0005537772543394,0.0003527219486224
w2_predict_w3,drop_plus_ABCD,-0.0029784065524943,-0.0034519778221188,-4.436754070724636e-05
w2_predict_w3,drop_plus_C,-0.0052122114668652,-0.0059258670060451,-0.0002573317361018
w2_self,baseline_drop,0.0,0.0,0.0
w2_self,drop_plus_C,-0.0037230081906179,-0.0026443523640318,7.59026838295096e-05
w2_self,drop_plus_D,-0.0044676098287416,-0.002513760879931,0.0006942863138531
w2_self,drop_plus_A,-0.0059568131049888,-0.0042222040230669,0.0014175942421116
w2_self,drop_plus_B,-0.0067014147431124,-0.0054106040929391,0.0011653294399721
w2_self,drop_plus_ABCD,-0.0081906180193596,-0.0054619719035859,0.0009934321854169
w3_self,drop_plus_A,0.0007446016381236,8.310460848737211e-05,-0.0013731753848883
w3_self,drop_plus_C,0.0007446016381236,0.0014109197586902,-0.0003394116864101
w3_self,baseline_drop,0.0,0.0,0.0
w3_self,drop_plus_B,0.0,-0.000444388584151,-0.0012689116642263
w3_self,drop_plus_ABCD,-0.0029784065524944,-0.0016554075158179,-0.0006344558321131
w3_self,drop_plus_D,-0.0037230081906179,-0.0035180200556255,-0.0003283198012332
