scenario,setting,feature_year,target_year,target_group_id,target_median_cutoff,target_positive_rate,n_base_features_drop,n_group_features_added,group_features_added,n_rows_modeling,n_train,n_test,n_features_requested,n_features_used,dropped_all_missing_feature_cols,c_selected,train_accuracy,train_f1,train_auc,test_accuracy,test_f1,test_auc,cv5_accuracy_mean,cv5_accuracy_std,cv5_f1_mean,cv5_f1_std,cv5_auc_mean,cv5_auc_std
w2_predict_w3,drop_plus_A,W2,W3,54,18.0,0.5088633993743483,118,8,ip_out_online_friend;ip_in_online_friend;ip_out_online_enemy;ip_in_online_enemy;ip_out_offline_friend;ip_in_offline_friend;ip_out_offline_enemy;ip_in_offline_enemy,6713,5370,1343,126,126,[],0.0015848931924611,0.6808193668528864,0.6823573017049667,0.7434029039585699,0.6783320923306031,0.6795252225519288,0.7237654731798215,0.667363033802251,0.0075787174263061,0.6697496181373677,0.0094736454762017,0.7255064540125469,0.0066912436581948
w2_predict_w3,drop_plus_B,W2,W3,54,18.0,0.5088633993743483,118,4,ip_out_friend_total;ip_out_enemy_total;ip_in_friend_total;ip_in_enemy_total,6713,5370,1343,122,122,[],0.0015848931924611,0.6795158286778399,0.6805271950993131,0.7433027224802381,0.6783320923306031,0.6795252225519288,0.7236057500332757,0.6675120650988233,0.0069348662267122,0.6697382606517166,0.0093510291853699,0.7256565119260483,0.0065990266307714
w2_predict_w3,baseline_drop,W2,W3,54,18.0,0.5088633993743483,118,0,,6713,5370,1343,118,118,[],0.0015848931924611,0.6804469273743017,0.681868743047831,0.7432734450675954,0.6775874906924795,0.6785449146250928,0.7233661653134567,0.6672150012262069,0.0081579885600387,0.6699941293514483,0.0113504698324986,0.7260082931358726,0.0068322901249777
w2_predict_w3,drop_plus_D,W2,W3,54,18.0,0.5088633993743483,118,5,ip_reciprocal_friend_count;ip_reciprocal_enemy_count;ip_liked_by_me_but_enemy_to_me_count;ip_enemy_by_me_but_likes_me_count;ip_same_target_friend_and_enemy_count,6713,5370,1343,123,123,[],0.0015848931924611,0.6821229050279329,0.683595922150139,0.7448534540617275,0.6753536857781087,0.6779911373707533,0.7237188872620791,0.6694489171095253,0.0071224540181019,0.6719809228465449,0.0101139338088109,0.7265318488728811,0.0068812801009967
w2_predict_w3,drop_plus_ABCD,W2,W3,54,18.0,0.5088633993743483,118,21,ip_out_online_friend;ip_in_online_friend;ip_out_online_enemy;ip_in_online_enemy;ip_out_offline_friend;ip_in_offline_friend;ip_out_offline_enemy;ip_in_offline_enemy;ip_out_friend_total;ip_out_enemy_total;ip_in_friend_total;ip_in_enemy_total;ip_out_friend_online_minus_offline;ip_out_enemy_online_minus_offline;ip_in_friend_online_minus_offline;ip_in_enemy_online_minus_offline;ip_reciprocal_friend_count;ip_reciprocal_enemy_count;ip_liked_by_me_but_enemy_to_me_count;ip_enemy_by_me_but_likes_me_count;ip_same_target_friend_and_enemy_count,6713,5370,1343,139,139,[],0.0015848931924611,0.684171322160149,0.6858095590959614,0.7451732855126343,0.6746090841399851,0.675092936802974,0.7233217977727494,0.6654267366362869,0.0049180944755582,0.6675998855821865,0.0070529036832003,0.7255932871942802,0.0070149935280075
w2_predict_w3,drop_plus_C,W2,W3,54,18.0,0.5088633993743483,118,4,ip_out_friend_online_minus_offline;ip_out_enemy_online_minus_offline;ip_in_friend_online_minus_offline;ip_in_enemy_online_minus_offline,6713,5370,1343,122,122,[],0.0015848931924611,0.6791433891992551,0.6800371402042711,0.743548319733212,0.6723752792256142,0.6726190476190477,0.7231088335773548,0.6670654150848968,0.0061316126292602,0.669734982798418,0.008902587136956,0.7256314346805157,0.0070673031636849
w2_self,baseline_drop,W2,W2,v55,17.0,0.5404439147921942,118,0,,6713,5370,1343,118,118,[],0.0039810717055349,0.7486033519553073,0.7682005494505495,0.8263043315569546,0.7475800446760983,0.7647467036780013,0.8127815654705297,0.7390131309555648,0.0092077217512219,0.7598774757250663,0.0109788608508058,0.8149116509695915,0.0092460677303512
w2_self,drop_plus_C,W2,W2,v55,17.0,0.5404439147921942,118,4,ip_out_friend_online_minus_offline;ip_out_enemy_online_minus_offline;ip_in_friend_online_minus_offline;ip_in_enemy_online_minus_offline,6713,5370,1343,122,122,[],0.0039810717055349,0.7499068901303538,0.7696793002915452,0.8266592536081415,0.7438570364854803,0.7621023513139695,0.8128574681543592,0.7397577325936883,0.0106018292145447,0.760527681009101,0.0120007442871118,0.8148700175007264,0.0089005741711465
w2_self,drop_plus_D,W2,W2,v55,17.0,0.5404439147921942,118,5,ip_reciprocal_friend_count;ip_reciprocal_enemy_count;ip_liked_by_me_but_enemy_to_me_count;ip_enemy_by_me_but_likes_me_count;ip_same_target_friend_and_enemy_count,6713,5370,1343,123,123,[],0.0039810717055349,0.7497206703910615,0.7693891557995882,0.8271524025793423,0.7431124348473567,0.7622329427980703,0.8134758517843829,0.7385657041590051,0.0070162463954083,0.7594343684115771,0.0094063645414374,0.8151302543940803,0.0096059758478197
w2_self,drop_plus_A,W2,W2,v55,17.0,0.5404439147921942,118,8,ip_out_online_friend;ip_in_online_friend;ip_out_online_enemy;ip_in_online_enemy;ip_out_offline_friend;ip_in_offline_friend;ip_out_offline_enemy;ip_in_offline_enemy,6713,5370,1343,126,126,[],0.0039810717055349,0.7512104283054004,0.7709976002742543,0.8272606105217774,0.7416232315711094,0.7605244996549344,0.8141991597126413,0.7405010026044412,0.0098400101734582,0.7612996728622752,0.0116653418958247,0.8153284376872069,0.009115925794976
w2_self,drop_plus_B,W2,W2,v55,17.0,0.5404439147921942,118,4,ip_out_friend_total;ip_out_enemy_total;ip_in_friend_total;ip_in_enemy_total,6713,5370,1343,122,122,[],0.0039810717055349,0.7497206703910615,0.7696263284196092,0.8271137269663686,0.7408786299329858,0.7593360995850622,0.8139468949105019,0.7400545745284097,0.0087959907268318,0.7608611578649499,0.0108247262845208,0.8153932280949551,0.0092514776009379
w2_self,drop_plus_ABCD,W2,W2,v55,17.0,0.5404439147921942,118,21,ip_out_online_friend;ip_in_online_friend;ip_out_online_enemy;ip_in_online_enemy;ip_out_offline_friend;ip_in_offline_friend;ip_out_offline_enemy;ip_in_offline_enemy;ip_out_friend_total;ip_out_enemy_total;ip_in_friend_total;ip_in_enemy_total;ip_out_friend_online_minus_offline;ip_out_enemy_online_minus_offline;ip_in_friend_online_minus_offline;ip_in_enemy_online_minus_offline;ip_reciprocal_friend_count;ip_reciprocal_enemy_count;ip_liked_by_me_but_enemy_to_me_count;ip_enemy_by_me_but_likes_me_count;ip_same_target_friend_and_enemy_count,6713,5370,1343,139,139,[],0.0039810717055349,0.7519553072625699,0.7719178082191781,0.8275958457085986,0.7393894266567387,0.7592847317744154,0.8137749976559466,0.7413946355391371,0.0100977384641769,0.7619769692581737,0.0120753243990905,0.8149305863028141,0.0093386568600006
w3_self,drop_plus_A,W3,W3,54,18.0,0.5088633993743483,118,8,ip_out_online_friend;ip_in_online_friend;ip_out_online_enemy;ip_in_online_enemy;ip_out_offline_friend;ip_in_offline_friend;ip_out_offline_enemy;ip_in_offline_enemy,6713,5370,1343,126,125,['3'],0.0063095734448019,0.7357541899441341,0.7366858415290406,0.8132113561394665,0.7058823529411765,0.7036759189797449,0.7897311327033143,0.7183102092541445,0.0121023753457745,0.718803635613744,0.0118556221866858,0.7968179992773416,0.017161745203702
w3_self,drop_plus_C,W3,W3,54,18.0,0.5088633993743483,118,4,ip_out_friend_online_minus_offline;ip_out_enemy_online_minus_offline;ip_in_friend_online_minus_offline;ip_in_enemy_online_minus_offline,6713,5370,1343,122,121,['3'],0.0063095734448019,0.735195530726257,0.736178107606679,0.813052203569319,0.7058823529411765,0.7050037341299478,0.7907648964017925,0.7186087157230792,0.0122902773355904,0.7185690478068054,0.0127631147281055,0.7968777387423029,0.0167638712165625
w3_self,baseline_drop,W3,W3,54,18.0,0.5088633993743483,118,0,,6713,5370,1343,118,117,['3'],0.0063095734448019,0.7344506517690875,0.7355341246290801,0.8127379917165736,0.7051377513030529,0.7035928143712575,0.7911043080882026,0.715926929167411,0.0142245358659811,0.7155487800231881,0.014729210673967,0.7970848836828849,0.0165790543783341
w3_self,drop_plus_B,W3,W3,54,18.0,0.5088633993743483,118,4,ip_out_friend_total;ip_out_enemy_total;ip_in_friend_total;ip_in_enemy_total,6713,5370,1343,122,121,['3'],0.0063095734448019,0.7342644320297952,0.7352013360549267,0.8129681177301652,0.7051377513030529,0.7031484257871065,0.7898353964239763,0.7171184027573564,0.0132426778503063,0.7171884052891585,0.0132512965855725,0.7968278423207202,0.0170401016225564
w3_self,drop_plus_ABCD,W3,W3,54,18.0,0.5088633993743483,118,21,ip_out_online_friend;ip_in_online_friend;ip_out_online_enemy;ip_in_online_enemy;ip_out_offline_friend;ip_in_offline_friend;ip_out_offline_enemy;ip_in_offline_enemy;ip_out_friend_total;ip_out_enemy_total;ip_in_friend_total;ip_in_enemy_total;ip_out_friend_online_minus_offline;ip_out_enemy_online_minus_offline;ip_in_friend_online_minus_offline;ip_in_enemy_online_minus_offline;ip_reciprocal_friend_count;ip_reciprocal_enemy_count;ip_liked_by_me_but_enemy_to_me_count;ip_enemy_by_me_but_likes_me_count;ip_same_target_friend_and_enemy_count,6713,5370,1343,139,138,['3'],0.0063095734448019,0.7364990689013036,0.7376228444279622,0.8140168318759148,0.7021593447505584,0.7019374068554396,0.7904698522560895,0.719353761236993,0.0126670971377164,0.7199055100739615,0.0121755130324106,0.7967203931209549,0.0172263670434913
