wave,risk_col,protector_col,n_model,interaction_beta,interaction_p,r2,model_error
w2,high_activity,family_mean,6652,-0.08376290253142686,0.00232658937650177,0.08753809148591762,
w2,high_activity,self_worth_mean,6652,-0.09612569422113953,2.1110354034789094e-06,0.25929001997285417,
w2,high_nomination_out_main,family_mean,6713,-0.0724136291262484,0.008054696680810212,0.0854056098285767,
w2,high_nomination_out_main,self_worth_mean,6713,-0.054322416452982,0.007044225142077703,0.2555928459767256,
w2,high_nomination_in_main,family_mean,6713,0.023696948826792255,0.386691953512983,0.08148718884232176,
w2,high_nomination_in_main,self_worth_mean,6713,0.037506937233807734,0.06368307706538469,0.2523203344804895,
w2,high_nomination_total_main,family_mean,6713,-0.014938281197812455,0.5857788232187587,0.08067123879215965,
w2,high_nomination_total_main,self_worth_mean,6713,0.014624915327695867,0.47007716353633855,0.25194150490233724,
w3,high_activity,family_mean,6713,-0.07192285521243112,0.002600862646566262,0.02845905293882922,
w3,high_activity,self_worth_mean,6713,-0.08802316661950157,0.0002793386424360064,0.1677575223946668,
w3,high_nomination_out_main,family_mean,6713,0.011031028307953116,0.6434957824763706,0.02630357687978524,
w3,high_nomination_out_main,self_worth_mean,6713,0.0159747314580583,0.5079287803441854,0.1670739169997223,
w3,high_nomination_in_main,family_mean,6713,0.043710594398093224,0.06721063990470831,0.023246603616549733,
w3,high_nomination_in_main,self_worth_mean,6713,0.06036111172511142,0.012622185939441288,0.1639067423531071,
w3,high_nomination_total_main,family_mean,6713,0.030930958102665957,0.19531506731260004,0.02315621713873095,
w3,high_nomination_total_main,self_worth_mean,6713,0.04160100101155021,0.08563915067728847,0.16372803194236218,
