analysis_id,stage,wave,group_def,n_low,n_high,mean_low,mean_high,sd_low,sd_high,mean_diff_high_minus_low,t_stat_welch,p_value_welch,cohen_d,risk_col,protector_col,protector_threshold
w2_high_activity_family,stage3_within,w2,"within high_activity=1, family_mean > subgroup_median",1638,1440,1.7572387929530786,1.4709325396825395,0.8833597804859517,0.6858830602269537,-0.28630625327053916,10.10302530602902,1.2621135194444799e-23,0.3591890181536403,high_activity,family_mean,3.0
w2_high_activity_self_worth,stage3_within,w2,"within high_activity=1, self_worth_mean > subgroup_median",1975,1103,1.812766726943942,1.2840305659888616,0.8781098007931816,0.5193191084590477,-0.5287361609550805,20.983466380287865,1.8527427259472943e-91,0.6875103352074448,high_activity,self_worth_mean,3.0
w2_high_nomination_out_main_family,stage3_within,w2,"within high_nomination_out_main=1, family_mean > subgroup_median",1708,1364,1.7206005352960856,1.4218160871386678,0.8583026481130511,0.6485435995868949,-0.2987844481574178,10.985927349681145,1.4514348623786788e-27,0.3869062325813908,high_nomination_out_main,family_mean,3.1666666666666665
w2_high_nomination_out_main_self_worth,stage3_within,w2,"within high_nomination_out_main=1, self_worth_mean > subgroup_median",1879,1193,1.7822930130008363,1.281822536223207,0.8693094268474905,0.49877202699173456,-0.5004704767776293,20.25168974104879,1.1923942194927741e-85,0.6694556992251919,high_nomination_out_main,self_worth_mean,3.0
w2_high_nomination_in_main_family,stage3_within,w2,"within high_nomination_in_main=1, family_mean > subgroup_median",2007,1555,1.6326784824542673,1.366329811667432,0.806719087423091,0.6164050666622791,-0.2663486707868352,11.16977415394669,1.6975408353159596e-28,0.3649744724306896,high_nomination_in_main,family_mean,3.1666666666666665
w2_high_nomination_in_main_self_worth,stage3_within,w2,"within high_nomination_in_main=1, self_worth_mean > subgroup_median",2152,1410,1.6857408390865638,1.257953394123607,0.8183483482979309,0.5066618466774985,-0.42778744496295684,19.261552627008978,1.0297011870200121e-78,0.601243267461931,high_nomination_in_main,self_worth_mean,3.0
w2_high_nomination_total_main_family,stage3_within,w2,"within high_nomination_total_main=1, family_mean > subgroup_median",2025,1564,1.6554850088183424,1.3750913408841796,0.8245416257011043,0.6238579272291718,-0.28039366793416276,11.59695559019993,1.4886026025138782e-30,0.3769834807952824,high_nomination_total_main,family_mean,3.1666666666666665
w2_high_nomination_total_main_self_worth,stage3_within,w2,"within high_nomination_total_main=1, self_worth_mean > subgroup_median",2176,1413,1.70578387605042,1.267667576584774,0.8374141307063845,0.5077761596145103,-0.438116299465646,19.50082521958545,1.454088398949589e-80,0.603675237235691,high_nomination_total_main,self_worth_mean,3.0
w3_high_activity_family,stage3_within,w3,"within high_activity=1, family_mean > subgroup_median",1823,1496,1.7948436642896324,1.5296504965622615,0.9320888795260561,0.814044730484826,-0.2651931677273709,8.745385176646865,3.476072338837491e-18,0.30106651809950713,high_activity,family_mean,2.3333333333333335
w3_high_activity_self_worth,stage3_within,w3,"within high_activity=1, self_worth_mean > subgroup_median",2037,1282,1.8685742338172384,1.3682304435034542,0.9425317565029331,0.698903485411977,-0.5003437903137842,17.503381125653465,1.3156045943810515e-65,0.5840390019549082,high_activity,self_worth_mean,3.0
w3_high_nomination_out_main_family,stage3_within,w3,"within high_nomination_out_main=1, family_mean > subgroup_median",1692,1626,1.7694613306315434,1.5405025478826215,0.9154498134726177,0.8460104788569309,-0.2289587827489219,7.485827232295602,9.063576094068425e-14,0.25955971360721836,high_nomination_out_main,family_mean,2.3333333333333335
w3_high_nomination_out_main_self_worth,stage3_within,w3,"within high_nomination_out_main=1, self_worth_mean > subgroup_median",1926,1392,1.8368936359590566,1.408713054187192,0.9237640864093525,0.7737860644166938,-0.4281805817718647,14.490088876020394,3.749771335673632e-46,0.4955640570892762,high_nomination_out_main,self_worth_mean,3.0
w3_high_nomination_in_main_family,stage3_within,w3,"within high_nomination_in_main=1, family_mean > subgroup_median",1773,1673,1.7152525985013294,1.5100759969259672,0.872609296668982,0.8393224510694278,-0.20517660157536222,7.035242925381731,2.389254760122441e-12,0.23952140952576456,high_nomination_in_main,family_mean,2.3333333333333335
w3_high_nomination_in_main_self_worth,stage3_within,w3,"within high_nomination_in_main=1, self_worth_mean > subgroup_median",2023,1423,1.7736035590706871,1.3910751932536893,0.8834952801099891,0.7789608393724534,-0.3825283658169978,13.422017121645496,5.03950496968486e-40,0.4543585983132163,high_nomination_in_main,self_worth_mean,3.0
w3_high_nomination_total_main_family,stage3_within,w3,"within high_nomination_total_main=1, family_mean > subgroup_median",1779,1680,1.7282181000562113,1.5074404761904763,0.8923891051428393,0.8338732307819989,-0.22077762386573507,7.521725677896756,6.851953347199183e-14,0.2553925318022239,high_nomination_total_main,family_mean,2.3333333333333335
w3_high_nomination_total_main_self_worth,stage3_within,w3,"within high_nomination_total_main=1, self_worth_mean > subgroup_median",2040,1419,1.7851540616246497,1.3849793617235477,0.8948672454889516,0.7781852412697511,-0.400174699901102,13.980652156184966,3.4376386780870736e-43,0.4713768667210113,high_nomination_total_main,self_worth_mean,3.0
