wave,????,???????,Formal Group English Name,?????,?????????,Suggested Subscale English Name,description_zh
W2,"v25_1, v25_2, v25_3",???????????????,Social Media Self-Presentation and Online Image Management,v25_A,????????,Online Ideal Self-Presentation,
W2,"v25_4, v25_5, v25_6",???????????????,Social Media Self-Presentation and Online Image Management,v25_B,?????????,Real-life Self-Satisfaction,
W2,"v25_7, v25_8, v25_9, v25_10, v25_11, v25_12, v25_13, v25_14, v25_15",???????????????,Social Media Self-Presentation and Online Image Management,v25_C,???????????,Online-Offline Discrepancy & Immersion,
W2,"v23_1, v23_2, v23_3",???????????????????,Social Media Use: Selective Sharing and Impression Management,v23_A,???????,Selective Positive Sharing,
W2,"v23_4, v23_5, v23_6",???????????????????,Social Media Use: Selective Sharing and Impression Management,v23_B,??????,Digital Image Enhancement,
W2,"v23_7, v23_8, v23_9",???????????????????,Social Media Use: Selective Sharing and Impression Management,v23_C,??????,Social Feedback Dependency,
W2,"v26_1, v26_2, v26_3",???????????,Online Social Comparison and Perspective Seeking,v26_A,????????,Online Upward Social Comparison,
W2,"v26_4, v26_5, v26_6",???????????,Online Social Comparison and Perspective Seeking,v26_B,?????????,Online Perspective Seeking,
W2,"v27_1, v27_2, v27_3",???????? (FOMO),"Online Peer Interaction Anxiety (Fear of Missing Out, FOMO)",v27_A,?????????,Fear of Missing Out & Social Anxiety,
W2,v27_4,???????? (FOMO),"Online Peer Interaction Anxiety (Fear of Missing Out, FOMO)",v27_B,??????,Instant Response Pressure,
W2,"v54_1, v54_2, v54_3, v54_18",??????????SEL?????????????????,Social and Emotional Learning (SEL) Competencies,v54_A,????,Self-Awareness,??????????????????????????
W2,"v54_4, v54_5, v54_6",??????????SEL?????????????????,Social and Emotional Learning (SEL) Competencies,v54_B,????,Self-Management,????????????????????????????
W2,"v54_7, v54_8, v54_9",??????????SEL?????????????????,Social and Emotional Learning (SEL) Competencies,v54_C,???????,Motivation & Goal Setting,??????????????????????
W2,"v54_10, v54_11, v54_13, v54_14, v54_15",??????????SEL?????????????????,Social and Emotional Learning (SEL) Competencies,v54_D,?????????,Social Awareness & Relationship Skills,?????????????????
W2,"v54_12, v54_16",??????????SEL?????????????????,Social and Emotional Learning (SEL) Competencies,v54_E,?????????,Help-Seeking,?????????????
W2,"v54_17, v54_19, v54_20",??????????SEL?????????????????,Social and Emotional Learning (SEL) Competencies,v54_F,???????????,Responsible Decision-Making,???????????????????????????
W3,"26-1, 26-2, 26-3",???????????????,Social Media Self-Presentation and Online Image Management,26_A,????????,Online Ideal Self-Presentation,
W3,"26-4, 26-5, 26-6",???????????????,Social Media Self-Presentation and Online Image Management,26_B,?????????,Real-life Self-Satisfaction,
W3,"26-7, 26-8, 26-9, 26-10, 26-11, 26-12, 26-13, 26-14, 26-15",???????????????,Social Media Self-Presentation and Online Image Management,26_C,???????????,Online-Offline Discrepancy & Immersion,
W3,"25-1, 25-2, 25-3",???????????????????,Social Media Use: Selective Sharing and Impression Management,25_A,???????,Selective Positive Sharing,
W3,"25-4, 25-5, 25-6",???????????????????,Social Media Use: Selective Sharing and Impression Management,25_B,??????,Digital Image Enhancement,
W3,"25-7, 25-8, 25-9",???????????????????,Social Media Use: Selective Sharing and Impression Management,25_C,??????,Social Feedback Dependency,
W3,"27-1, 27-2, 27-3",???????????,Online Social Comparison and Perspective Seeking,27_A,????????,Online Upward Social Comparison,
W3,"27-4, 27-5, 27-6",???????????,Online Social Comparison and Perspective Seeking,27_B,?????????,Online Perspective Seeking,
W3,"28-1, 28-2, 28-3",???????? (FOMO),"Online Peer Interaction Anxiety (Fear of Missing Out, FOMO)",28_A,?????????,Fear of Missing Out & Social Anxiety,
W3,28-4,???????? (FOMO),"Online Peer Interaction Anxiety (Fear of Missing Out, FOMO)",28_B,??????,Instant Response Pressure,
W3,"53-1, 53-2, 53-3, 53-18",??????????SEL?????????????????,Social and Emotional Learning (SEL) Competencies,53_A,????,Self-Awareness,??????????????????????????
W3,"53-4, 53-5, 53-6",??????????SEL?????????????????,Social and Emotional Learning (SEL) Competencies,53_B,????,Self-Management,????????????????????????????
W3,"53-7, 53-8, 53-9",??????????SEL?????????????????,Social and Emotional Learning (SEL) Competencies,53_C,???????,Motivation & Goal Setting,??????????????????????
W3,"53-10, 53-11, 53-13, 53-14, 53-15",??????????SEL?????????????????,Social and Emotional Learning (SEL) Competencies,53_D,?????????,Social Awareness & Relationship Skills,?????????????????
W3,"53-12, 53-16",??????????SEL?????????????????,Social and Emotional Learning (SEL) Competencies,53_E,?????????,Help-Seeking,?????????????
W3,"53-17, 53-19, 53-20",??????????SEL?????????????????,Social and Emotional Learning (SEL) Competencies,53_F,???????????,Responsible Decision-Making,???????????????????????????
W2,v52,??????,Self-Rated Health Status,v52_health,??????,Self-Rated Health Status,W2 self-rated health is stored as the scalar column v52. v521 was an obsolete mapping label and is not a dataset column. W2 self-worth is a separate item set v52_1 to v52_3 and is retained as its own feature group.
