scenario,mode,mode_label,seed,best_epoch,n_train,n_val,n_test,test_accuracy,test_f1,test_precision,test_recall,test_auc
w2_predict_w3,baseline_untyped,Baseline (untyped),42,8,3961,1321,1321,0.6305828917486752,0.6494252873563219,0.648493543758967,0.6503597122302158,0.6926218769393431
w2_predict_w3,baseline_untyped,Baseline (untyped),52,4,3961,1321,1321,0.6230128690386071,0.6478076379066479,0.6369958275382476,0.6589928057553956,0.6770059990346382
w2_predict_w3,baseline_untyped,Baseline (untyped),62,4,3961,1321,1321,0.6510219530658592,0.6800832755031229,0.6568364611260054,0.7050359712230215,0.7100259728319581
w2_predict_w3,baseline_untyped,Baseline (untyped),72,8,3961,1321,1321,0.6381529144587433,0.6500732064421669,0.6616989567809239,0.6388489208633094,0.6875491300250535
w2_predict_w3,baseline_untyped,Baseline (untyped),82,4,3961,1321,1321,0.6207418622255867,0.6429080541696365,0.6370056497175142,0.6489208633093525,0.6741650768841796
w2_predict_w3,enemy_only,enemy only,42,4,3961,1321,1321,0.6373959121877366,0.650619985412108,0.6597633136094675,0.641726618705036,0.6923506562162411
w2_predict_w3,enemy_only,enemy only,52,4,3961,1321,1321,0.6146858440575321,0.6192969334330591,0.6448598130841121,0.5956834532374101,0.6673339922311352
w2_predict_w3,enemy_only,enemy only,62,6,3961,1321,1321,0.6442089326267979,0.6708683473389355,0.6534788540245566,0.6892086330935252,0.6965178017330544
w2_predict_w3,enemy_only,enemy only,72,8,3961,1321,1321,0.6260408781226343,0.6435786435786436,0.6454413892908828,0.641726618705036,0.6774496058105592
w2_predict_w3,enemy_only,enemy only,82,4,3961,1321,1321,0.6139288417865254,0.62882096069869,0.6362297496318114,0.6215827338129496,0.6562461213138115
w2_predict_w3,friend_only,friend only,42,8,3961,1321,1321,0.6267978803936411,0.6501064584811923,0.6414565826330533,0.6589928057553956,0.6840669317581078
w2_predict_w3,friend_only,friend only,52,4,3961,1321,1321,0.6381529144587433,0.6526162790697675,0.6593245227606461,0.6460431654676259,0.6798262348587585
w2_predict_w3,friend_only,friend only,62,4,3961,1321,1321,0.6419379258137774,0.6614173228346457,0.6581196581196581,0.6647482014388489,0.7085756315075735
w2_predict_w3,friend_only,friend only,72,8,3961,1321,1321,0.6404239212717638,0.6585190510424155,0.6580459770114943,0.6589928057553956,0.6893212586480337
w2_predict_w3,friend_only,friend only,82,8,3961,1321,1321,0.6290688872066617,0.6359583952451708,0.6574500768049155,0.6158273381294964,0.6720596685590824
w2_predict_w3,offline_enemy_only,offline_enemy only,42,4,3961,1321,1321,0.6442089326267979,0.656934306569343,0.6666666666666666,0.6474820143884892,0.6972510170777115
w2_predict_w3,offline_enemy_only,offline_enemy only,52,4,3961,1321,1321,0.6230128690386071,0.6311111111111111,0.650381679389313,0.6129496402877698,0.6694646838439791
w2_predict_w3,offline_enemy_only,offline_enemy only,62,6,3961,1321,1321,0.6442089326267979,0.6699438202247191,0.654320987654321,0.6863309352517986,0.6981589169558922
w2_predict_w3,offline_enemy_only,offline_enemy only,72,6,3961,1321,1321,0.6245268735806208,0.6507042253521127,0.6372413793103449,0.6647482014388489,0.6778909141057761
w2_predict_w3,offline_enemy_only,offline_enemy only,82,4,3961,1321,1321,0.6116578349735049,0.6296028880866426,0.6318840579710145,0.6273381294964029,0.6552968487829545
w2_predict_w3,offline_friend_only,offline_friend only,42,6,3961,1321,1321,0.6260408781226343,0.6476462196861626,0.6421499292786421,0.6532374100719425,0.6824166226124531
w2_predict_w3,offline_friend_only,offline_friend only,52,4,3961,1321,1321,0.631339894019682,0.6518942101501072,0.6477272727272727,0.6561151079136691,0.6736709035327649
w2_predict_w3,offline_friend_only,offline_friend only,62,5,3961,1321,1321,0.6442089326267979,0.6671388101983002,0.6569037656903766,0.6776978417266187,0.6996552278943619
w2_predict_w3,offline_friend_only,offline_friend only,72,4,3961,1321,1321,0.6245268735806208,0.6426512968299711,0.6435786435786436,0.641726618705036,0.6863998896729261
w2_predict_w3,offline_friend_only,offline_friend only,82,4,3961,1321,1321,0.627554882664648,0.648068669527897,0.6443812233285917,0.6517985611510791,0.6770014020732296
w2_predict_w3,offline_only,offline only,42,8,3961,1321,1321,0.6426949280847842,0.6642958748221907,0.6568213783403657,0.6719424460431654,0.6970855264670054
w2_predict_w3,offline_only,offline only,52,4,3961,1321,1321,0.6184708554125662,0.6425531914893617,0.6335664335664336,0.6517985611510791,0.6736088445537499
w2_predict_w3,offline_only,offline only,62,4,3961,1321,1321,0.6449659348978047,0.6740792216817234,0.6518817204301075,0.697841726618705,0.7035465557266647
w2_predict_w3,offline_only,offline only,72,8,3961,1321,1321,0.6252838758516276,0.64,0.6470588235294118,0.6330935251798561,0.6829130944445722
w2_predict_w3,offline_only,offline only,82,4,3961,1321,1321,0.6139288417865254,0.6367521367521367,0.6304654442877292,0.6431654676258993,0.6701657204587766
w2_predict_w3,online_enemy_only,online_enemy only,42,4,3961,1321,1321,0.6351249053747161,0.6476608187134503,0.6582466567607727,0.637410071942446,0.6931677661066036
w2_predict_w3,online_enemy_only,online_enemy only,52,4,3961,1321,1321,0.6298258894776685,0.6342557965594615,0.660436137071651,0.6100719424460431,0.6723492771278186
w2_predict_w3,online_enemy_only,online_enemy only,62,5,3961,1321,1321,0.6426949280847842,0.6614060258249641,0.6595135908440629,0.6633093525179856,0.6913370262256648
w2_predict_w3,online_enemy_only,online_enemy only,72,7,3961,1321,1321,0.619227857683573,0.6435152374202693,0.6340782122905028,0.6532374100719425,0.676093502195049
w2_predict_w3,online_enemy_only,online_enemy only,82,8,3961,1321,1321,0.6290688872066617,0.6474820143884892,0.6474820143884892,0.6474820143884892,0.664470085273634
w2_predict_w3,online_friend_only,online_friend only,42,8,3961,1321,1321,0.6351249053747161,0.6586402266288952,0.6485355648535565,0.6690647482014388,0.6819224492610385
w2_predict_w3,online_friend_only,online_friend only,52,4,3961,1321,1321,0.6336109008327026,0.6502890173410405,0.6531204644412192,0.6474820143884892,0.6751833038361643
w2_predict_w3,online_friend_only,online_friend only,62,4,3961,1321,1321,0.647993943981832,0.6695095948827292,0.6615168539325843,0.6776978417266187,0.7043418300503368
