scenario,mode,mode_label,mode_description,mode_rel_types,feature_year,target_year,edge_year,target_group_id,target_median_cutoff,target_positive_rate,n_nodes_modeling,n_features_used,n_edges_graph,test_accuracy_mean,test_accuracy_std,test_f1_mean,test_f1_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_auc_mean,test_auc_std,best_epoch_mean,best_epoch_std
w2_predict_w3,baseline_untyped,Baseline (untyped),all four relations merged as one edge type,"online_friend,online_enemy,offline_friend,offline_enemy",W2,W3,W2,54,21.0,0.526124488868696,6603,30,37759,0.6423921271763815,0.012976352664476082,0.6598848591011695,0.015366442616135971,0.6601783047388635,0.010566797702571304,0.6598561151079136,0.023264901216008906,0.6985317305261223,0.013681114259354771,12.0,5.549774770204643
w2_predict_w3,online_friend_only,online_friend only,only online_friend edges,online_friend,W2,W3,W2,54,21.0,0.526124488868696,6603,30,20312,0.6445117335352005,0.013099420679075395,0.6595710200029039,0.01692872049135896,0.6643246521505978,0.009723724667616602,0.655251798561151,0.026695979610495798,0.6949649481692601,0.01230942740124656,13.2,4.534313619501853
w2_predict_w3,online_enemy_only,online_enemy only,only online_enemy edges,online_enemy,W2,W3,W2,54,21.0,0.526124488868696,6603,30,9412,0.6340651021953065,0.004481044235260766,0.6511477216706728,0.008797628702115168,0.6531215071066339,0.0035419717241108924,0.6494964028776978,0.018795575013304096,0.6864835543705612,0.012146354335432354,12.6,4.758150901348127
w2_predict_w3,offline_friend_only,offline_friend only,only offline_friend edges,offline_friend,W2,W3,W2,54,21.0,0.526124488868696,6603,30,21463,0.6407267221801665,0.01098670858835837,0.6566339771051136,0.01270615873498569,0.6602672938781668,0.009918014488367483,0.6532374100719425,0.018826391060484747,0.6952492702323763,0.011746352624668744,12.6,3.7735924528226414
w2_predict_w3,offline_enemy_only,offline_enemy only,only offline_enemy edges,offline_enemy,W2,W3,W2,54,21.0,0.526124488868696,6603,30,10585,0.6383043149129446,0.015278698939037544,0.6552079957924148,0.01776083300442342,0.6569656846977121,0.012755200581180914,0.6538129496402878,0.026835207428776413,0.6899544900820557,0.015052530214842465,8.8,4.069397989875161
w2_predict_w3,friend_only,friend only,online_friend + offline_friend,"online_friend,offline_friend",W2,W3,W2,54,21.0,0.526124488868696,6603,30,25458,0.6448145344436034,0.011364114461647347,0.6621796476400623,0.015932321192441302,0.662346058371721,0.006917967454169224,0.6624460431654675,0.02770073795938737,0.6953391408279128,0.01226334233904773,11.0,3.63318042491699
w2_predict_w3,enemy_only,enemy only,online_enemy + offline_enemy,"online_enemy,offline_enemy",W2,W3,W2,54,21.0,0.526124488868696,6603,30,12595,0.6375473126419379,0.009176915948942778,0.6516069348116935,0.013831186854347094,0.6589221089101214,0.006697728842012673,0.6448920863309352,0.02507728337155034,0.6887507757372378,0.013631163130802348,11.2,3.54400902933387
w2_predict_w3,online_only,online only,online_friend + online_enemy,"online_friend,online_enemy",W2,W3,W2,54,21.0,0.526124488868696,6603,30,29601,0.6426949280847842,0.01428309028320456,0.6593431587527767,0.01553455549391062,0.6613629145661463,0.013244003304034696,0.6575539568345323,0.02138034603856888,0.6960889052336405,0.013272645048570174,11.8,5.81033561853358
w2_predict_w3,offline_only,offline only,offline_friend + offline_enemy,"offline_friend,offline_enemy",W2,W3,W2,54,21.0,0.526124488868696,6603,30,31943,0.6411809235427707,0.013499284254448882,0.6613720546054569,0.012830738889829383,0.6570488953847486,0.015282173026424595,0.6661870503597122,0.01987487384153324,0.6959657066678926,0.013920532351502259,11.2,5.912698199637793
w2_self,baseline_untyped,Baseline (untyped),all four relations merged as one edge type,"online_friend,online_enemy,offline_friend,offline_enemy",W2,W2,W2,v55,17.0,0.5415720127214902,6603,30,37759,0.736109008327025,0.013143094270528798,0.7524310041294671,0.013698978325829553,0.7641922021576126,0.012057235310618038,0.7412587412587414,0.019897532021011192,0.8121816797064321,0.007852969459224793,23.6,6.740919818541086
