scenario,seed,best_epoch,n_train,n_val,n_test,test_accuracy,test_f1,test_auc
w2_predict_w3,42,8,3961,1321,1321,0.6305828917486752,0.6494252873563219,0.6926218769393431
w2_predict_w3,52,4,3961,1321,1321,0.6230128690386071,0.6478076379066479,0.6770059990346382
w2_predict_w3,62,4,3961,1321,1321,0.6510219530658592,0.6800832755031229,0.7100259728319581
w2_predict_w3,72,8,3961,1321,1321,0.6381529144587433,0.6500732064421669,0.6875491300250535
w2_predict_w3,82,4,3961,1321,1321,0.6207418622255867,0.6429080541696365,0.6741650768841796
w2_self,42,6,3961,1321,1321,0.708554125662377,0.7400405131667792,0.7812919753513814
w2_self,52,9,3961,1321,1321,0.7168811506434519,0.727007299270073,0.7800041542615801
w2_self,62,10,3961,1321,1321,0.7312641937925813,0.753984753984754,0.7945971520228947
w2_self,72,7,3961,1321,1321,0.7350492051476154,0.7503566333808844,0.8021971427912022
w2_self,82,14,3961,1321,1321,0.7130961392884179,0.729478943611706,0.783983013685984
w3_self,42,12,3961,1321,1321,0.688115064345193,0.6902255639097744,0.755924334015216
w3_self,52,6,3961,1321,1321,0.6934140802422407,0.7080028839221341,0.7597696922334336
w3_self,62,13,3961,1321,1321,0.6760030280090841,0.6875912408759124,0.7513572528558623
w3_self,72,9,3961,1321,1321,0.6934140802422407,0.7113328581610834,0.7474245523708828
w3_self,82,9,3961,1321,1321,0.6676760030280091,0.6802621995630007,0.7354517663824212
