scenario,mode,mode_label,mode_description,mode_rel_types,feature_year,target_year,edge_year,target_group_id,target_median_cutoff,target_positive_rate,n_nodes_modeling,n_features_used,n_edges_graph,test_accuracy_mean,test_accuracy_std,test_f1_mean,test_f1_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_auc_mean,test_auc_std,best_epoch_mean,best_epoch_std
w2_predict_w3,baseline_untyped,Baseline (untyped),all four relations merged as one edge type,"online_friend,online_enemy,offline_friend,offline_enemy",W2,W3,W2,54,21.0,0.526124488868696,6603,117,37759,0.6327024981074942,0.01101587873646101,0.6540594922755792,0.013251746136524896,0.6482060877843316,0.010077134874425114,0.660431654676259,0.023200741721722425,0.6882736111430345,0.012795369075802162,5.6,1.9595917942265424
w2_predict_w3,online_friend_only,online_friend only,only online_friend edges,online_friend,W2,W3,W2,54,21.0,0.526124488868696,6603,117,20312,0.6357305071915216,0.009051164377068965,0.6557563625054236,0.009624356323025328,0.6520561794329284,0.008085368988933183,0.659568345323741,0.012920831263679792,0.6843524030615763,0.011307783490944068,5.6,1.9595917942265424
w2_predict_w3,online_enemy_only,online_enemy only,only online_enemy edges,online_enemy,W2,W3,W2,54,21.0,0.526124488868696,6603,117,9412,0.6311884935654807,0.007711025936864096,0.6468639785813269,0.008748352779255357,0.6519513222710958,0.010082003747611153,0.6423021582733812,0.018168280998750633,0.679483531385754,0.011095558261821075,5.6,1.624807680927192
w2_predict_w3,offline_friend_only,offline_friend only,only offline_friend edges,offline_friend,W2,W3,W2,54,21.0,0.526124488868696,6603,117,21463,0.6307342922028766,0.007107763569602135,0.6514798412784877,0.008362427321035726,0.6469481669207053,0.005304468383316293,0.6561151079136691,0.011830103476888901,0.6838288091571472,0.009042972852604145,4.6,0.7999999999999999
w2_predict_w3,offline_enemy_only,offline_enemy only,only offline_enemy edges,offline_enemy,W2,W3,W2,54,21.0,0.526124488868696,6603,117,10585,0.6295230885692658,0.01278953040541584,0.6476592702687858,0.015438741694775347,0.6480989541983321,0.012405597712667115,0.647769784172662,0.026096769033104195,0.6796124761532626,0.01644554524140979,4.8,0.9797958971132712
w2_predict_w3,friend_only,friend only,online_friend + offline_friend,"online_friend,offline_friend",W2,W3,W2,54,21.0,0.526124488868696,6603,117,25458,0.6352763058289175,0.006157365452736634,0.6517235013346384,0.008855508125356373,0.6548793634659534,0.006738931729940763,0.6489208633093525,0.017645709026481594,0.6867699450663112,0.01227933865871332,6.4,1.9595917942265424
w2_predict_w3,enemy_only,enemy only,online_enemy + offline_enemy,"online_enemy,offline_enemy",W2,W3,W2,54,21.0,0.526124488868696,6603,117,12595,0.6272520817562452,0.012060830441577266,0.6426369740922873,0.01787325023946103,0.6479546239281662,0.008041506698560583,0.6379856115107914,0.03069304546986678,0.6779796354609603,0.015074124416840013,5.2,1.6
w2_predict_w3,online_only,online only,online_friend + online_enemy,"online_friend,online_enemy",W2,W3,W2,54,21.0,0.526124488868696,6603,117,29601,0.6349735049205147,0.009189396460556271,0.6558157091768791,0.011296010394627612,0.6505825578464013,0.007052226754484814,0.661294964028777,0.01789270970556526,0.6863906957501091,0.010185712922985245,5.6,1.9595917942265424
w2_predict_w3,offline_only,offline only,offline_friend + offline_enemy,"offline_friend,offline_enemy",W2,W3,W2,54,21.0,0.526124488868696,6603,117,31943,0.6290688872066617,0.01260357631386369,0.6515360849490826,0.014854925152982328,0.6439587600308097,0.010275219355772088,0.659568345323741,0.023014387364756497,0.6854639483301537,0.012985591135922698,5.6,1.9595917942265424
w2_self,baseline_untyped,Baseline (untyped),all four relations merged as one edge type,"online_friend,online_enemy,offline_friend,offline_enemy",W2,W2,W2,v55,17.0,0.5415720127214902,6603,117,37759,0.7209689629068887,0.010364021856245154,0.7401736286828393,0.010790616344791518,0.7467016987000914,0.01747610398416607,0.7348251748251748,0.02664840361133325,0.7884146876226085,0.008594053431662158,9.2,2.7856776554368237
