scenario,seed,best_epoch,n_train,n_val,n_test,test_accuracy,test_precision,test_recall,test_f1,test_auc
w2_predict_w3,42,10,3961,1321,1321,0.6358819076457229,0.656891495601173,0.6446043165467625,0.6506899055918663,0.700804468246489
w2_predict_w3,52,6,3961,1321,1321,0.631339894019682,0.6494252873563219,0.6503597122302158,0.6498921639108555,0.688015721608017
w2_predict_w3,62,8,3961,1321,1321,0.6464799394398183,0.6661807580174927,0.6575539568345323,0.6618392469225199,0.7133403820074931
w2_predict_w3,72,9,3961,1321,1321,0.6457229371688115,0.6656934306569343,0.6561151079136691,0.6608695652173913,0.6987542234582941
w2_predict_w3,82,9,3961,1321,1321,0.6336109008327026,0.6522366522366523,0.6503597122302158,0.6512968299711815,0.6859953570689774
w2_self,42,24,3961,1321,1321,0.7433762301286904,0.7589531680440771,0.7706293706293706,0.7647467036780013,0.8248794110180249
w2_self,52,33,3961,1321,1321,0.7312641937925813,0.7654867256637168,0.7258741258741259,0.7451543431442929,0.8062290844469062
w2_self,62,14,3961,1321,1321,0.7395912187736563,0.7594405594405594,0.7594405594405594,0.7594405594405594,0.8207689999769208
w2_self,72,17,3961,1321,1321,0.7577592732778198,0.7978883861236803,0.7398601398601399,0.7677793904208998,0.8337672228761337
w2_self,82,19,3961,1321,1321,0.72445117335352,0.7489361702127659,0.7384615384615385,0.7436619718309859,0.8080408040804081
w3_self,42,11,3961,1321,1321,0.6623769871309614,0.6860986547085202,0.660431654676259,0.6730205278592375,0.7346495966166364
w3_self,52,9,3961,1321,1321,0.6767600302800908,0.6976401179941003,0.6805755395683454,0.6890021849963583,0.7442710368446457
w3_self,62,12,3961,1321,1321,0.6472369417108251,0.6671532846715329,0.6575539568345323,0.6623188405797101,0.7252970786310249
w3_self,72,13,3961,1321,1321,0.6699470098410295,0.6907216494845361,0.6748201438848921,0.6826783114992722,0.7330889282184476
w3_self,82,13,3961,1321,1321,0.6525359576078729,0.6809815950920245,0.6388489208633094,0.6592427616926503,0.7132829199898867
