student_id,ip_out_online_friend,ip_in_online_friend,ip_out_online_enemy,ip_in_online_enemy,ip_out_offline_friend,ip_in_offline_friend,ip_out_offline_enemy,ip_in_offline_enemy,ip_out_friend_total,ip_out_enemy_total,ip_in_friend_total,ip_in_enemy_total,ip_sent_like_ratio,ip_received_like_ratio,ip_sent_net,ip_received_net,ip_out_friend_online_minus_offline,ip_out_enemy_online_minus_offline,ip_in_friend_online_minus_offline,ip_in_enemy_online_minus_offline,ip_class_size,ip_class_size_minus1,ip_out_online_friend_rate_class,ip_in_online_friend_rate_class,ip_out_online_enemy_rate_class,ip_in_online_enemy_rate_class,ip_out_offline_friend_rate_class,ip_in_offline_friend_rate_class,ip_out_offline_enemy_rate_class,ip_in_offline_enemy_rate_class,ip_out_friend_total_rate_class,ip_out_enemy_total_rate_class,ip_in_friend_total_rate_class,ip_in_enemy_total_rate_class,ip_out_friend_online_minus_offline_rate_class,ip_out_enemy_online_minus_offline_rate_class,ip_in_friend_online_minus_offline_rate_class,ip_in_enemy_online_minus_offline_rate_class,ip_reciprocal_friend_count,ip_reciprocal_enemy_count,ip_liked_by_me_but_enemy_to_me_count,ip_enemy_by_me_but_likes_me_count,ip_same_target_friend_and_enemy_count,ip_reciprocal_friend_count_rate_class,ip_reciprocal_enemy_count_rate_class,ip_liked_by_me_but_enemy_to_me_count_rate_class,ip_enemy_by_me_but_likes_me_count_rate_class,ip_same_target_friend_and_enemy_count_rate_class
s112104319024,1.0,1.0,2.0,6.0,1.0,2.0,3.0,5.0,2.0,5.0,3.0,11.0,0.2857142856734694,0.21428571427040816,-3.0,-8.0,0.0,-1.0,-1.0,1.0,23.0,22.0,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.2727272727272727,0.045454545454545456,0.09090909090909091,0.13636363636363635,0.22727272727272727,0.09090909090909091,0.22727272727272727,0.13636363636363635,0.5,0.0,-0.045454545454545456,-0.045454545454545456,0.045454545454545456,1.0,1.0,0.0,1.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.0
s112104319025,1.0,2.0,1.0,7.0,1.0,2.0,1.0,7.0,2.0,2.0,4.0,14.0,0.499999999875,0.22222222220987653,0.0,-10.0,0.0,0.0,0.0,0.0,23.0,22.0,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.3181818181818182,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.3181818181818182,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.6363636363636364,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0
s112104319026,5.0,0.0,4.0,16.0,5.0,0.0,4.0,15.0,10.0,8.0,0.0,31.0,0.5555555555246914,0.0,2.0,-31.0,0.0,0.0,0.0,1.0,23.0,22.0,0.22727272727272727,0.0,0.18181818181818182,0.7272727272727273,0.22727272727272727,0.0,0.18181818181818182,0.6818181818181818,0.45454545454545453,0.36363636363636365,0.0,1.4090909090909092,0.0,0.0,0.0,0.045454545454545456,0.0,3.0,3.0,0.0,0.0,0.0,0.13636363636363635,0.13636363636363635,0.0,0.0
s112104319027,3.0,2.0,5.0,8.0,1.0,2.0,5.0,9.0,4.0,10.0,4.0,17.0,0.2857142856938775,0.1904761904671202,-6.0,-13.0,2.0,0.0,0.0,-1.0,23.0,22.0,0.13636363636363635,0.09090909090909091,0.22727272727272727,0.36363636363636365,0.045454545454545456,0.09090909090909091,0.22727272727272727,0.4090909090909091,0.18181818181818182,0.45454545454545453,0.18181818181818182,0.7727272727272727,0.09090909090909091,0.0,0.0,-0.045454545454545456,1.0,5.0,1.0,0.0,0.0,0.045454545454545456,0.22727272727272727,0.045454545454545456,0.0,0.0
s112104319028,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,10.0,10.0,10.0,2.0,0.499999999975,0.8333333332638889,0.0,8.0,0.0,0.0,0.0,0.0,23.0,22.0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.045454545454545456,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.045454545454545456,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.13636363636363635,0.045454545454545456,0.0,0.0,0.0
s112104319029,4.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,8.0,10.0,6.0,8.0,0.44444444441975306,0.4285714285408163,-2.0,-2.0,0.0,0.0,0.0,0.0,23.0,22.0,0.18181818181818182,0.13636363636363635,0.22727272727272727,0.18181818181818182,0.18181818181818182,0.13636363636363635,0.22727272727272727,0.18181818181818182,0.36363636363636365,0.45454545454545453,0.2727272727272727,0.36363636363636365,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0
s112104319030,4.0,4.0,5.0,1.0,4.0,4.0,5.0,2.0,8.0,10.0,8.0,3.0,0.44444444441975306,0.7272727272066115,-2.0,5.0,0.0,0.0,0.0,-1.0,23.0,22.0,0.18181818181818182,0.18181818181818182,0.22727272727272727,0.045454545454545456,0.18181818181818182,0.18181818181818182,0.22727272727272727,0.09090909090909091,0.36363636363636365,0.45454545454545453,0.36363636363636365,0.13636363636363635,0.0,0.0,0.0,-0.045454545454545456,4.0,1.0,0.0,0.0,0.0,0.18181818181818182,0.045454545454545456,0.0,0.0,0.0
s112104319031,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,8.0,8.0,8.0,6.0,0.49999999996875,0.571428571387755,0.0,2.0,0.0,0.0,0.0,0.0,23.0,22.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.13636363636363635,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.13636363636363635,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.18181818181818182,0.13636363636363635,0.0,0.0,0.0
s112104319032,4.0,5.0,1.0,2.0,4.0,5.0,1.0,2.0,8.0,2.0,10.0,4.0,0.79999999992,0.7142857142346939,6.0,6.0,0.0,0.0,0.0,0.0,23.0,22.0,0.18181818181818182,0.22727272727272727,0.045454545454545456,0.09090909090909091,0.18181818181818182,0.22727272727272727,0.045454545454545456,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0
s112104319033,4.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,9.0,10.0,10.0,12.0,0.47368421050138504,0.4545454545247934,-1.0,-2.0,-1.0,0.0,0.0,0.0,23.0,22.0,0.18181818181818182,0.22727272727272727,0.22727272727272727,0.2727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.2727272727272727,0.4090909090909091,0.45454545454545453,0.45454545454545453,0.5454545454545454,-0.045454545454545456,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.18181818181818182,0.13636363636363635,0.0,0.045454545454545456,0.0
