scenario,setting,delta_test_accuracy_vs_drop,delta_test_f1_vs_drop,delta_test_auc_vs_drop
w2_self,baseline_drop,0.0,0.0,0.0
w2_self,drop_plus_A1,0.007570022710068236,0.006217389230695813,0.0019617346350019327
w2_self,drop_plus_A2,0.0037850113550341735,0.003619857886356548,0.0009162454707010159
w2_self,drop_plus_B1,0.006056018168054567,0.004834263366242153,0.0015809273235015686
w2_self,drop_plus_B2,0.006056018168054567,0.0058573192742471525,0.0010708763184010817
w2_self,drop_plus_C1,-0.002271006813020393,-0.0025965731716035556,-9.23169240008015e-06
w2_self,drop_plus_C2,0.003028009084027339,0.0027586206896551557,0.002040204020402059
w2_self,drop_plus_D1,0.002271006813020504,0.0005053961568833865,-0.0005769807750005684
w2_self,drop_plus_D2,0.005299015897047732,0.004314276862950717,-0.0001292436936001229
w2_self,drop_plus_D3,0.0,0.0,-0.00023540815620015643
w2_self,drop_plus_D4,0.002271006813020504,0.0015499368491289633,4.615846199995666e-05
w2_self,drop_plus_D5,0.0,0.0,-5.7698077500112355e-05
w3_self,baseline_drop,0.0,0.0,0.0
w3_self,drop_plus_A1,-0.002271006813020504,-0.001983402337635165,0.0003562645091594874
w3_self,drop_plus_A2,-0.0015140045420136694,-0.001906797961475415,-0.0006964396533890582
w3_self,drop_plus_B1,0.0,0.0004349305187730801,0.00019766934056586472
w3_self,drop_plus_B2,-0.0007570022710068347,-0.0009526984671589522,-0.0006251867515572052
w3_self,drop_plus_C1,-0.0015140045420136694,-0.0005955413944268573,-9.193922817019029e-05
w3_self,drop_plus_C2,0.0007570022710068347,0.0005168092477566555,-4.1372652676563426e-05
w3_self,drop_plus_D1,0.0,0.0,0.0004390098145126142
w3_self,drop_plus_D2,0.0,0.0,-0.00023444503183389642
w3_self,drop_plus_D3,-0.0037850113550340625,-0.005222404646954004,-0.000675753327050832
w3_self,drop_plus_D4,0.0007570022710068347,0.0013845185651353287,-0.00034477210563810257
w3_self,drop_plus_D5,0.0015140045420136694,0.0019012061785971257,0.000797572804376312
w2_predict_w3,baseline_drop,0.0,0.0,0.0
w2_predict_w3,drop_plus_A1,-0.0037850113550340625,-0.002396837163330834,-0.0003976371618360508
w2_predict_w3,drop_plus_A2,0.0015140045420135584,0.000963467689068187,-0.0011170616222677676
w2_predict_w3,drop_plus_B1,-0.002271006813020504,-0.0014401235239971388,-0.00018157997563617023
w2_predict_w3,drop_plus_B2,0.0,-0.0004469695464748291,-0.0008412439377571967
w2_predict_w3,drop_plus_C1,-0.002271006813020504,-0.0018881763487327285,-0.00043441285310419353
w2_predict_w3,drop_plus_C2,0.002271006813020393,0.0018908376261799198,-0.000797572804376423
w2_predict_w3,drop_plus_D1,0.003028009084027228,0.0032586517699728645,-6.435745971922202e-05
w2_predict_w3,drop_plus_D2,0.0015140045420135584,0.001852182009072778,5.976049831046826e-05
w2_predict_w3,drop_plus_D3,0.0007570022710068347,0.0018136891524586085,-0.0012756567908613903
w2_predict_w3,drop_plus_D4,0.0007570022710068347,0.0013708392307464345,7.584986324027376e-05
w2_predict_w3,drop_plus_D5,-0.0015140045420136694,-0.0009607575127275059,2.2984807042103483e-06
