scenario,setting,feature_year,target_year,target_group_id,target_median_cutoff,target_positive_rate,n_base_features_drop,n_group_features_added,group_features_added,n_rows_modeling,n_train,n_test,n_features_requested,n_features_used,dropped_all_missing_feature_cols,c_selected,train_accuracy,train_f1,train_auc,test_accuracy,test_f1,test_auc,cv5_accuracy_mean,cv5_accuracy_std,cv5_f1_mean,cv5_f1_std,cv5_auc_mean,cv5_auc_std
w2_self,baseline_drop,W2,W2,v55,17.0,0.5415720127214902,117,0,,6603,5282,1321,117,117,[],0.003981071705534973,0.7340022718667172,0.754585152838428,0.8106134269335323,0.7229371688115064,0.7475862068965518,0.8028918276443029,0.7186106714380749,0.010585335652473694,0.7403897309112081,0.011963097660326924,0.7969619441041442,0.015295643793436082
w2_self,drop_plus_A1,W2,W2,v55,17.0,0.5415720127214902,117,4,ip_out_online_friend;ip_out_online_enemy;ip_out_offline_friend;ip_out_offline_enemy,6603,5282,1321,121,121,[],0.003981071705534973,0.733434305187429,0.7540181691125087,0.8109963775256152,0.7305071915215746,0.7538035961272476,0.8048535622793048,0.7213367971922098,0.010489707791138177,0.7430621350748033,0.01159810836307749,0.797268576706552,0.01552791762366832
w2_self,drop_plus_A2,W2,W2,v55,17.0,0.5415720127214902,117,4,ip_in_online_friend;ip_in_online_enemy;ip_in_offline_friend;ip_in_offline_enemy,6603,5282,1321,121,121,[],0.002511886431509582,0.733434305187429,0.7552155771905424,0.809536328764924,0.7267221801665406,0.7512060647829083,0.8038080731150039,0.7216393687059849,0.010667864243416625,0.7439844736662513,0.011745227762527458,0.7971374642612237,0.01565214842616222
w2_self,drop_plus_B1,W2,W2,v55,17.0,0.5415720127214902,117,2,ip_out_friend_total;ip_out_enemy_total,6603,5282,1321,119,119,[],0.003981071705534973,0.7322983718288527,0.7527107380202868,0.8109407937450488,0.728993186979561,0.7524204702627939,0.8044727549678045,0.7210338815864932,0.009889340141110894,0.7428677096944505,0.010878133613999133,0.7974480066509531,0.015312474253594737
w2_self,drop_plus_B2,W2,W2,v55,17.0,0.5415720127214902,117,2,ip_in_friend_total;ip_in_enemy_total,6603,5282,1321,119,119,[],0.002511886431509582,0.7338129496402878,0.7553080403759137,0.8094853649349504,0.728993186979561,0.7534435261707989,0.803962703962704,0.7222454293120455,0.009629209784950939,0.7444823788914395,0.010674554533001817,0.79723676253379,0.015630454095236532
w2_self,drop_plus_C1,W2,W2,v55,17.0,0.5415720127214902,117,2,ip_out_friend_online_minus_offline;ip_out_enemy_online_minus_offline,6603,5282,1321,119,119,[],0.003981071705534973,0.733434305187429,0.7542757417102967,0.8106634523360419,0.720666161998486,0.7449896337249482,0.8028825959519028,0.7169445782579772,0.012226673544484304,0.7389555292277015,0.013377948951584902,0.7965050160543867,0.015666793289821988
w2_self,drop_plus_C2,W2,W2,v55,17.0,0.5415720127214902,117,2,ip_in_friend_online_minus_offline;ip_in_enemy_online_minus_offline,6603,5282,1321,119,119,[],0.002511886431509582,0.7330556607345703,0.75418410041841,0.8092469321723399,0.7259651778955337,0.7503448275862069,0.804932031664705,0.7222461174959282,0.009144407214724115,0.7443533097163635,0.01011333000178548,0.7969825661232303,0.015411498750542438
w2_self,drop_plus_D1,W2,W2,v55,17.0,0.5415720127214902,117,1,ip_reciprocal_friend_count,6603,5282,1321,118,118,[],0.003981071705534973,0.7351382052252935,0.7552912366625852,0.81104113329698,0.7252081756245269,0.7480916030534351,0.8023148468693023,0.7196703599201707,0.012372632834025744,0.7408735524040952,0.01374819233085165,0.7970147673694019,0.01515232818343417
w2_self,drop_plus_D2,W2,W2,v55,17.0,0.5415720127214902,117,1,ip_reciprocal_enemy_count,6603,5282,1321,118,118,[],0.003981071705534973,0.7338129496402878,0.7542817196784342,0.8108987810693482,0.7282361847085541,0.7519004837595025,0.8027625839507028,0.7214884270410387,0.009763784965975941,0.7431591173099503,0.011185508522182981,0.7970931916874862,0.01543136456602868
w2_self,drop_plus_D3,W2,W2,v55,17.0,0.5415720127214902,117,1,ip_liked_by_me_but_enemy_to_me_count,6603,5282,1321,118,118,[],0.003981071705534973,0.7345702385460053,0.7552374301675978,0.8106575330243453,0.7229371688115064,0.7475862068965518,0.8026564194881027,0.7184591562865598,0.01062825568973781,0.7403577134188822,0.012038012199419725,0.7967773503365814,0.015412447536764453
