scenario,setting,delta_test_accuracy_vs_drop,delta_test_f1_vs_drop,delta_test_auc_vs_drop
w2_self,baseline_drop,0.0,0.0,0.0
w2_self,drop_plus_A,0.004542013626040897,0.005161045850700985,0.0027487364121026037
w2_self,drop_plus_B,0.006056018168054567,0.006534672224327354,0.0027095017194026516
w2_self,drop_plus_C,0.0007570022710068347,0.000515932509935535,0.0019825059429019465
w2_self,drop_plus_D1,0.002271006813020504,0.0005053961568833865,-0.0005769807750005684
w2_self,drop_plus_D2,0.005299015897047732,0.004314276862950717,-0.0001292436936001229
w2_self,drop_plus_D3,0.0,0.0,-0.00023540815620015643
w2_self,drop_plus_D4,0.002271006813020504,0.0015499368491289633,4.615846199995666e-05
w2_self,drop_plus_D5,0.0,0.0,-5.7698077500112355e-05
w3_self,baseline_drop,0.0,0.0,0.0
w3_self,drop_plus_A,-0.002271006813020504,-0.002422206182074449,-0.0005171581584572094
w3_self,drop_plus_B,0.0007570022710068347,0.0005168092477566555,-0.00044590525662524527
w3_self,drop_plus_C,-0.0015140045420136694,-0.001468428781204123,-0.00014250580366381715
w3_self,drop_plus_D1,0.0,0.0,0.0004390098145126142
w3_self,drop_plus_D2,0.0,0.0,-0.00023444503183389642
w3_self,drop_plus_D3,-0.0037850113550340625,-0.005222404646954004,-0.000675753327050832
w3_self,drop_plus_D4,0.0007570022710068347,0.0013845185651353287,-0.00034477210563810257
w3_self,drop_plus_D5,0.0015140045420136694,0.0019012061785971257,0.000797572804376312
w2_predict_w3,baseline_drop,0.0,0.0,0.0
w2_predict_w3,drop_plus_A,0.0007570022710068347,0.00048139435627159166,-0.0017928149493185996
w2_predict_w3,drop_plus_B,0.0,-0.0008952017187873196,-0.0010779874502955256
w2_predict_w3,drop_plus_C,0.0015140045420135584,0.0014084507042253502,-0.0014687291700187233
w2_predict_w3,drop_plus_D1,0.003028009084027228,0.0032586517699728645,-6.435745971922202e-05
w2_predict_w3,drop_plus_D2,0.0015140045420135584,0.001852182009072778,5.976049831046826e-05
w2_predict_w3,drop_plus_D3,0.0007570022710068347,0.0018136891524586085,-0.0012756567908613903
w2_predict_w3,drop_plus_D4,0.0007570022710068347,0.0013708392307464345,7.584986324027376e-05
w2_predict_w3,drop_plus_D5,-0.0015140045420136694,-0.0009607575127275059,2.2984807042103483e-06
