scenario,setting,feature_year,target_year,target_group_id,target_median_cutoff,target_positive_rate,n_base_features_drop,n_group_features_added,group_features_added,n_rows_modeling,n_train,n_test,n_features_requested,n_features_used,dropped_all_missing_feature_cols,c_selected,train_accuracy,train_f1,train_auc,test_accuracy,test_f1,test_auc,cv5_accuracy_mean,cv5_accuracy_std,cv5_f1_mean,cv5_f1_std,cv5_auc_mean,cv5_auc_std
w2_self,baseline_drop,W2,W2,v55,17.0,0.5415720127214902,117,0,,6603,5282,1321,117,117,[],0.003981071705534973,0.7340022718667172,0.754585152838428,0.8106134269335323,0.7229371688115064,0.7475862068965518,0.8028918276443029,0.7186106714380749,0.010585335652473694,0.7403897309112081,0.011963097660326924,0.7969619441041442,0.015295643793436082
w2_self,drop_plus_A,W2,W2,v55,17.0,0.5415720127214902,117,8,ip_out_online_friend;ip_in_online_friend;ip_out_online_enemy;ip_in_online_enemy;ip_out_offline_friend;ip_in_offline_friend;ip_out_offline_enemy;ip_in_offline_enemy,6603,5282,1321,125,125,[],0.002511886431509582,0.7349488829988641,0.7560125479261066,0.8098128039331949,0.7274791824375473,0.7527472527472527,0.8056405640564055,0.7233060353726517,0.0081315527764311,0.7452759110522758,0.009601362317038563,0.797482186085262,0.015809151354280297
w2_self,drop_plus_B,W2,W2,v55,17.0,0.5415720127214902,117,4,ip_out_friend_total;ip_out_enemy_total;ip_in_friend_total;ip_in_enemy_total,6603,5282,1321,121,121,[],0.002511886431509582,0.7336236274138583,0.7547498692696532,0.8097331097854741,0.728993186979561,0.7541208791208791,0.8056013293637055,0.7223969444635606,0.010208896920412564,0.7445191208858626,0.011009698599489467,0.7976616208439186,0.015622678026098541
w2_self,drop_plus_C,W2,W2,v55,17.0,0.5415720127214902,117,4,ip_out_friend_online_minus_offline;ip_out_enemy_online_minus_offline;ip_in_friend_online_minus_offline;ip_in_enemy_online_minus_offline,6603,5282,1321,121,121,[],0.002511886431509582,0.7317304051495646,0.7532648441581056,0.8092695266182062,0.7236941710825132,0.7481021394064873,0.8048743335872048,0.7210343403757484,0.010196233260392314,0.7433664706516485,0.011226477442608322,0.7965238135216847,0.015717304696785398
w2_self,drop_plus_D1,W2,W2,v55,17.0,0.5415720127214902,117,1,ip_reciprocal_friend_count,6603,5282,1321,118,118,[],0.003981071705534973,0.7351382052252935,0.7552912366625852,0.81104113329698,0.7252081756245269,0.7480916030534351,0.8023148468693023,0.7196703599201707,0.012372632834025744,0.7408735524040952,0.01374819233085165,0.7970147673694019,0.01515232818343417
w2_self,drop_plus_D2,W2,W2,v55,17.0,0.5415720127214902,117,1,ip_reciprocal_enemy_count,6603,5282,1321,118,118,[],0.003981071705534973,0.7338129496402878,0.7542817196784342,0.8108987810693482,0.7282361847085541,0.7519004837595025,0.8027625839507028,0.7214884270410387,0.009763784965975941,0.7431591173099503,0.011185508522182981,0.7970931916874862,0.01543136456602868
w2_self,drop_plus_D3,W2,W2,v55,17.0,0.5415720127214902,117,1,ip_liked_by_me_but_enemy_to_me_count,6603,5282,1321,118,118,[],0.003981071705534973,0.7345702385460053,0.7552374301675978,0.8106575330243453,0.7229371688115064,0.7475862068965518,0.8026564194881027,0.7184591562865598,0.01062825568973781,0.7403577134188822,0.012038012199419725,0.7967773503365814,0.015412447536764453
w2_self,drop_plus_D4,W2,W2,v55,17.0,0.5415720127214902,117,1,ip_enemy_by_me_but_likes_me_count,6603,5282,1321,118,118,[],0.003981071705534973,0.7340022718667172,0.754585152838428,0.8108926451974675,0.7252081756245269,0.7491361437456807,0.8029379861063028,0.7204285091643153,0.010339882120872506,0.7425715379573639,0.011745675562435305,0.7970585854594935,0.014689662953609135
w2_self,drop_plus_D5,W2,W2,v55,17.0,0.5415720127214902,117,1,ip_same_target_friend_and_enemy_count,6603,5282,1321,118,118,[],0.003981071705534973,0.7345702385460053,0.7551519385260217,0.8105678049214312,0.7229371688115064,0.7475862068965518,0.8028341295668028,0.7189137017411051,0.009953964309064863,0.7406662989976315,0.011551825880684834,0.7966859960207843,0.015531552074933366
w3_self,baseline_drop,W3,W3,54,21.0,0.526124488868696,119,0,,6603,5282,1321,119,119,[],0.003981071705534973,0.706739871260886,0.7213527612880014,0.784241421988468,0.6941710825132476,0.7033773861967695,0.765734249660974,0.6918096942169615,0.012269827074079118,0.7081757297542041,0.010792368808425275,0.7662450163410057,0.01536736564976387
