scenario,setting,delta_test_accuracy_vs_drop,delta_test_f1_vs_drop,delta_test_auc_vs_drop
w2_predict_w3,drop_plus_D,0.0015140045420135584,0.0014084507042253502,-0.0014687291700187233
w2_predict_w3,drop_plus_A,0.0007570022710068347,0.00048139435627159166,-0.0017928149493185996
w2_predict_w3,baseline_drop,0.0,0.0,0.0
w2_predict_w3,drop_plus_B,0.0,-0.0008952017187873196,-0.0010779874502955256
w2_predict_w3,drop_plus_G,0.0,0.0017753580305361893,-0.001087181373112367
w2_predict_w3,drop_plus_ABDG,-0.0015140045420136694,0.0008174923667881862,-0.0030730687015882996
w2_self,drop_plus_B,0.006056018168054567,0.006534672224327354,0.0027095017194026516
w2_self,drop_plus_ABDG,0.006056018168054567,0.0055172413793103114,0.001994045558401991
w2_self,drop_plus_G,0.005299015897047732,0.004314276862950717,0.001816335479701836
w2_self,drop_plus_A,0.004542013626040897,0.005161045850700985,0.0027487364121026037
w2_self,drop_plus_D,0.0007570022710068347,0.000515932509935535,0.0019825059429019465
w2_self,baseline_drop,0.0,0.0,0.0
w3_self,drop_plus_B,0.0007570022710068347,0.0005168092477566555,-0.00044590525662524527
w3_self,baseline_drop,0.0,0.0,0.0
w3_self,drop_plus_G,-0.0007570022710068347,-0.0009526984671589522,0.00011722251591694821
w3_self,drop_plus_D,-0.0015140045420136694,-0.001468428781204123,-0.00014250580366381715
w3_self,drop_plus_A,-0.002271006813020504,-0.002422206182074449,-0.0005171581584572094
w3_self,drop_plus_ABDG,-0.002271006813020504,-0.001983402337635165,0.0003700553933849715
