scenario,setting,feature_year,target_year,target_group_id,target_median_cutoff,target_positive_rate,n_base_features_drop,n_group_features_added,group_features_added,n_rows_modeling,n_train,n_test,n_features_requested,n_features_used,dropped_all_missing_feature_cols,c_selected,train_accuracy,train_f1,train_auc,test_accuracy,test_f1,test_auc,cv5_accuracy_mean,cv5_accuracy_std,cv5_f1_mean,cv5_f1_std,cv5_auc_mean,cv5_auc_std
w2_predict_w3,drop_plus_D,W2,W3,54,21.0,0.526124488868696,117,4,ip_out_friend_online_minus_offline;ip_out_enemy_online_minus_offline;ip_in_friend_online_minus_offline;ip_in_enemy_online_minus_offline,6603,5282,1321,121,121,[],0.001,0.645399469897766,0.6703045238514346,0.708736993118154,0.6608629825889477,0.6845070422535211,0.7136253936148206,0.6401681462620145,0.014807440690150882,0.6648527813936423,0.014244090321510717,0.6979966306164652,0.016473743728356492
w2_predict_w3,drop_plus_A,W2,W3,54,21.0,0.526124488868696,117,8,ip_out_online_friend;ip_in_online_friend;ip_out_online_enemy;ip_in_online_enemy;ip_out_offline_friend;ip_in_offline_friend;ip_out_offline_enemy;ip_in_offline_enemy,6603,5282,1321,125,125,[],0.001,0.6480499810677773,0.672653636203557,0.7089683096369279,0.660105980317941,0.6835799859055673,0.7133013078355207,0.6395632326290919,0.01768626935389156,0.6633424969948288,0.01692721790160465,0.6968928976132828,0.016564093686119153
w2_predict_w3,baseline_drop,W2,W3,54,21.0,0.526124488868696,117,0,,6603,5282,1321,117,117,[],0.001,0.6472926921620599,0.6721801865212036,0.7085117865757924,0.6593489780469342,0.6830985915492958,0.7150941227848393,0.6415309797444544,0.014626723908744341,0.6659858253524444,0.01400096735168923,0.6983064176673281,0.016379308597143608
w2_predict_w3,drop_plus_B,W2,W3,54,21.0,0.526124488868696,117,4,ip_out_friend_total;ip_out_enemy_total;ip_in_friend_total;ip_in_enemy_total,6603,5282,1321,121,121,[],0.001,0.6471033699356304,0.6714839619316179,0.7087957926558659,0.6593489780469342,0.6822033898305084,0.7140161353345438,0.639411488082949,0.01622793625631457,0.6631606147225999,0.015407693201458501,0.6972920298627622,0.016538789484906405
w2_predict_w3,drop_plus_G,W2,W3,54,21.0,0.526124488868696,117,5,ip_reciprocal_friend_count;ip_reciprocal_enemy_count;ip_liked_by_me_but_enemy_to_me_count;ip_enemy_by_me_but_likes_me_count;ip_same_target_friend_and_enemy_count,6603,5282,1321,122,122,[],0.001,0.6488072699734949,0.6734729801091357,0.7093126247782977,0.6593489780469342,0.6848739495798319,0.7140069414117269,0.6406223476246187,0.014796753221964139,0.6653255720853221,0.014176264330268135,0.6977147357521519,0.016203256231712333
w2_predict_w3,drop_plus_ABDG,W2,W3,54,21.0,0.526124488868696,117,21,ip_out_online_friend;ip_in_online_friend;ip_out_online_enemy;ip_in_online_enemy;ip_out_offline_friend;ip_in_offline_friend;ip_out_offline_enemy;ip_in_offline_enemy;ip_out_friend_total;ip_out_enemy_total;ip_in_friend_total;ip_in_enemy_total;ip_out_friend_online_minus_offline;ip_out_enemy_online_minus_offline;ip_in_friend_online_minus_offline;ip_in_enemy_online_minus_offline;ip_reciprocal_friend_count;ip_reciprocal_enemy_count;ip_liked_by_me_but_enemy_to_me_count;ip_enemy_by_me_but_likes_me_count;ip_same_target_friend_and_enemy_count,6603,5282,1321,138,138,[],0.001,0.647860658841348,0.6725352112676056,0.7097373040800122,0.6578349735049205,0.6839160839160839,0.712021054083251,0.6398655747482394,0.01603585301516375,0.6642948673757141,0.015189048694820401,0.6964677344697057,0.016631810197835408
w2_self,drop_plus_B,W2,W2,v55,17.0,0.5415720127214902,117,4,ip_out_friend_total;ip_out_enemy_total;ip_in_friend_total;ip_in_enemy_total,6603,5282,1321,121,121,[],0.002511886431509582,0.7336236274138583,0.7547498692696532,0.8097331097854741,0.728993186979561,0.7541208791208791,0.8056013293637055,0.7223969444635606,0.010208896920412564,0.7445191208858626,0.011009698599489467,0.7976616208439186,0.015622678026098541
w2_self,drop_plus_ABDG,W2,W2,v55,17.0,0.5415720127214902,117,21,ip_out_online_friend;ip_in_online_friend;ip_out_online_enemy;ip_in_online_enemy;ip_out_offline_friend;ip_in_offline_friend;ip_out_offline_enemy;ip_in_offline_enemy;ip_out_friend_total;ip_out_enemy_total;ip_in_friend_total;ip_in_enemy_total;ip_out_friend_online_minus_offline;ip_out_enemy_online_minus_offline;ip_in_friend_online_minus_offline;ip_in_enemy_online_minus_offline;ip_reciprocal_friend_count;ip_reciprocal_enemy_count;ip_liked_by_me_but_enemy_to_me_count;ip_enemy_by_me_but_likes_me_count;ip_same_target_friend_and_enemy_count,6603,5282,1321,138,138,[],0.002511886431509582,0.7343809163195759,0.7552764695621839,0.8103856778066669,0.728993186979561,0.7531034482758621,0.8048858732027049,0.722396256279678,0.012634768858367014,0.7446146229696887,0.013714632793104935,0.7962893758972831,0.015957599445482876
w2_self,drop_plus_G,W2,W2,v55,17.0,0.5415720127214902,117,5,ip_reciprocal_friend_count;ip_reciprocal_enemy_count;ip_liked_by_me_but_enemy_to_me_count;ip_enemy_by_me_but_likes_me_count;ip_same_target_friend_and_enemy_count,6603,5282,1321,122,122,[],0.002511886431509582,0.7353275274517228,0.7564459930313588,0.8100338396943555,0.7282361847085541,0.7519004837595025,0.8047081631240047,0.7217908838575001,0.011140785906710188,0.7443855999361058,0.011819074625761924,0.797041516636081,0.015214048972919792
w2_self,drop_plus_A,W2,W2,v55,17.0,0.5415720127214902,117,8,ip_out_online_friend;ip_in_online_friend;ip_out_online_enemy;ip_in_online_enemy;ip_out_offline_friend;ip_in_offline_friend;ip_out_offline_enemy;ip_in_offline_enemy,6603,5282,1321,125,125,[],0.002511886431509582,0.7349488829988641,0.7560125479261066,0.8098128039331949,0.7274791824375473,0.7527472527472527,0.8056405640564055,0.7233060353726517,0.0081315527764311,0.7452759110522758,0.009601362317038563,0.797482186085262,0.015809151354280297
