scenario,setting,feature_year,target_year,target_group_id,target_median_cutoff,target_positive_rate,n_interpersonal_features_available,n_base_features_no_drop,n_base_features_drop,n_rows_modeling,n_train,n_test,n_features_requested,n_features_used,dropped_all_missing_feature_cols,c_selected,train_accuracy,train_f1,train_auc,test_accuracy,test_f1,test_auc,cv5_accuracy_mean,cv5_accuracy_std,cv5_f1_mean,cv5_f1_std,cv5_auc_mean,cv5_auc_std
w2_predict_w3,baseline_drop,W2,W3,54,21.0,0.526124488868696,48,127,117,6603,5282,1321,117,117,[],0.001,0.6472926921620599,0.6721801865212036,0.7085117865757924,0.6593489780469342,0.6830985915492958,0.7150941227848393,0.6415309797444544,0.014626723908744341,0.6659858253524444,0.01400096735168923,0.6983064176673281,0.016379308597143608
w2_predict_w3,baseline_drop_plus_interpersonal,W2,W3,54,21.0,0.526124488868696,48,127,117,6603,5282,1321,165,165,[],0.001,0.6467247254827717,0.671015514809591,0.7104050885608734,0.660105980317941,0.6857942617214835,0.7117337439952192,0.6415302915605717,0.014587890868783171,0.665908631978437,0.013428389425070778,0.6959881608737777,0.0172870128491605
w2_predict_w3,baseline_no_drop,W2,W3,54,21.0,0.526124488868696,48,127,117,6603,5282,1321,127,127,[],0.001,0.6690647482014388,0.6916019760056458,0.7290346222891653,0.6661619984859954,0.6865671641791045,0.7291332429264257,0.6650040144059826,0.014595242614109636,0.6864794555992638,0.014294221266452078,0.7186602741492656,0.011766946428433218
w2_predict_w3,baseline_no_drop_plus_interpersonal,W2,W3,54,21.0,0.526124488868696,48,127,117,6603,5282,1321,175,175,[],0.001,0.6692540704278682,0.6915062687621402,0.7309761571468683,0.6631339894019682,0.6872803935347856,0.7261084423196268,0.660763998807148,0.012633422989894517,0.6824467598388347,0.011986092432951517,0.7165234476039466,0.011459992243962559
w2_predict_w3,interpersonal_only,W2,W3,54,21.0,0.526124488868696,48,127,117,6603,5282,1321,48,48,[],0.0001,0.5302915562287013,0.6870190488204869,0.5453350905146281,0.5291445874337622,0.6836215666327569,0.5536258533109615,0.5262755488266465,0.00191980411787445,0.6833160393799821,0.003204271622345072,0.5393286457541133,0.014318216699161009
w2_self,baseline_drop,W2,W2,v55,17.0,0.5415720127214902,48,127,117,6603,5282,1321,117,117,[],0.003981071705534973,0.7340022718667172,0.754585152838428,0.8106134269335323,0.7229371688115064,0.7475862068965518,0.8028918276443029,0.7186106714380749,0.010585335652473694,0.7403897309112081,0.011963097660326924,0.7969619441041442,0.015295643793436082
w2_self,baseline_drop_plus_interpersonal,W2,W2,v55,17.0,0.5415720127214902,48,127,117,6603,5282,1321,165,165,[],0.003981071705534973,0.7398712608860281,0.7597902097902098,0.8131973508625807,0.732778198334595,0.7553707553707554,0.8048789494334049,0.7242136352166633,0.010662874664089984,0.7448154025102418,0.01191040146520173,0.7967668628373599,0.016545378893116754
w2_self,baseline_no_drop,W2,W2,v55,17.0,0.5415720127214902,48,127,117,6603,5282,1321,127,127,[],0.003981071705534973,0.7684589170768649,0.7874891398783667,0.8517976155568752,0.7744133232399697,0.7930555555555555,0.8456991853031459,0.7623780194067855,0.010326769665376335,0.7813677107200585,0.010683055781753633,0.8406408789127819,0.01325344107911284
w2_self,baseline_no_drop_plus_interpersonal,W2,W2,v55,17.0,0.5415720127214902,48,127,117,6603,5282,1321,175,175,[],0.003981071705534973,0.7699734948882999,0.7890991147370249,0.8533669550237705,0.7721423164269493,0.7902439024390244,0.8467608299291469,0.7623777900121579,0.011164522436683776,0.7815927771894277,0.011669977775212807,0.8396710710404485,0.01383303552393151
w2_self,interpersonal_only,W2,W2,v55,17.0,0.5415720127214902,48,127,117,6603,5282,1321,48,48,[],0.01,0.5740249905338887,0.647887323943662,0.5894486680899003,0.5639666919000756,0.6381909547738693,0.5718041034872718,0.5627728075608469,0.010190216976805475,0.6380281112317524,0.009969204132272714,0.5742737468144595,0.011974890543318656
w3_self,baseline_drop,W3,W3,54,21.0,0.526124488868696,48,129,119,6603,5282,1321,119,119,[],0.003981071705534973,0.706739871260886,0.7213527612880014,0.784241421988468,0.6941710825132476,0.7033773861967695,0.765734249660974,0.6918096942169615,0.012269827074079118,0.7081757297542041,0.010792368808425275,0.7662450163410057,0.01536736564976387
w3_self,baseline_drop_plus_interpersonal,W3,W3,54,21.0,0.526124488868696,48,129,119,6603,5282,1321,167,167,[],0.003981071705534973,0.709201060204468,0.723442563917897,0.7868732404166459,0.6873580620741863,0.6978785662033651,0.765534281839704,0.6902962631615168,0.013600348718525489,0.7064634373335392,0.010754754496893709,0.7655055539997573,0.015573019851873109
w3_self,baseline_no_drop,W3,W3,54,21.0,0.526124488868696,48,129,119,6603,5282,1321,129,129,[],0.003981071705534973,0.7190458159787959,0.7364120781527531,0.8011077602882299,0.7108251324753975,0.7247838616714697,0.7868228101225091,0.7040777188998234,0.01737349881260406,0.7234620096922182,0.014576611462094324,0.7833721090015061,0.015905749261615486
w3_self,baseline_no_drop_plus_interpersonal,W3,W3,54,21.0,0.526124488868696,48,129,119,6603,5282,1321,177,177,[],0.002511886431509582,0.718099204846649,0.7363201700017709,0.8016754849200751,0.7093111279333838,0.7229437229437229,0.7863700094237709,0.7024111669304705,0.015854572572455206,0.7213843832253707,0.013180362809074196,0.7828079199026504,0.015647249904257934
w3_self,interpersonal_only,W3,W3,54,21.0,0.526124488868696,48,129,119,6603,5282,1321,48,48,[],0.001,0.5473305566073458,0.6423335826477188,0.5592174600986193,0.5541256623769871,0.6401954795357361,0.5691992093226378,0.5450536783428532,0.0069993008718961984,0.6382089814329199,0.013212104257813946,0.5509780028110353,0.012646296313818929
