group_id,change_class,n_columns,n_question_groups,question_groups,columns,source_columns,mapping_pattern_json
G01,label_to_numeric_plus_missing_standardization,153,29,v10;v11;v12;v19;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v4;v43;v44;v45;v49;v5;v51;v52;v54;v59;v6;v7;v9,v4_1;v4_2;v4_3;v5_1;v5_2;v5_3;v5_4;v5_5;v5_6;v6_1;v6_2;v6_3;v6_4;v6_5;v6_6;v6_7;v6_8;v6_9;v6_10;v7a_1;v7a_2;v7a_3;v7a_4;v7a_5;v7a_6;v7b_1;v7b_2;v7b_3;v7b_4;v7b_5;v7b_6;v9_1;v9_2;v9_3;v10_1;v10_2;v11_1;v11_2;v12_1;v12_2;v12_3;v19_1;v19_2;v19_3;v19_4;v19_5;v19_6;v19_7;v19_8;v19_9;v19_10;v22_1;v22_2;v22_3;v22_4;v22_5;v22_6;v23_1;v23_2;v23_3;v23_4;v23_5;v23_6;v23_7;v23_8;v23_9;v24_1;v24_2;v24_3;v24_4;v24_5;v24_6;v25_1;v25_2;v25_3;v25_4;v25_5;v25_6;v25_7;v25_8;v25_9;v25_10;v25_11;v25_12;v25_13;v25_14;v25_15;v26_1;v26_2;v26_3;v26_4;v26_5;v26_6;v27_1;v27_2;v27_3;v27_4;v28_1;v28_2;v28_3;v28_4;v28_5;v28_6;v28_7;v28_8;v28_9;v28_10;v29_1;v29_2;v29_3;v29_4;v29_5;v30;v31;v32;v33;v43_1;v43_2;v44_1;v44_2;v44_3;v44_4;v44_5;v45_1;v45_2;v45_3;v45_4;v49;v51;v52_1;v52_2;v52_3;v54_1;v54_2;v54_3;v54_4;v54_5;v54_6;v54_7;v54_8;v54_9;v54_10;v54_11;v54_12;v54_13;v54_14;v54_15;v54_16;v54_17;v54_18;v54_19;v54_20;v59_5,v4_1;v4_2;v4_3;v5_1;v5_2;v5_3;v5_4;v5_5;v5_6;v6_1;v6_2;v6_3;v6_4;v6_5;v6_6;v6_7;v6_8;v6_9;v6_10;v7a_1;v7a_2;v7a_3;v7a_4;v7a_5;v7a_6;v7b_1;v7b_2;v7b_3;v7b_4;v7b_5;v7b_6;v9_1;v9_2;v9_3;v10_1;v10_2;v11_1;v11_2;v12_1;v12_2;v12_3;v19_1;v19_2;v19_3;v19_4;v19_5;v19_6;v19_7;v19_8;v19_9;v19_10;v22_1;v22_2;v22_3;v22_4;v22_5;v22_6;v23_1;v23_2;v23_3;v23_4;v23_5;v23_6;v23_7;v23_8;v23_9;v24_1;v24_2;v24_3;v24_4;v24_5;v24_6;v25_1;v25_2;v25_3;v25_4;v25_5;v25_6;v25_7;v25_8;v25_9;v25_10;v25_11;v25_12;v25_13;v25_14;v25_15;v26_1;v26_2;v26_3;v26_4;v26_5;v26_6;v27_1;v27_2;v27_3;v27_4;v28_1;v28_2;v28_3;v28_4;v28_5;v28_6;v28_7;v28_8;v28_9;v28_10;v29_1;v29_2;v29_3;v29_4;v29_5;v30;v31;v32;v33;v43_1;v43_2;v44_1;v44_2;v44_3;v44_4;v44_5;v45_1;v45_2;v45_3;v45_4;v49;v51;v52_1;v52_2;v52_3;v54_1;v54_2;v54_3;v54_4;v54_5;v54_6;v54_7;v54_8;v54_9;v54_10;v54_11;v54_12;v54_13;v54_14;v54_15;v54_16;v54_17;v54_18;v54_19;v54_20;v59_5,"{""RAW_NUMPREFIX:4"": ""CLEAN_NUM:4"", ""RAW_NUMPREFIX:3"": ""CLEAN_NUM:3"", ""RAW_NUMPREFIX:2"": ""CLEAN_NUM:2"", ""RAW_SENT:-9"": ""CLEAN_EMPTY"", ""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1""}"
G02,label_to_numeric_plus_missing_standardization,35,3,v42;v48;v8,v8_01;v8_02;v8_03;v8_04;v8_05;v8_06;v8_07;v8_08;v8_09;v8_10;v8_11;v8_12;v8_13;v42_01;v42_02;v42_03;v42_04;v42_05;v42_06;v42_07;v42_08;v42_09;v42_10;v42_11;v42_12;v42_13;v42_14;v48_01;v48_02;v48_03;v48_04;v48_05;v48_06;v48_07;v48_08,v8_01;v8_02;v8_03;v8_04;v8_05;v8_06;v8_07;v8_08;v8_09;v8_10;v8_11;v8_12;v8_13;v42_01;v42_02;v42_03;v42_04;v42_05;v42_06;v42_07;v42_08;v42_09;v42_10;v42_11;v42_12;v42_13;v42_14;v48_01;v48_02;v48_03;v48_04;v48_05;v48_06;v48_07;v48_08,"{""RAW_NUMPREFIX:0"": ""CLEAN_NUM:0"", ""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1"", ""RAW_SENT:-9"": ""CLEAN_EMPTY""}"
G03,label_to_numeric_plus_missing_standardization,30,4,v35;v37;v39;v41,v35_1;v35_2;v35_3;v35_4;v35_5;v35_6;v35_7;v35_8;v37_1;v37_2;v37_3;v37_4;v37_5;v37_6;v37_7;v37_8;v39_1;v39_2;v39_3;v39_4;v39_5;v39_6;v39_7;v41_1;v41_2;v41_3;v41_4;v41_5;v41_6;v41_7,v35_1;v35_2;v35_3;v35_4;v35_5;v35_6;v35_7;v35_8;v37_1;v37_2;v37_3;v37_4;v37_5;v37_6;v37_7;v37_8;v39_1;v39_2;v39_3;v39_4;v39_5;v39_6;v39_7;v41_1;v41_2;v41_3;v41_4;v41_5;v41_6;v41_7,"{""RAW_NUMPREFIX:3"": ""CLEAN_NUM:3"", ""RAW_SENT:-6"": ""CLEAN_EMPTY"", ""RAW_NUMPREFIX:2"": ""CLEAN_NUM:2"", ""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1"", ""RAW_NUMPREFIX:4"": ""CLEAN_NUM:4"", ""RAW_SENT:-9"": ""CLEAN_EMPTY""}"
G04,label_to_numeric_plus_missing_standardization,22,3,v15;v20;v47,v15;v20_1_1;v20_1_2;v20_1_3;v20_1_4;v20_1_5;v20_1_6;v20_1_7;v20_1_8;v20_1_9;v20_1_10;v20_1_11;v20_1_12;v47_1;v47_2;v47_3;v47_4;v47_5;v47_6;v47_7;v47_8;v47_9,v15;v20_1_1;v20_1_2;v20_1_3;v20_1_4;v20_1_5;v20_1_6;v20_1_7;v20_1_8;v20_1_9;v20_1_10;v20_1_11;v20_1_12;v47_1;v47_2;v47_3;v47_4;v47_5;v47_6;v47_7;v47_8;v47_9,"{""RAW_NUMPREFIX:2"": ""CLEAN_NUM:2"", ""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1"", ""RAW_NUMPREFIX:3"": ""CLEAN_NUM:3"", ""RAW_NUMPREFIX:4"": ""CLEAN_NUM:4"", ""RAW_NUMPREFIX:5"": ""CLEAN_NUM:5"", ""RAW_SENT:-9"": ""CLEAN_EMPTY""}"
G05,ordinal_shift_plus1,14,1,v55,v55_1;v55_2;v55_3;v55_4;v55_5;v55_6;v55_7;v55_8;v55_9;v55_10;v55_11;v55_12;v55_13;v55_14,v55_1;v55_2;v55_3;v55_4;v55_5;v55_6;v55_7;v55_8;v55_9;v55_10;v55_11;v55_12;v55_13;v55_14,"{""RAW_NUMPREFIX:1"": ""CLEAN_NUM:2"", ""RAW_NUMPREFIX:0"": ""CLEAN_NUM:1"", ""RAW_NUMPREFIX:3"": ""CLEAN_NUM:4"", ""RAW_NUMPREFIX:2"": ""CLEAN_NUM:3"", ""RAW_NUMPREFIX:4"": ""CLEAN_NUM:5""}"
G06,label_to_numeric_plus_missing_standardization,12,1,v20,v20_2_1;v20_2_2;v20_2_3;v20_2_4;v20_2_5;v20_2_6;v20_2_7;v20_2_8;v20_2_9;v20_2_10;v20_2_11;v20_2_12,v20_2_1;v20_2_2;v20_2_3;v20_2_4;v20_2_5;v20_2_6;v20_2_7;v20_2_8;v20_2_9;v20_2_10;v20_2_11;v20_2_12,"{""RAW_NUMPREFIX:2"": ""CLEAN_NUM:2"", ""RAW_NUMPREFIX:4"": ""CLEAN_NUM:4"", ""RAW_NUMPREFIX:3"": ""CLEAN_NUM:3"", ""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1"", ""RAW_NUMPREFIX:5"": ""CLEAN_NUM:5"", ""RAW_SENT:-9"": ""CLEAN_EMPTY"", ""RAW_SENT:-4"": ""CLEAN_EMPTY""}"
G07,label_to_numeric_plus_missing_standardization,7,1,v17,v17_01;v17_02;v17_03;v17_04;v17_05;v17_06;v17_07,v17_01;v17_02;v17_03;v17_04;v17_05;v17_06;v17_07,"{""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1"", ""RAW_SENT:-6"": ""CLEAN_EMPTY"", ""RAW_NUMPREFIX:0"": ""CLEAN_NUM:0"", ""RAW_SENT:-9"": ""CLEAN_EMPTY""}"
G08,label_to_numeric_plus_missing_standardization,6,1,v21,v21_1;v21_2;v21_3;v21_4;v21_5;v21_6,v21_1;v21_2;v21_3;v21_4;v21_5;v21_6,"{""RAW_NUMPREFIX:2"": ""CLEAN_NUM:2"", ""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1"", ""RAW_NUMPREFIX:3"": ""CLEAN_NUM:3"", ""RAW_NUMPREFIX:4"": ""CLEAN_NUM:4"", ""RAW_NUMPREFIX:6"": ""CLEAN_NUM:6"", ""RAW_NUMPREFIX:5"": ""CLEAN_NUM:5"", ""RAW_NUMPREFIX:7"": ""CLEAN_NUM:7"", ""RAW_NUMPREFIX:10"": ""CLEAN_NUM:10"", ""RAW_NUMPREFIX:11"": ""CLEAN_NUM:11"", ""RAW_NUMPREFIX:12"": ""CLEAN_NUM:12"", ""RAW_NUMPREFIX:8"": ""CLEAN_NUM:8"", ""RAW_NUMPREFIX:9"": ""CLEAN_NUM:9"", ""RAW_SENT:-9"": ""CLEAN_EMPTY""}"
G09,label_to_numeric_plus_missing_standardization,6,1,v56,v56_1;v56_2;v56_3;v56_4;v56_5;v56_6,v56_1;v56_2;v56_3;v56_4;v56_5;v56_6,"{""RAW_NUMPREFIX:4"": ""CLEAN_NUM:4"", ""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1"", ""RAW_NUMPREFIX:5"": ""CLEAN_NUM:5"", ""RAW_NUMPREFIX:7"": ""CLEAN_NUM:7"", ""RAW_NUMPREFIX:6"": ""CLEAN_NUM:6"", ""RAW_NUMPREFIX:3"": ""CLEAN_NUM:3"", ""RAW_NUMPREFIX:2"": ""CLEAN_NUM:2"", ""RAW_SENT:-9"": ""CLEAN_EMPTY""}"
G10,label_to_numeric_plus_missing_standardization,5,2,v18;v3,v3;v18_1;v18_2;v18_3;v18_4,v3;v18_1;v18_2;v18_3;v18_4,"{""RAW_NUMPREFIX:7"": ""CLEAN_NUM:7"", ""RAW_NUMPREFIX:6"": ""CLEAN_NUM:6"", ""RAW_NUMPREFIX:5"": ""CLEAN_NUM:5"", ""RAW_NUMPREFIX:9"": ""CLEAN_NUM:9"", ""RAW_NUMPREFIX:4"": ""CLEAN_NUM:4"", ""RAW_NUMPREFIX:8"": ""CLEAN_NUM:8"", ""RAW_NUMPREFIX:10"": ""CLEAN_NUM:10"", ""RAW_NUMPREFIX:3"": ""CLEAN_NUM:3"", ""RAW_SENT:-9"": ""CLEAN_EMPTY"", ""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1"", ""RAW_NUMPREFIX:2"": ""CLEAN_NUM:2""}"
