student_id,student_oid,school_id,school_name,class,status,sid,sentinel_count_all_v,has_v13_sentinel,has_v55_sentinel,has_v61_sentinel,has_v62_sentinel,has_v59_sentinel,has_v60_sentinel,has_v56_sentinel
s112201310042,s112201310042,201310,私立嘉華高中附設國中,國二1,0,s112201310042,343,True,True,True,True,True,True,True
s112014302042,s112014302042,14302,市立海山高中附設國中,806,0,s112014302042,291,False,True,True,True,True,True,True
s112014525042,s112014525042,14525,市立三峽國中,806,0,s112014525042,268,False,True,True,True,True,True,True
s112211318058,s112211318058,211318,私立德光高中附設國中,J204,0,s112211318058,254,False,True,True,True,True,True,True
s112054505055,s112054505055,54505,縣立公館國中,八年五班,0,s112054505055,254,False,True,True,True,True,True,True
s112054505034,s112054505034,54505,縣立公館國中,八年一班,0,s112054505034,242,False,True,True,True,True,True,True
s112014555047,s112014555047,14555,市立中正國中,805,0,s112014555047,235,False,True,True,True,True,True,True
s112064526076,s112064526076,64526,市立中平國中,804,0,s112064526076,203,False,True,True,True,True,True,True
s112201310028,s112201310028,201310,私立嘉華高中附設國中,國二1,0,s112201310028,196,False,True,True,True,True,True,True
s112054505024,s112054505024,54505,縣立公館國中,八年一班,0,s112054505024,196,False,True,True,True,True,True,True
s112014524049,s112014524049,14524,市立土城國中,803,0,s112014524049,188,False,True,True,True,True,True,True
s112104506044,s112104506044,104506,縣立新港國中,八年01班,0,s112104506044,182,False,True,True,True,True,True,True
s112201310024,s112201310024,201310,私立嘉華高中附設國中,國二1,0,s112201310024,181,False,True,True,True,True,True,True
s112014517033,s112014517033,14517,市立福和國中,806,0,s112014517033,171,False,True,True,True,True,True,True
s112014524048,s112014524048,14524,市立土城國中,803,0,s112014524048,169,False,True,True,True,True,True,True
s112084530031,s112084530031,84530,縣立同富國中,八年忠班,0,s112084530031,165,False,True,False,False,False,False,False
s112084503067,s112084503067,84503,縣立中興國中,8年10班,0,s112084503067,164,False,True,True,True,True,True,True
s112111321082,s112111321082,111321,臺南市興國高中附設國中,803,0,s112111321082,159,False,True,True,True,True,True,True
s112034508026,s112034508026,34508,市立大竹國中,801,0,s112034508026,158,False,True,True,True,True,True,True
s112014524062,s112014524062,14524,市立土城國中,812,0,s112014524062,145,False,True,False,False,False,True,False
s112114534066,s112114534066,114534,市立鹽水國中,八年二班,0,s112114534066,127,False,True,True,True,True,True,True
s112054505033,s112054505033,54505,縣立公館國中,八年一班,0,s112054505033,127,False,True,True,True,True,True,True
s112014509050,s112014509050,14509,市立福營國中,807,0,s112014509050,123,False,True,True,True,True,True,True
s112014524040,s112014524040,14524,市立土城國中,803,0,s112014524040,113,True,False,False,False,False,False,False
s112714502047,s112714502047,714502,縣立金湖國中,803,0,s112714502047,112,False,True,True,True,True,True,True
s112104319070,s112104319070,104319,縣立竹崎高中附設國中,806,0,s112104319070,109,False,True,True,True,True,True,True
s112084503084,s112084503084,84503,縣立中興國中,8年10班,0,s112084503084,105,True,False,False,False,False,False,False
s112124501027,s112124501027,124501,市立鳳山國中,801,0,s112124501027,103,False,True,True,True,True,True,True
s112044522066,s112044522066,44522,縣立中正國中,802,0,s112044522066,103,False,False,False,False,False,False,False
s112533504051,s112533504051,533504,市立龍華國中,201,0,s112533504051,102,False,True,True,True,True,True,True
s112171306052,s112171306052,171306,私立二信高中附設國中,804,0,s112171306052,99,False,True,True,True,True,True,True
s112183510043,s112183510043,183510,市立三民國中,807,0,s112183510043,99,False,True,True,True,True,True,True
s112104319068,s112104319068,104319,縣立竹崎高中附設國中,806,0,s112104319068,98,False,True,True,True,True,True,True
s112034554029,s112034554029,34554,市立大有國中,八年六班,0,s112034554029,97,False,True,True,True,True,True,True
s112193508069,s112193508069,193508,市立黎明國中,八年六班,0,s112193508069,95,False,True,True,True,True,True,True
s112124507070,s112124507070,124507,市立大寮國中,206,0,s112124507070,94,False,True,True,True,True,True,True
s112154505029,s112154505029,154505,縣立花崗國中,801,0,s112154505029,93,False,True,True,True,True,True,True
s113363501007,s113363501007,363501,市立建成國中,805,0,s113363501007,90,True,False,False,False,False,False,False
s112014524078,s112014524078,14524,市立土城國中,812,0,s112014524078,87,False,True,False,False,False,False,False
s112193508051,s112193508051,193508,市立黎明國中,八年六班,0,s112193508051,83,False,True,True,True,True,True,True
s112084503072,s112084503072,84503,縣立中興國中,8年10班,0,s112084503072,82,False,True,False,False,False,False,False
s112014302030,s112014302030,14302,市立海山高中附設國中,806,0,s112014302030,79,False,True,True,True,True,True,True
s112134527071,s112134527071,134527,縣立佳冬國中,802,0,s112134527071,78,False,True,True,True,True,True,True
s112014517035,s112014517035,14517,市立福和國中,806,0,s112014517035,75,False,True,False,False,True,False,True
s112014364076,s112014364076,14364,市立竹圍高中附設國中,806,0,s112014364076,74,True,False,False,False,True,True,False
s112714502044,s112714502044,714502,縣立金湖國中,801,0,s112714502044,74,True,False,False,False,False,False,False
s112014524051,s112014524051,14524,市立土城國中,803,0,s112014524051,72,False,True,True,True,False,True,True
s112714502041,s112714502041,714502,縣立金湖國中,801,0,s112714502041,72,True,False,True,False,False,False,False
s112014302072,s112014302072,14302,市立海山高中附設國中,820,0,s112014302072,71,False,True,True,True,True,True,True
s112201304052,s112201304052,201304,私立興華高中附設國中,二年1班,0,s112201304052,71,False,True,True,True,True,True,True
s112014524045,s112014524045,14524,市立土城國中,803,0,s112014524045,70,False,True,False,False,False,False,False
s112014524061,s112014524061,14524,市立土城國中,812,0,s112014524061,70,True,True,False,False,False,False,False
s112054523035,s112054523035,54523,縣立造橋國中,八年忠班,0,s112054523035,70,False,True,True,True,True,True,True
s112014524046,s112014524046,14524,市立土城國中,803,0,s112014524046,67,True,False,True,False,False,True,True
s112014524059,s112014524059,14524,市立土城國中,812,0,s112014524059,67,False,True,False,False,False,False,True
s112014524034,s112014524034,14524,市立土城國中,803,0,s112014524034,64,False,True,False,False,False,False,False
s112064510026,s112064510026,64510,市立大甲國中,八年二班,0,s112064510026,64,True,False,True,True,False,False,False
s112034543077,s112034543077,34543,市立平興國中,808,0,s112034543077,62,True,True,False,False,True,False,False
s112074538027,s112074538027,74538,縣立彰興國中,807,0,s112074538027,62,False,True,True,True,True,True,True
s112121320041,s112121320041,121320,私立義大國際高中附設國中,201,0,s112121320041,60,True,False,True,True,True,False,False
s112014514075,s112014514075,14514,市立碧華國中,814,0,s112014514075,58,True,False,True,True,True,False,False
s112071311049,s112071311049,71311,私立精誠高中附設國中,805,0,s112071311049,58,True,False,False,False,False,False,False
s112074536059,s112074536059,74536,縣立大同國中,815,0,s112074536059,58,True,False,False,False,False,False,False
s113034560003,s113034560003,34560,市立平鎮國中,804,0,s113034560003,57,False,True,True,True,True,True,True
s112014524057,s112014524057,14524,市立土城國中,812,0,s112014524057,55,False,True,False,False,False,False,False
s112044501032,s112044501032,44501,縣立竹東國中,八年二班,0,s112044501032,55,True,False,False,False,False,False,False
s112540301065,s112540301065,540301,國立中山大學附屬國光高中附設國中,203,0,s112540301065,54,True,False,False,False,True,False,False
s112060323115,s112060323115,60323,國立中科實驗高級中學附設國中,804,0,s112060323115,54,True,False,False,False,False,False,False
s112064510057,s112064510057,64510,市立大甲國中,八年十班,0,s112064510057,53,True,False,False,False,False,False,False
s112034517051,s112034517051,34517,市立大成國中,801,0,s112034517051,52,False,True,False,False,False,False,False
s112104506043,s112104506043,104506,縣立新港國中,八年01班,0,s112104506043,51,False,True,False,False,False,False,False
s112164513030,s112164513030,164513,縣立文光國中,801,0,s112164513030,51,False,True,False,False,False,False,False
s112014524077,s112014524077,14524,市立土城國中,812,0,s112014524077,50,True,False,False,False,False,False,False
s112413301079,s112413301079,413301,市立陽明高中附設國中,804,0,s112413301079,50,False,False,True,True,True,False,False
s112060323107,s112060323107,60323,國立中科實驗高級中學附設國中,804,0,s112060323107,49,True,False,False,False,False,False,False
s112074505073,s112074505073,74505,縣立陽明國中,八年7班,0,s112074505073,49,True,False,False,False,False,False,False
s112104319038,s112104319038,104319,縣立竹崎高中附設國中,803,0,s112104319038,48,True,False,False,False,False,False,False
s112064537047,s112064537047,64537,市立光榮國中,八年18班,0,s112064537047,48,True,False,False,False,False,False,False
s112014524044,s112014524044,14524,市立土城國中,803,0,s112014524044,47,False,True,True,False,False,False,False
s112034513067,s112034513067,34513,市立仁和國中,八年13班,0,s112034513067,46,True,False,True,True,True,False,False
s112381301053,s112381301053,381301,私立東山高中附設國中,八義,0,s112381301053,46,True,False,False,False,False,False,False
s112061317069,s112061317069,61317,私立弘文高中附設國中,國二03,0,s112061317069,46,False,True,False,False,False,False,False
s112171306080,s112171306080,171306,私立二信高中附設國中,809,0,s112171306080,45,False,True,False,False,False,False,False
s112104506041,s112104506041,104506,縣立新港國中,八年01班,0,s112104506041,44,False,True,False,False,False,False,False
s112191313052,s112191313052,191313,私立曉明女中附設國中,國二甲,0,s112191313052,44,False,True,False,False,False,False,False
s112121320040,s112121320040,121320,私立義大國際高中附設國中,201,0,s112121320040,43,True,False,False,False,False,False,False
s112333501056,s112333501056,333501,市立仁愛國中,810,0,s112333501056,43,True,False,True,True,False,False,False
