parent_group,subscale,n_w2_items,w2_items,n_mapped_w3_items,mapped_w3_items,complete_w3_mapping_and_columns,w2_items_missing_w3_mapping_or_column
v25,v25_A,3,v25_1;v25_2;v25_3,0,;;,False,v25_1;v25_2;v25_3
v25,v25_B,3,v25_4;v25_5;v25_6,0,;;,False,v25_4;v25_5;v25_6
v25,v25_C,9,v25_7;v25_8;v25_9;v25_10;v25_11;v25_12;v25_13;v25_14;v25_15,0,;;;;;;;;,False,v25_7;v25_8;v25_9;v25_10;v25_11;v25_12;v25_13;v25_14;v25_15
v26,v26_A,3,v26_1;v26_2;v26_3,3,27-1;27-2;27-3,True,
v26,v26_B,3,v26_4;v26_5;v26_6,3,27-4;27-5;27-6,True,
v27,v27_A,3,v27_1;v27_2;v27_3,3,28-1;28-2;28-3,True,
v27,v27_B,1,v27_4,0,,False,v27_4
v54,v54_A,3,v54_1;v54_2;v54_3,3,53-1;53-2;53-3,True,
v54,v54_B,3,v54_4;v54_5;v54_6,3,53-4;53-5;53-6,True,
v54,v54_C,3,v54_7;v54_8;v54_9,3,53-7;53-8;53-9,True,
v23,v23_A,3,v23_1;v23_2;v23_3,2,;25-2;25-3,False,v23_1
v23,v23_B,3,v23_4;v23_5;v23_6,3,25-4;25-5;25-6,True,
v23,v23_C,3,v23_7;v23_8;v23_9,2,25-7;25-8;,False,v23_9
